Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,-1625245620.000000,-1625245620.000000,-1625245620.000000,,14511075515.000000,,-5067086268.000000,,-1625245620.000000,-280354982.000000,-477122469.000000,196767487.000000,-280354982.000000,-1905600602.000000,,-1905600602.000000,88910235.000000,-1816690367.000000,-1905600602.000000,-1915420271.000000,9819669.000000,-1905600602.000000,-1816690367.000000,-1826627951.000000,9937584.000000,-1816690367.000000
12M 2016,-46279625922.000000,-46279625922.000000,-46279625922.000000,,,,-48317748227.000000,,-46279625922.000000,-23722052969.000000,-11417125.000000,-23710635844.000000,-23722052969.000000,-70001678891.000000,,-70001678891.000000,-11791508.000000,-70013470399.000000,-70003827935.000000,-70001678891.000000,-2149044.000000,-70003827935.000000,-70013470399.000000,-70013470399.000000,,-70013470399.000000
12M 2017,1718843200.000000,-25931834483.000000,1718843200.000000,-1080522811.000000,638320389.000000,,-28216810744.000000,,-25293514094.000000,-4025067924.000000,,,-4025067924.000000,-29318582018.000000,,-29318582018.000000,-19066534.000000,-29337648552.000000,-29318582018.000000,-29261628557.000000,-56953461.000000,-29318582018.000000,-29337648553.000000,-29272115152.000000,-65533401.000000,-29337648553.000000
12M 2018,3440200800.000000,3168256650.000000,3440200800.000000,-2891193714.000000,549007086.000000,,-1280131301.000000,,3717263736.000000,-9438717.000000,,,-9438717.000000,3707825019.000000,,3707825019.000000,1105256626.000000,4813081645.000000,3707825019.000000,3810055169.000000,-102230150.000000,3707825019.000000,4813081645.000000,4867631314.000000,-54549669.000000,4813081645.000000
12M 2019,3607945200.000000,-56008030165.000000,3607945200.000000,-2837274670.000000,770670530.000000,,-1112920996.000000,,-55237359635.000000,-9647155.000000,,,-9647155.000000,-55247006790.000000,,-55247006790.000000,-4760372825.000000,-60007379615.000000,-55247006790.000000,-55264852606.000000,17845816.000000,-55247006790.000000,-60007379615.000000,-60019061410.000000,11681795.000000,-60007379615.000000
12M 2020,3714160800.000000,-2860694656.000000,3714160800.000000,-3162292139.000000,551868661.000000,,-1456613398.000000,,-2308825995.000000,-132609596.000000,,,-132609596.000000,-2441435591.000000,,-2441435591.000000,585730132.000000,-1855705459.000000,-2441435591.000000,-1756355492.000000,-685080099.000000,-2441435591.000000,-1855705459.000000,-1434203919.000000,-421501540.000000,-1855705459.000000
12M 2021,3817867200.000000,-1152655658.000000,3817867200.000000,-3086568514.000000,731298686.000000,,-430458087.000000,,-421356972.000000,108727222.000000,-47266778.000000,155994000.000000,108727222.000000,-312629750.000000,,-312629750.000000,27751399.000000,-284878351.000000,-312629750.000000,-146788417.000000,-165841333.000000,-312629750.000000,-284878351.000000,-131525148.000000,-153353203.000000,-284878351.000000
12M 2022,3919110600.000000,-1086016684.000000,3919110600.000000,-3031241366.000000,887869234.000000,,-321085202.000000,,-198147450.000000,-84035351.000000,-61645251.000000,-22390100.000000,-84035351.000000,-282182801.000000,,-282182801.000000,14316990.000000,-267865811.000000,-282182801.000000,-165902290.000000,-116280511.000000,-282182801.000000,-267865811.000000,-158027945.000000,-109837866.000000,-267865811.000000
12M 2023,4019407800.000000,-1361177293.000000,4019407800.000000,-3319469345.000000,699938455.000000,,-667152170.000000,,-661238838.000000,-16286925.000000,-45106557.000000,28819632.000000,-16286925.000000,-677525763.000000,,-677525763.000000,-25210892.000000,-702736655.000000,-677525763.000000,-445403239.000000,-232122524.000000,-677525763.000000,-702736655.000000,-459269230.000000,-243467425.000000,-702736655.000000
12M 2024,3961092000.000000,-1196773167.000000,3961092000.000000,-3442760886.000000,518331114.000000,,-683093519.000000,,-678442053.000000,-2780726.000000,-35021532.000000,32240806.000000,-2780726.000000,-681222779.000000,,-681222779.000000,45683565.000000,-635539214.000000,-681222779.000000,-464394381.000000,-216828398.000000,-681222779.000000,-635539214.000000,-439268420.000000,-196270794.000000,-635539214.000000
