Period,Arus Kas Dari Aktivitas Operasi,Pendapatan Komisi Kegiatan Perantara Pedagang Efek,Penerimaan (Pembayaran) Atas Perdagangan Portofolio Efek,Penerimaan Dari Jasa Penasehat Keuangan Dan Penjaminan Emisi,Penerimaan Dari Jasa Penasehat Keuangan Dan Jasa Pengisian Lpg,Penerimaan Dari Jasa Pengisian Elpiji,Penerimaan Dari Jasa Konsultan,Penerimaan Atas Piutang Reverse Repo,Pembayaran Kepada Perusahaan Efek Lain,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan (Pembayaran) Nasabah - Bersih,Penerimaan Dari (Pembayaran Kepada) Lembaga Kliring Dan Penjaminan - Bersih,Pembayaran Pajak,Penerimaan (Pembayaran) Untuk Pajak Penghasilan Badan,Penerimaan Bunga,Pembayaran Bunga,Penerimaan (Pembayaran) Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Penerimaan Dari Penjualan Aset Tetap,Uang Muka Pembelian Tanah,Uang Muka Pembelian Tangki,Penerimaan Bunga,Hasil Penjualan Entitas Anak,Penerimaan Dari Penyertaan Saham,Pembayaran Deposit Lembaga Kliring Dan Penjaminan,Perolehan Investasi Saham Yang Tersedia Untuk Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Bank Jangka Pendek :,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Pendek :,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Pembayaran Atas Biaya Emisi Saham,Penerimaan Dari Kenaikan Modal Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2015,21628889714.000000,9576932710.000000,20992917515.000000,5420705229.000000,,,,,,,,-45758137415.000000,-45758137415.000000,26665775716.000000,-1610791100.000000,,,,,6341487059.000000,21628889714.000000,991336832.000000,1185962674.000000,,,24920000.000000,,,,,,-219545842.000000,,991336832.000000,10807266003.000000,,30807266003.000000,-20000000000.000000,10807266003.000000,,,,,,10807266003.000000,33427492549.000000,16731225808.000000,50158718357.000000
12M 2016,-18663402738.000000,,91740.000000,,,,,,,,,-50696063087.000000,-50696063087.000000,26367781731.000000,2914799012.000000,,,,,2749987866.000000,-18663402738.000000,,,,,,,,,,,,,,-30807266003.000000,,,-30807266003.000000,-30807266003.000000,,,,,,-30807266003.000000,-49470668741.000000,50158718357.000000,688049616.000000
12M 2017,10376334324.000000,,,1423588400.000000,,,,5850000000.000000,,,,-1146927369.000000,-1146927369.000000,,,,-34478427.000000,6355730.000000,,4277795990.000000,10376334324.000000,-10199501831.000000,-4750000.000000,-6400000000.000000,-3794751831.000000,,,,,,,,,-10199501831.000000,-287391360.000000,,,,,,,-287391360.000000,,,-287391360.000000,-110558867.000000,688049616.000000,577490749.000000
12M 2018,5462892088.000000,,,3430131800.000000,,,,2280000000.000000,,,,-2500729565.000000,-2500729565.000000,,,,-26813982.000000,8227816.000000,,2272076019.000000,5462892088.000000,-5008000000.000000,-11500000.000000,,,,,,,,,,-4996500000.000000,-5008000000.000000,,,,,,,,,,,,454892088.000000,577490749.000000,1032382837.000000
12M 2019,856675106.000000,,,,3597636600.000000,,,1247500000.000000,,,,-2271005554.000000,-2271005554.000000,,,,-18232407.000000,10143072.000000,,-1709366605.000000,856675106.000000,-726640000.000000,-726640000.000000,,,,,,,,,,,-726640000.000000,,,,,,,,,,,,130035106.000000,1032382837.000000,1162417943.000000
12M 2020,84606909.000000,,,,4029793200.000000,,,393000000.000000,,,-1719353123.000000,-2622262498.000000,-4341615621.000000,,,,-7939367.000000,11368697.000000,,,84606909.000000,-55172206.000000,-55172206.000000,,,,,,,,,,,-55172206.000000,,,,,,,,,,,,29434703.000000,1162417943.000000,1191852646.000000
12M 2021,65568877.000000,,,,3473410560.000000,,,,,,-1105622229.000000,-2315462969.000000,-3421085198.000000,,,,,13243515.000000,,,65568877.000000,-8361818.000000,-8361818.000000,,,,,,,,,,,-8361818.000000,,,,,,,,,,,,57207059.000000,1191852646.000000,1249059705.000000
12M 2022,145530994.000000,,,,3937775640.000000,,,,,,-1374526112.000000,-2429784753.000000,-3804310865.000000,,,,,12066219.000000,,,145530994.000000,-126295383.000000,-126295383.000000,,,,,,,,,,,-126295383.000000,,,,,,,,,,,,19235611.000000,1249059705.000000,1268295316.000000
12M 2023,-150035642.000000,,,,4016320200.000000,,,,,,-1509111665.000000,-2603570229.000000,-4112681894.000000,,,,-62499129.000000,8825181.000000,,,-150035642.000000,-145558000.000000,-145558000.000000,,,,,,,,,,,-145558000.000000,,,,,,,,,,,,-295593642.000000,1268295316.000000,972701674.000000
12M 2024,-38313283.000000,,,,3948741600.000000,,,,,,-1136835023.000000,-2820045978.000000,-3956881001.000000,,,,-38890482.000000,8716600.000000,,,-38313283.000000,-11800000.000000,-11800000.000000,,,,,,,,,,,-11800000.000000,,,,,,,,,,,,-50113283.000000,972701674.000000,922588391.000000
