Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.64,77.53,0.64,77.53,31 B,,31 B,(19 B),140 B
12M 2016,1.12,44.57,1.12,44.57,,,,(1 B),90 B
12M 2017,1.63,30.76,1.63,30.76,0 B,0 B,1 B,0 B,59 B
12M 2018,0.30,165.30,0.30,165.30,,,,(1 B),64 B
12M 2019,10.53,4.75,10.53,4.75,,,,(1 B),4 B
12M 2020,12.29,4.07,12.29,4.07,,,,(1 B),3 B
12M 2021,12.47,4.01,12.47,4.01,,,,(1 B),3 B
12M 2022,12.69,3.94,12.69,3.94,,,,(1 B),4 B
12M 2023,1.08,3.72,1.08,3.72,,,,(1 B),3 B
12M 2024,1.99,3.51,1.99,3.51,,,,(1 B),4 B
