Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.61,977.81,0.61,977.81,634 B,"5,093 B","5,727 B","4,157 B","2,804 B"
12M 2009,1.44,926.58,1.44,926.58,599 B,"3,798 B","4,397 B","2,529 B","3,290 B"
12M 2010,1.39,839.42,1.39,839.42,"1,383 B","2,504 B","3,887 B","2,154 B","1,811 B"
12M 2011,0.76,1015.57,0.76,1015.57,286 B,"4,155 B","4,441 B","3,218 B","3,461 B"
12M 2012,0.43,983.32,0.43,-359.94,259 B,"4,873 B","5,132 B","3,716 B","2,528 B"
12M 2013,0.33,1251.71,0.33,1251.71,870 B,"5,875 B","6,745 B","3,461 B","2,696 B"
12M 2014,0.24,1260.91,0.24,1260.91,909 B,"7,697 B","8,606 B","5,883 B","2,486 B"
12M 2015,0.09,1412.52,0.09,1412.52,"1,783 B","6,565 B","8,348 B","6,897 B",592 B
12M 2016,0.91,1620.30,0.91,1620.30,"1,792 B","5,424 B","7,216 B","3,099 B","2,475 B"
12M 2017,2.17,1039.27,2.17,1039.27,"4,617 B","7,767 B","12,384 B",448 B,"8,548 B"
12M 2018,2.50,956.21,-5.76,-414.91,"6,229 B","32,352 B","38,581 B","26,988 B","12,665 B"
12M 2019,8.23,183.58,-19.02,-79.40,"2,590 B","32,816 B","35,406 B","25,061 B","10,043 B"
12M 2020,5.47,201.09,-24.48,-44.94,"2,787 B","37,771 B","40,558 B","24,544 B","13,500 B"
12M 2021,3.21,266.52,31.65,27.01,"2,824 B","41,251 B","44,075 B","17,299 B","34,718 B"
12M 2022,2.87,262.78,32.35,23.34,"3,068 B","59,117 B","62,186 B","36,645 B","32,735 B"
12M 2023,4.78,278.06,32.84,40.50,"4,470 B","61,643 B","66,114 B","38,320 B","38,402 B"
12M 2024,3.09,297.79,20.70,44.45,"10,660 B","64,818 B","75,478 B","49,518 B","33,276 B"
