Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Piutang Sewa Pembiayaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Sewa Pembiayaan,Investasi Pada Entitas Asosiasi,Tanaman Perkebunan,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Beban Akrual,Goodwill,Aset Tak Berwujud,Aset Eksplorasi Dan Evaluasi,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pihak Berelasi,Utang Pajak,Liabilitas Derivatif,Pinjaman Jangka Pendek,Beban Akrual,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Kewajiban Lembaga Keuangan Non Bank,Utang Sewa Pembiayaan,Utang Obligasi,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Derivatif,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Kewajiban Lembaga Keuangan Non Bank,Pinjaman Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Obligasi,Utang Sewa Pembiayaan,Wesel Bayar,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1570267000000.000000,,677200000000.000000,,,677200000000.000000,23792000000.000000,816000000.000000,22976000000.000000,23792000000.000000,1746179000000.000000,,1111848000000.000000,5129286000000.000000,,902000000.000000,,,,,,,,11807631000000.000000,8519000000.000000,7681000000.000000,,,,,,289702000000.000000,12114435000000.000000,17243721000000.000000,,,2324998000000.000000,,404000000.000000,1356827000000.000000,1357231000000.000000,,,,,,77574000000.000000,,,165578000000.000000,54750000000.000000,,579210000000.000000,,158000000.000000,,,591000000.000000,579959000000.000000,89906000000.000000,2324998000000.000000,5984299000000.000000,71482000000.000000,277000000.000000,,,277000000.000000,636726000000.000000,,,3323472000000.000000,1642500000000.000000,32200000000.000000,23214000000.000000,,158339000000.000000,5179725000000.000000,96089000000.000000,5984299000000.000000,8309297000000.000000,,6979893000000.000000,5908786000000.000000,-5994307000000.000000,40000000000.000000,-6034307000000.000000,-5994307000000.000000,2109433000000.000000,-69381000000.000000,8934424000000.000000,17243721000000.000000,6979892784.000000
12M 2009,,,1868490000000.000000,,1141687000000.000000,,,1141687000000.000000,96259000000.000000,71000000.000000,96188000000.000000,96259000000.000000,1821082000000.000000,,1194657000000.000000,6122175000000.000000,,1820000000.000000,,,,,,,,9809342000000.000000,8104000000.000000,7404000000.000000,,,,,,426441000000.000000,10253111000000.000000,16375286000000.000000,,,2832156000000.000000,,769000000.000000,1895683000000.000000,1896452000000.000000,,,,,,75984000000.000000,,,207810000000.000000,,,597522000000.000000,,184000000.000000,1321000000.000000,,193000000.000000,599220000000.000000,52690000000.000000,2832156000000.000000,4741834000000.000000,50056000000.000000,896000000.000000,,,896000000.000000,698410000000.000000,,,2292245000000.000000,1410000000000.000000,26320000000.000000,19744000000.000000,,135712000000.000000,3884021000000.000000,108451000000.000000,4741834000000.000000,7573990000000.000000,,6979893000000.000000,5908786000000.000000,-5447042000000.000000,40000000000.000000,-5487042000000.000000,-5447042000000.000000,2333878000000.000000,-974219000000.000000,8801296000000.000000,16375286000000.000000,6979892784.000000
12M 2010,,,1732213000000.000000,,1020445000000.000000,,,1020445000000.000000,27619000000.000000,,27619000000.000000,27619000000.000000,2004886000000.000000,,1130296000000.000000,5915459000000.000000,,44506000000.000000,,,,,,,200058000000.000000,9175086000000.000000,9417000000.000000,3293000000.000000,,,,,,667369000000.000000,10099729000000.000000,16015188000000.000000,,,4104017000000.000000,,,2403423000000.000000,2403423000000.000000,,,,,,52369000000.000000,,,216477000000.000000,,,32421000000.000000,,1693000000.000000,,1348650000000.000000,,1382764000000.000000,48984000000.000000,4104017000000.000000,4041712000000.000000,8553000000.000000,428000000.000000,,,428000000.000000,1413726000000.000000,,,250291000000.000000,224775000000.000000,1999452000000.000000,20837000000.000000,,,2495355000000.000000,123650000000.000000,4041712000000.000000,8145729000000.000000,,6979893000000.000000,5908786000000.000000,-5988867000000.000000,40000000000.000000,-6028867000000.000000,-5988867000000.000000,2010408000000.000000,-1040761000000.000000,7869459000000.000000,16015188000000.000000,6979892784.000000
12M 2011,,,1222486000000.000000,,1201452000000.000000,,,1201452000000.000000,54556000000.000000,,54556000000.000000,54556000000.000000,2593512000000.000000,,1884968000000.000000,6956974000000.000000,,18723000000.000000,,,,,,74891000000.000000,298899000000.000000,11003788000000.000000,88364000000.000000,,,,,,,402088000000.000000,11886753000000.000000,18843727000000.000000,,,3496204000000.000000,,,2934253000000.000000,2934253000000.000000,,,,,,29934000000.000000,,,162122000000.000000,226700000000.000000,,16909000000.000000,,864000000.000000,41901000000.000000,,,59674000000.000000,83521000000.000000,3496204000000.000000,5718785000000.000000,,428000000.000000,,,428000000.000000,1391377000000.000000,,,747341000000.000000,1586900000000.000000,1800165000000.000000,20151000000.000000,,,4154557000000.000000,172423000000.000000,5718785000000.000000,9214989000000.000000,,6979893000000.000000,330362000000.000000,25119000000.000000,,25119000000.000000,25119000000.000000,2540182000000.000000,-246818000000.000000,9628738000000.000000,18843727000000.000000,6979892784.000000
12M 2012,,,146405000.000000,,155043000.000000,,,155043000.000000,4925000.000000,,4925000.000000,4925000.000000,279974000.000000,,169519000.000000,755866000.000000,,,,,,,,6534000.000000,39593000.000000,1270153000.000000,10858000.000000,,,,,,,37457000.000000,1364595000.000000,2120461000.000000,,,494418000.000000,,,446858000.000000,446858000.000000,,,,,,2374000.000000,,,10259000.000000,5000000.000000,,21731000.000000,,62000.000000,,,,21793000.000000,8134000.000000,494418000.000000,656467000.000000,1091000.000000,44000.000000,,,44000.000000,129870000.000000,,,352719000.000000,150000000.000000,,122000.000000,,,502841000.000000,22621000.000000,656467000.000000,1150885000.000000,,811899000.000000,161600000.000000,-81070000.000000,,,-81070000.000000,259808000.000000,-182661000.000000,969576000.000000,2120461000.000000,6979892784.000000
12M 2013,,,269227000.000000,,182096000.000000,,,182096000.000000,8006000.000000,,8006000.000000,8006000.000000,295793000.000000,,98768000.000000,853890000.000000,,912000.000000,,,,,,11461000.000000,41498000.000000,1287758000.000000,10389000.000000,402000.000000,,,,,,114760000.000000,1467180000.000000,2321070000.000000,,,632878000.000000,,,525663000.000000,525663000.000000,,,,,,2393000.000000,,,9664000.000000,21776000.000000,,49447000.000000,,68000.000000,,,,49515000.000000,23867000.000000,632878000.000000,629032000.000000,242000.000000,200000.000000,,,200000.000000,126851000.000000,,,340338000.000000,141000000.000000,,54000.000000,,,481392000.000000,20347000.000000,629032000.000000,1261910000.000000,,811899000.000000,161600000.000000,-106937000.000000,,,-106937000.000000,342910000.000000,-150312000.000000,1059160000.000000,2321070000.000000,6979892784.000000
12M 2014,,,218917000.000000,,101317000.000000,,,101317000.000000,10754000.000000,,10754000.000000,10754000.000000,222687000.000000,,140873000.000000,694548000.000000,,1039000.000000,,,,,,23530000.000000,46190000.000000,1437739000.000000,10268000.000000,934000.000000,,,,,,111171000.000000,1630871000.000000,2325419000.000000,,,494696000.000000,,,391912000.000000,391912000.000000,,,,,,2927000.000000,,,8377000.000000,,,73026000.000000,,54000.000000,,,,73080000.000000,18400000.000000,494696000.000000,775820000.000000,491000.000000,,34000.000000,1000000.000000,1034000.000000,133509000.000000,,,473383000.000000,144807000.000000,,,,,618190000.000000,22596000.000000,775820000.000000,1270516000.000000,,811899000.000000,161600000.000000,-115641000.000000,,,-115641000.000000,347485000.000000,-150440000.000000,1054903000.000000,2325419000.000000,6979892784.000000
12M 2015,,,105178000.000000,,52944000.000000,,,52944000.000000,7051000.000000,,7051000.000000,7051000.000000,183332000.000000,,99962000.000000,448467000.000000,,,,,,,,53779000.000000,42984000.000000,1587316000.000000,10084000.000000,6222000.000000,,,,,,104232000.000000,1804617000.000000,2253084000.000000,,,405554000.000000,,,231663000.000000,231663000.000000,,,,,,2551000.000000,,,10001000.000000,52108000.000000,,77152000.000000,,,,,,77152000.000000,32079000.000000,405554000.000000,651621000.000000,677000.000000,,47000.000000,3035000.000000,3082000.000000,146329000.000000,,,475197000.000000,,,,,,475197000.000000,26336000.000000,651621000.000000,1057175000.000000,,811899000.000000,161600000.000000,-123145000.000000,,,-123145000.000000,481211000.000000,-135656000.000000,1195909000.000000,2253084000.000000,6979892784.000000
12M 2016,,,306400000.000000,,141503000.000000,,,141503000.000000,6879000.000000,,6879000.000000,6879000.000000,202382000.000000,,71609000.000000,728773000.000000,,,,,,,,47400000.000000,42597000.000000,1584720000.000000,10070000.000000,3998000.000000,,,,,,153032000.000000,1841817000.000000,2570590000.000000,,,544566000.000000,,,345867000.000000,345867000.000000,,,,,,37588000.000000,,,6702000.000000,60000000.000000,,73410000.000000,,,,,,73410000.000000,20999000.000000,544566000.000000,577656000.000000,40000.000000,,45000.000000,21000.000000,66000.000000,141470000.000000,,,367029000.000000,,36594000.000000,,,,403623000.000000,32457000.000000,577656000.000000,1122222000.000000,,811899000.000000,161600000.000000,8559000.000000,,,8559000.000000,606637000.000000,-140327000.000000,1448368000.000000,2570590000.000000,6979892784.000000
12M 2017,,,880973000.000000,,206041000.000000,,,206041000.000000,11300000.000000,,11300000.000000,11300000.000000,241581000.000000,,164162000.000000,1504057000.000000,,,,,,,,38880000.000000,40628000.000000,1705253000.000000,10669000.000000,607000.000000,,,,,,342834000.000000,2138871000.000000,3642928000.000000,,,873123000.000000,,,482961000.000000,482961000.000000,,,,,,17345000.000000,,,15521000.000000,,,340767000.000000,,,,,,340767000.000000,16529000.000000,873123000.000000,752906000.000000,1346000.000000,,,,,141310000.000000,,,216375000.000000,,355572000.000000,,,,571947000.000000,38303000.000000,752906000.000000,1626029000.000000,,811899000.000000,161600000.000000,126675000.000000,,,126675000.000000,946043000.000000,-29318000.000000,2016899000.000000,3642928000.000000,13959785568.000000
