Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Keuntungan (Rugi) Atas Transaksi Derivatif,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,18322898000000.000000,-19377638000000.000000,-1054740000000.000000,-786968000000.000000,-573639000000.000000,-213329000000.000000,-786968000000.000000,-1841708000000.000000,-2678496000000.000000,-321751000000.000000,29317000000.000000,,-440812000000.000000,,,-1945250000000.000000,-2678496000000.000000,-4520204000000.000000,644469000000.000000,-3875735000000.000000,,475977000000.000000,-3399758000000.000000,,,,,,,-3875735000000.000000,,-3875735000000.000000,-3875735000000.000000
12M 2009,14392940000000.000000,-12640433000000.000000,1752507000000.000000,-630236000000.000000,-455445000000.000000,-174791000000.000000,-630236000000.000000,1122271000000.000000,10713000000.000000,-265035000000.000000,30202000000.000000,,254383000000.000000,,,-8837000000.000000,10713000000.000000,1132984000000.000000,-335060000000.000000,797924000000.000000,,-250659000000.000000,547265000000.000000,,,,,,,797924000000.000000,,797924000000.000000,797924000000.000000
12M 2010,16965228000000.000000,-15849592000000.000000,1115636000000.000000,-539821000000.000000,-183113000000.000000,-356708000000.000000,-539821000000.000000,575815000000.000000,-443865000000.000000,-492807000000.000000,25114000000.000000,,83990000000.000000,,,-60162000000.000000,-443865000000.000000,131950000000.000000,-870801000000.000000,-738851000000.000000,,180221000000.000000,-558630000000.000000,,,,,,,-738851000000.000000,,-738851000000.000000,-738851000000.000000
12M 2011,19377426000000.000000,-18505784000000.000000,871642000000.000000,-647211000000.000000,-403802000000.000000,-243409000000.000000,-647211000000.000000,224431000000.000000,-389407000000.000000,-486268000000.000000,,5931000000.000000,,,,90930000000.000000,-389407000000.000000,-164976000000.000000,87581000000.000000,-77395000000.000000,,,-77395000000.000000,-169948000000.000000,-247343000000.000000,-77395000000.000000,-93284000000.000000,15889000000.000000,-77395000000.000000,-247343000000.000000,-244182000000.000000,-3161000000.000000,-247343000000.000000
12M 2012,2295023000.000000,-2282021000.000000,13002000.000000,-79331000.000000,-43207000.000000,-36124000.000000,-79331000.000000,-66329000.000000,-80139000.000000,-51955000.000000,,455000.000000,,,,-28639000.000000,-80139000.000000,-146468000.000000,22873000.000000,-123595000.000000,,,-123595000.000000,148000.000000,-123447000.000000,-123595000.000000,-92946000.000000,-30649000.000000,-123595000.000000,-123447000.000000,-92720000.000000,-30727000.000000,-123447000.000000
12M 2013,2518996000.000000,-2431378000.000000,87618000.000000,-79370000.000000,-37835000.000000,-41535000.000000,-79370000.000000,8248000.000000,-22638000.000000,-28902000.000000,,29000.000000,-7742000.000000,,,13977000.000000,-22638000.000000,-14390000.000000,-6347000.000000,-20737000.000000,,,-20737000.000000,-15860000.000000,-36597000.000000,-20737000.000000,-25867000.000000,5130000.000000,-20737000.000000,-36597000.000000,-39845000.000000,3248000.000000,-36597000.000000
12M 2014,2476887000.000000,-2366941000.000000,109946000.000000,-77645000.000000,-33443000.000000,-44202000.000000,-77645000.000000,32301000.000000,-26688000.000000,-38224000.000000,,4072000.000000,-4331000.000000,,,11795000.000000,-26688000.000000,5613000.000000,-7013000.000000,-1400000.000000,,,-1400000.000000,-960000.000000,-2360000.000000,-1400000.000000,-8704000.000000,7304000.000000,-1400000.000000,-2360000.000000,-9619000.000000,7259000.000000,-2360000.000000
12M 2015,1406139000.000000,-1267026000.000000,139113000.000000,-74512000.000000,-30770000.000000,-43742000.000000,-74512000.000000,64601000.000000,-29864000.000000,-28522000.000000,,-4482000.000000,-10317000.000000,,,13457000.000000,-29864000.000000,34737000.000000,-29655000.000000,5082000.000000,,,5082000.000000,-4898000.000000,184000.000000,5082000.000000,-5355000.000000,10437000.000000,5082000.000000,184000.000000,-9928000.000000,10112000.000000,184000.000000
12M 2016,1961307000.000000,-1473851000.000000,487456000.000000,-79219000.000000,-34733000.000000,-44486000.000000,-79219000.000000,408237000.000000,-28194000.000000,-38202000.000000,,-5426000.000000,-1298000.000000,,,16732000.000000,-28194000.000000,380043000.000000,-100247000.000000,279796000.000000,,,279796000.000000,-3681000.000000,276115000.000000,279796000.000000,131704000.000000,148092000.000000,279796000.000000,276115000.000000,128803000.000000,147312000.000000,276115000.000000
12M 2017,2452847000.000000,-1913202000.000000,539645000.000000,-94601000.000000,-50409000.000000,-44192000.000000,-94601000.000000,445044000.000000,-59640000.000000,-59707000.000000,,-8517000.000000,-2729000.000000,,,11313000.000000,-59640000.000000,385404000.000000,-105515000.000000,279889000.000000,,,279889000.000000,394000.000000,280283000.000000,279889000.000000,118116000.000000,161773000.000000,279889000.000000,280283000.000000,119266000.000000,161017000.000000,280283000.000000
12M 2018,3075561000.000000,-2270124000.000000,805437000.000000,-143236000.000000,-102764000.000000,-40472000.000000,-143236000.000000,662201000.000000,-206392000.000000,-208349000.000000,,-8445000.000000,-12284000.000000,,,22686000.000000,-206392000.000000,455809000.000000,-197643000.000000,258166000.000000,,-16100000.000000,242066000.000000,10605000.000000,252671000.000000,242066000.000000,72226000.000000,169840000.000000,242066000.000000,252671000.000000,72879000.000000,179792000.000000,252671000.000000
12M 2019,2402466000.000000,-1823015000.000000,579451000.000000,-154120000.000000,-111947000.000000,-42173000.000000,-154120000.000000,425331000.000000,-148662000.000000,-185026000.000000,,-3383000.000000,-2159000.000000,,,41906000.000000,-148662000.000000,276669000.000000,-139289000.000000,137380000.000000,,,137380000.000000,-11588000.000000,125792000.000000,137380000.000000,44130000.000000,93250000.000000,137380000.000000,125792000.000000,42433000.000000,83359000.000000,125792000.000000
12M 2020,2334170000.000000,-1750773000.000000,583397000.000000,-158076000.000000,-107557000.000000,-50519000.000000,-158076000.000000,425321000.000000,-174750000.000000,-213689000.000000,,20452000.000000,-10069000.000000,,,28556000.000000,-174750000.000000,250571000.000000,-103089000.000000,147482000.000000,,,147482000.000000,-11854000.000000,135628000.000000,147482000.000000,42373000.000000,105109000.000000,147482000.000000,135628000.000000,31924000.000000,103704000.000000,135628000.000000
12M 2021,3155656000.000000,-2370805000.000000,784851000.000000,-161353000.000000,-107899000.000000,-53454000.000000,-161353000.000000,623498000.000000,-142178000.000000,-182945000.000000,,20356000.000000,2000000.000000,3894000.000000,,14517000.000000,-142178000.000000,481320000.000000,-185313000.000000,296007000.000000,,,296007000.000000,42019000.000000,338026000.000000,296007000.000000,109115000.000000,186892000.000000,296007000.000000,338026000.000000,136438000.000000,201588000.000000,338026000.000000
12M 2022,2961532000.000000,-2515859000.000000,445673000.000000,-176585000.000000,-114253000.000000,-62332000.000000,-176585000.000000,269088000.000000,-113665000.000000,-202985000.000000,,39459000.000000,19239000.000000,5482000.000000,,25140000.000000,-113665000.000000,155423000.000000,-123213000.000000,32210000.000000,,,32210000.000000,145358000.000000,177568000.000000,32210000.000000,1759000.000000,30451000.000000,32210000.000000,177568000.000000,92210000.000000,85358000.000000,177568000.000000
12M 2023,2760359000.000000,-2202219000.000000,558140000.000000,-208072000.000000,-138960000.000000,-69112000.000000,-208072000.000000,350068000.000000,-126850000.000000,-322172000.000000,104146000.000000,69991000.000000,-8958000.000000,,,30143000.000000,-126850000.000000,223218000.000000,-123442000.000000,99776000.000000,,,99776000.000000,-22353000.000000,77423000.000000,99776000.000000,26116000.000000,73660000.000000,99776000.000000,77423000.000000,8460000.000000,68963000.000000,77423000.000000
12M 2024,2386995000.000000,-1868192000.000000,518803000.000000,-178887000.000000,-133358000.000000,-45529000.000000,-178887000.000000,339916000.000000,-107220000.000000,-349761000.000000,128811000.000000,78573000.000000,13851000.000000,,,21306000.000000,-107220000.000000,232696000.000000,-109800000.000000,122896000.000000,,,122896000.000000,-14570000.000000,108326000.000000,122896000.000000,56484000.000000,66412000.000000,122896000.000000,108326000.000000,44592000.000000,63734000.000000,108326000.000000
