Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kepada Pemasok, Karyawan, Dan Lainnya",Pembayaran Beban Keuangan,Pembayaran Atas Tagihan Pajak,Pembayaran Pajak Penghasilan,Pembayaran Beban Usaha,Pembayaran Surat Keputusan Pajak Kurang Bayar,Penerimaan Restitusi Pajak,Arus Kas Masuk Dari Aktivitas Operasi Atas Operasi Yang Dihentikan,Lain-Lain -Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penarikan Dari Rekening Yang Dibatasi Penggunaannya,Penempatan Pada Rekening Yang Dibatasi Penggunaannya,Penempatan Pada Deposito Berjangka,Penempatan Pada Aset Tidak Lancar Lainnya,Penarikan Pada Deposito Berjangka,Akuisisi Kepentingan Pada Entitas Anak Dari Kepentingan Non Pengendali,Penerimaan Atas Aset Keuangan Lainnya Yang Telah Jatuh Tempo,Akuisisi Aset,Akusisi Entitas Anak,Akusisi Entitas Asosiasi,Penambahan Beban Yang Ditangguhkan,Pencairan (Penambahan) Deposito Jangka Pendek Dan Jangka Panjang,Deposit Atas Akuisisi Entitas Anak,Arus Kas Bersih Pada Saat Akuisisi,Arus Kas Keluar Neto Dari Akuisisi Atas Entitas Anak Dengan Hak Partisipasi,Arus Kas Bersih Dari Aktivitas Investasi Operasi Yang Dihentikan,Penerimaan Bunga,Penerimaan Dividen Tunai,Perolehan Aset Keuangan Lainnya,Hasil Penjualan Aset Keuangan Lainnya,Pengembalian Aset Keuangan Lainnya,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Properti Investasi,Pembayaran Tax Security Deposit,Uang Muka Pembelian Bangunan,Penambahan Tanaman Perkebunan,Penambahan Hutan Tanaman Industri,Penambahan Biaya Pengembangan Proyek,Penanaman Tanaman Industri Dalam Pengembangan,Penjualan Barang Investasi,Pembayaran Uang Muka Investasi,Investasi Diperusahaan Asosiasi,Perolehan Investasi Saham,Hasil Penjualan Investasi Saham,Hasil Penjualan Saham Entitas Anak,Pembelian Tambahan Saham Anak Perusahaan,Beban Ditangguhkan Atas Tanah,Pembayaran Uang Muka Pembelian Hak Atas Tanah,Perolehan Investasi Jangka Pendek,Hasil Penjualan Investasi Jangka Pendek,Penurunan Piutang Lain-Lain Dari Pihak Berelasi,Peningkatan Piutang Lain-Lain Dari Pihak Berelasi,Pemberian Pinjaman Kepada Pihak Berelasi,Pembayaran Biaya Transaksi Untuk Akuisisi Kepemilikan Di Entitas Anak Dari Pihak Nonpengendali,Pembayaran Untuk Kepemilikan Tambahan Pada Entitas Asosiasi,Bagi Hasil Operasi,Penerimaan Dari Pihak Berelasi,Penambahan Aset Tak Berwujud,Penambahan Suku Cadang Dan Peralatan,Pembayaran Beban Bunga Yang Dikapitalisasi Ke Aset Tetap,Biaya Transaksi Untuk Akuisisi Di Anak Perusahaan,Uang Muka Penambahan Investasi Entitas Anak,Penambahan Investasi Pada Saham Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Dari Penerbitan Obligasi,Penerimaan Utang Obligasi Dan Wesel Bayar,Pembayaran Utang Obligasi,Pembayaran Liabilitas Sewa,Biaya Transaksi Atas Akuisisi Di Anak Perusahaan,Pembayaran Liabilitas Keuangan,Pembelian Saham Diperoleh Kembali,Pembayaran Biaya Perolehan Pinjaman,Penerimaan Pinjaman Berjangka,Penerbitan Wesel Bayar,Pembayaran Dividen,Pembayaran Dividen Tunai Entitas Anak Kepada Pemegang Saham Lainnya,Penerimaan Dari Kepentingan Nonpengendali,Kontribusi Modal Dari Kepentingan Non Pengendali,Pembayaran Sewa Pembiayaan,Penarikan Dari Rekening Yang Dibatasi Penggunaannya,Penempatan Pada Rekening Yang Dibatasi Penggunaannya,Penerimaan Dari Surat Hutang Tanpa Jaminan,Hasil Emisi Dari Penawaran Umum,Biaya Emisi Penawaran Umum Terbatas,Pembayaran Utang Pembelian Aset Tetap,Pelunasan Dipercepat Senior Secured Notes,Pembayaran Beban Bunga Dan Beban Keuangan,Pembayaran Utang Lain-Lain Kepada Pihak Berelasi,Pembayaran/Penerimaan Utang Jangka Panjang Pihak Berelasi,Kewajiban Lembaga Keuangan Non Bank,Pembayaran Pajak Atas Pembagian Saham Bonus,Penerimaan Utang Lembaga Keuangan Non-Bank,Denda Untuk Pembatalan Tranche B,Arus Kas Bersih Dari Aktivitas Pendanaan Operasi Yang Dihentikan,Penerimaan Dari Ipo Entitas Anak,Penerimaan Dari Pelepasan Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Kelompok Lepasan Yang Dimiliki Untuk Dijual,Kas Dan Setara Kas Akhir Periode
12M 2008,-849465000000.000000,18509738000000.000000,-18821248000000.000000,-259698000000.000000,,-278257000000.000000,,,,,,-849465000000.000000,-627133000000.000000,,,,,,,,,,,,,-566835000000.000000,,,,29317000000.000000,11593000000.000000,,,,-93392000000.000000,13100000000.000000,,-38000000.000000,,,,,,,,,,,12000000000.000000,,-32878000000.000000,,,,,,,,,,,,,,,,,,-627133000000.000000,2010759000000.000000,975675000000.000000,-86007000000.000000,,-273189000000.000000,,,,,,,,,,,,,,,,,,1394280000000.000000,,,,,,,,,,,,,,,2010759000000.000000,534161000000.000000,1036106000000.000000,,,1570267000000.000000
12M 2009,1034262000000.000000,13928228000000.000000,-12528868000000.000000,-214014000000.000000,,-399237000000.000000,,,248153000000.000000,,,1034262000000.000000,-191864000000.000000,,,,,,,,,,,,,,,,,30202000000.000000,4117000000.000000,,,,-142932000000.000000,6056000000.000000,,-253000000.000000,,,,,,,,,,-165880000000.000000,76826000000.000000,,,,,,,,,,,,,,,,,,,,-191864000000.000000,-544175000000.000000,,-492185000000.000000,,-51990000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-544175000000.000000,298223000000.000000,1570267000000.000000,,,1868490000000.000000
12M 2010,773066000000.000000,17086554000000.000000,-15610224000000.000000,-556533000000.000000,,-487315000000.000000,,,340584000000.000000,,,773066000000.000000,-261928000000.000000,,,,,,,,,,,,,-100000000.000000,,,,25114000000.000000,9537000000.000000,,,,-295964000000.000000,288000000.000000,,-2224000000.000000,,,-86194000000.000000,,,,,,,-208331000000.000000,295946000000.000000,,,,,,,,,,,,,,,,,,,,-261928000000.000000,-655915000000.000000,113600000000.000000,-2745398000000.000000,,,2028044000000.000000,,-225407000000.000000,,,,,,,,,-54734000000.000000,,,-2970000000.000000,,,230950000000.000000,,,,,,,,,,,,,,,-655915000000.000000,-144777000000.000000,1876990000000.000000,,,1732213000000.000000
12M 2011,-772330000000.000000,19196419000000.000000,-18817945000000.000000,-489995000000.000000,,-601532000000.000000,,-189862000000.000000,130585000000.000000,,,-772330000000.000000,-429254000000.000000,,,,,,,,,,,,,,,,,18407000000.000000,28000000.000000,-308902000000.000000,248419000000.000000,34757000000.000000,-1213004000000.000000,6757000000.000000,,-542000000.000000,,-23897000000.000000,-84581000000.000000,,,,,,,,,893304000000.000000,,,,,,,,,,,,,,,,,,,-429254000000.000000,691857000000.000000,614920000000.000000,-132097000000.000000,227200000000.000000,,,,,,,,,,,,,-15597000000.000000,,,-2569000000.000000,,,,,,,,,,,,,,,,,,691857000000.000000,-509727000000.000000,3029961000000.000000,,,2520234000000.000000
12M 2012,87924000.000000,2272974000.000000,-2130826000.000000,-46954000.000000,,-38100000.000000,,-4240000.000000,35070000.000000,,,87924000.000000,-94341000.000000,9908000.000000,-9377000.000000,,,,,,,,,,,,2220000.000000,,,1857000.000000,161000.000000,-3433000.000000,8096000.000000,,-91442000.000000,619000.000000,,-562000.000000,,-3714000.000000,-8674000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,-94341000.000000,18007000.000000,288781000.000000,-330000.000000,5000000.000000,-25000000.000000,,,-225364000.000000,,,,,,,,,,,,-80000.000000,,,,,,,,,,-25000000.000000,,,,,,,,18007000.000000,11590000.000000,134815000.000000,,,146405000.000000
12M 2013,95482000.000000,2492083000.000000,-2368093000.000000,-32361000.000000,,-28394000.000000,,-31338000.000000,63585000.000000,,,95482000.000000,-123108000.000000,1342000.000000,,,,,,,,,,,,,-2819000.000000,,,1838000.000000,556000.000000,,,,-74382000.000000,7380000.000000,,-212000.000000,,-40472000.000000,-10019000.000000,-8000.000000,,,,,-5400000.000000,,,,,,,,,-2163000.000000,1251000.000000,,,,,,,,,,,,-123108000.000000,150915000.000000,62668000.000000,-40772000.000000,21776000.000000,-9000000.000000,,,,,,,,-4876000.000000,,,,-1453000.000000,127634000.000000,,-62000.000000,,,,,,,,,,-5000000.000000,,,,,,,,150915000.000000,123289000.000000,146405000.000000,-467000.000000,,269227000.000000
12M 2014,56944000.000000,2557666000.000000,-2463183000.000000,-35669000.000000,,-35830000.000000,,-27444000.000000,61404000.000000,,,56944000.000000,-216863000.000000,,-12364000.000000,,,,,,,,,,,,,,,3531000.000000,226000.000000,,,,-184092000.000000,75000.000000,,-23000.000000,,-11496000.000000,-5108000.000000,,,,,,-8100000.000000,,,615000.000000,,,,,,-3670000.000000,3543000.000000,,,,,,,,,,,,-216863000.000000,109940000.000000,206320000.000000,-55056000.000000,72003000.000000,,,,,,,,,-3531000.000000,,,,-2684000.000000,,,-68000.000000,,,,,,-13265000.000000,,,,-93779000.000000,,,,,,,,109940000.000000,-49979000.000000,269227000.000000,-331000.000000,,218917000.000000
12M 2015,80515000.000000,1454511000.000000,-1362246000.000000,-28993000.000000,,-27611000.000000,,,44854000.000000,,,80515000.000000,-244901000.000000,1486000.000000,-1858000.000000,,,,,,,,,,,,,,,932000.000000,,,25789000.000000,,-220668000.000000,34000.000000,-3891000.000000,-33000.000000,,,-1559000.000000,,,,,,-46172000.000000,,,,,,,,,-105000.000000,1144000.000000,,,,,,,,,,,,-244901000.000000,50613000.000000,169869000.000000,-158618000.000000,240504000.000000,,,,,,,,,-2594000.000000,,,,-2685000.000000,,,-54000.000000,,,,,,-7413000.000000,,,,-188396000.000000,,,,,,,,50613000.000000,-113773000.000000,218917000.000000,34000.000000,,105178000.000000
12M 2016,436518000.000000,1875104000.000000,-1396523000.000000,-34058000.000000,,-69341000.000000,,,61336000.000000,,,436518000.000000,-135325000.000000,2366000.000000,,,,,,,,,,,,,,,,2091000.000000,,-4556000.000000,,,-73924000.000000,250000.000000,-3162000.000000,-261000.000000,,,-635000.000000,,,,,-58599000.000000,-1954000.000000,,,,,,,,,,,,,,3059000.000000,,,,,,,,-135325000.000000,-99971000.000000,201810000.000000,-316449000.000000,280135000.000000,,37510000.000000,,,,,,-4407000.000000,-3463000.000000,,,,-21886000.000000,,,,,,,,,,,,-978000.000000,-272243000.000000,,,,,,,,-99971000.000000,201222000.000000,105178000.000000,,,306400000.000000
12M 2017,337886000.000000,2387753000.000000,-1859137000.000000,-43597000.000000,,-164296000.000000,,,17163000.000000,,,337886000.000000,-426119000.000000,3882000.000000,-19832000.000000,,,,,,,,,,,,,,,3652000.000000,,-17120000.000000,,,-210573000.000000,,-10806000.000000,,,,-489000.000000,,,,,-175714000.000000,-18000.000000,,,,,,,,,,,,,,899000.000000,,,,,,,,-426119000.000000,662806000.000000,250000000.000000,-135037000.000000,,,326858000.000000,,,,,,-169000.000000,-7264000.000000,,,,-82939000.000000,371357000.000000,,,,,,,,,,,,-60000000.000000,,,,,,,,662806000.000000,574573000.000000,306400000.000000,,,880973000.000000
