Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,560543176405.0,-450402109527.0,110141066878.0,-18103448951.0,-18103448951.0,-18103448951.0,92037617927.0,-6527211111.0,-5703416750.0,47852194.0,-871646555.0,-6527211111.0,85510406816.0,-22869186755.0,62641220061.0,47775223.0,47775223.0,47775223.0,62688995284.0,62641220061.0,62641220156.0,-95.0,62641220061.0,62688995284.0,62688995379.0,-95.0,62688995284.0
12M 2019,559343358203.0,-460080988096.0,99262370107.0,-33704705296.0,-33704705296.0,-33704705296.0,65557664811.0,-6374462913.0,-5476062354.0,1104551586.0,-2002952145.0,-6374462913.0,59183201898.0,-18068095620.0,41115106278.0,-859164406.0,-859164406.0,-859164406.0,40255941872.0,41115106278.0,42282247003.0,-1167140725.0,41115106278.0,40255941872.0,41423082597.0,-1167140725.0,40255941872.0
12M 2020,635242826351.0,-523835659306.0,111407167045.0,-28325801043.0,-28325801043.0,-28325801043.0,83081366002.0,5760292311.0,-21604946549.0,143536061.0,27221702799.0,5760292311.0,88841658313.0,-16201744785.0,72639913528.0,836533768.0,836533768.0,836533768.0,73476447296.0,72639913528.0,73777237523.0,-1137323995.0,72639913528.0,73476447296.0,74613771291.0,-1137323995.0,73476447296.0
12M 2021,1864537484808.0,-1537361866445.0,327175618363.0,-38282499075.0,-38282499075.0,-38282499075.0,288893119288.0,-34107311793.0,-36445519533.0,274086896.0,2064120844.0,-34107311793.0,254785807495.0,-56644502470.0,198141305025.0,261532595.0,261532595.0,261532595.0,198402837620.0,198141305025.0,199284358040.0,-1143053015.0,198141305025.0,198402837620.0,199545890620.0,-1143053000.0,198402837620.0
12M 2022,2733605088044.0,-2144981914884.0,588623173160.0,-56605397209.0,-56605397209.0,-56605397209.0,532017775951.0,-16725904145.0,-28300915570.0,238420162.0,11336591263.0,-16725904145.0,515291871806.0,-111203275882.0,404088595924.0,-131177213.0,-131177213.0,-131177213.0,403957418711.0,404088595924.0,388973208569.0,15115387355.0,404088595924.0,403957418711.0,388842031356.0,15115387355.0,403957418711.0
12M 2023,2553106269942.0,-2063968408865.0,489137861077.0,-68751252428.0,-68751252428.0,-68751252428.0,420386608649.0,-24615774701.0,-21654035607.0,975766656.0,-3937505750.0,-24615774701.0,395770833948.0,-86831469252.0,308939364696.0,-146153570.0,-146153570.0,-146153570.0,308793211126.0,308939364696.0,302855653539.0,6083711157.0,308939364696.0,308793211126.0,302709499969.0,6083711157.0,308793211126.0
12M 2024,2461044384744.0,-2000572484930.0,460471899814.0,-79830745525.0,-79830745525.0,-79830745525.0,380641154289.0,-28660097138.0,-33922242646.0,6306215574.0,-1044070066.0,-28660097138.0,351981057151.0,-77232417548.0,274748639603.0,217101092.0,217101092.0,217101092.0,274965740695.0,274748639599.0,288044079457.0,-13295439858.0,274748639599.0,274965740695.0,288261180553.0,-13295439858.0,274965740695.0
