Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Penerimaan Untuk Beban Administrasi Karyawan,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan Badan,Penerimaan Perpajakan,Penerimaan Bunga,Pembayaran Bunga Dan Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penempatan Uang Muka Pembelian Aset,Penambahan Properti Investasi,Penambahan Properti Pertambangan,Penarikan Modal Saham Asosiasi,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penempatan Deposito Berjangka,Penerimaan Bunga,Pencairan Deposito,Pembayaran Dividen,Pengeluaran Untuk Akuisisi Entitas Anak,Saldo Kas Neto Yang Diterima Dari Pelepasan Entitas Anak,Uang Muka Pembelian Saham,Penambahan Investasi Pada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman,Pinjaman Jangka Panjang,Penerimaan,Pembayaran,Total Pinjaman Jangka Panjang,Pinjaman Jangka Pendek,Penerimaan,Pembayaran,Total Pinjaman Jangka Pendek,Penerimaan Dividen,Pembayaran Dividen,Penerimaan Pinjaman Dari Pihak Ketiga,Pembayaran Pinjaman Dari Pihak Ketiga,Pembayaran Liabilitas Sewa,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Dari Pihak Berelasi,Penempatan Deposito Berjangka Yang Dibatasi Penggunaannya,Penerimaan Deposito,Penerimaan Atas Modal Disetor,Kenaikan Modal Saham,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Bank Dari Akuisisi Entitas Anak,Kas Dan Bank Dari Pelepasan Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-40776780429.000000,497379213636.000000,-468115750459.000000,,-42722642263.000000,-21662036788.000000,,47852194.000000,-5703416749.000000,-40776780429.000000,-111829817775.000000,-110330817775.000000,,,,,,,,,,,,,,-1499000000.000000,-111829817775.000000,158366002118.000000,,,106700000000.000000,-88833997882.000000,17866002118.000000,,,,,,,,,,,,-3500000000.000000,,144000000000.000000,,158366002118.000000,5759403914.000000,,,740604463.000000,6500008377.000000
12M 2019,-35751393315.000000,553228291146.000000,-436004167063.000000,,-92351315127.000000,-32447018007.000000,,1104551586.000000,-29281735850.000000,-35751393315.000000,-210561233382.000000,-214644596225.000000,,,,,,,,,,,,13941362843.000000,-9858000000.000000,,-210561233382.000000,251201144332.000000,,,196734000000.000000,-67838093863.000000,128895906137.000000,,,,,,,114625020000.000000,,,7680218195.000000,,,,,,251201144332.000000,4888517635.000000,,,6499108377.000000,11387626012.000000
12M 2020,101660565701.000000,593689229808.000000,-335675766239.000000,,-106445691122.000000,-15107378204.000000,,143536061.000000,-34943364603.000000,101660565701.000000,-122531346145.000000,-107028430534.000000,,,,,,,,,,,,-2915611.000000,-15500000000.000000,,-122531346145.000000,-12295438370.000000,,,,-68790391141.000000,-68790391141.000000,,58600000000.000000,,58600000000.000000,,,,,,,-2105047229.000000,,,,,-12295438370.000000,-33166218814.000000,,,11387626012.000000,-21778592802.000000
12M 2021,309568764418.000000,1856271902825.000000,-1532505373262.000000,64271113106.000000,,-42297445614.000000,,274086896.000000,-36445519533.000000,309568764418.000000,-343250828488.000000,-244667485666.000000,,,,,,,,,,,-98583342822.000000,,,,-343250828488.000000,80689371866.000000,,,118000000000.000000,-86930780027.000000,31069219973.000000,,22200000000.000000,-3700000000.000000,18500000000.000000,8419548951.000000,,,,-49150057.000000,,-153675405335.000000,,,88925158334.000000,87500000000.000000,80689371866.000000,47007307796.000000,371378196.000000,-24802388.000000,-21778592799.000000,25575290805.000000
12M 2022,287672721403.000000,2620822554812.000000,-2264298827966.000000,,,-87815533445.000000,47265443572.000000,,-28300915570.000000,287672721403.000000,-67013142899.000000,-49051901650.000000,,,,,,,-18199661411.000000,238420162.000000,,,,,,,-67013142899.000000,-181327801585.000000,,,,-92352942111.000000,-92352942111.000000,,-113814422200.000000,,-113814422200.000000,,,,,,,24839562726.000000,,,,,-181327801585.000000,39331776919.000000,,,25575290805.000000,64907067724.000000
12M 2023,187437138490.000000,2452912258967.000000,-2255463963149.000000,,,-134941796678.000000,146584674957.000000,,-21654035607.000000,187437138490.000000,-399796213264.000000,-212065762449.000000,,,-30139026165.000000,10320000000.000000,,,-151538130583.000000,751705933.000000,13500000000.000000,-30625000000.000000,,,,,-399796213264.000000,93022318226.000000,,,279353554123.000000,-331193235540.000000,-51839681417.000000,,764770914407.000000,-491041518606.000000,273729395801.000000,,,,,,,-128867396158.000000,,,,,93022318226.000000,-119336756548.000000,,,64907067724.000000,-54429688824.000000
12M 2024,424576115947.000000,2532360718525.000000,-1993414512515.000000,-103466546622.000000,,-109217242112.000000,132235941317.000000,,-33922242646.000000,424576115947.000000,-306069632426.000000,-114318982355.000000,-13291038134.000000,,-37293737497.000000,15480000000.000000,10527940000.000000,-197714353871.000000,-392232714358.000000,861972366.000000,452540481423.000000,-30629200000.000000,,,,,-306069632426.000000,-102665073063.000000,,,,-64218500000.000000,-64218500000.000000,,1503394450362.000000,-1535621427801.000000,-32226977439.000000,,,,-6219595624.000000,,,,,,,,-102665073063.000000,15841410458.000000,,,-54429688824.000000,-38588278366.000000
