Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Eksplorasi Dan Evaluasi,Properti Pertambangan,Aset Tetap,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Bank,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Bank,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,9097125.000000,,,3318200.000000,2808732.000000,509468.000000,3318200.000000,1031547.000000,11433.000000,1020114.000000,1031547.000000,655563.000000,810625.000000,14913060.000000,,4062456.000000,9942116.000000,3794626.000000,20102790.000000,573412.000000,2306983.000000,40782383.000000,55695443.000000,,,13844576.000000,2534668.000000,,5450683.000000,2471360.000000,7922043.000000,,890882.000000,,890882.000000,901888.000000,688150.000000,470028.000000,,,,470028.000000,436917.000000,13844576.000000,42045154.000000,22877847.000000,18479344.000000,,,,18479344.000000,119091.000000,568872.000000,42045154.000000,55889730.000000,,425656.000000,,-942778.000000,,-942778.000000,-942778.000000,328183.000000,-5348.000000,-194287.000000,55695443.000000,35000.000000
12M 2011,,,27519653.000000,,,7309807.000000,6917972.000000,391835.000000,7309807.000000,1797062.000000,307429.000000,1489633.000000,1797062.000000,9521080.000000,1103911.000000,47251513.000000,,4023501.000000,21005312.000000,5635090.000000,20102790.000000,1220383.000000,3928737.000000,55915813.000000,103167326.000000,,,44634049.000000,9569925.000000,,16184853.000000,3422994.000000,19607847.000000,,723063.000000,,723063.000000,4423573.000000,1999633.000000,7975274.000000,,,,7975274.000000,334734.000000,44634049.000000,28841467.000000,10658099.000000,16700838.000000,,,,16700838.000000,151879.000000,1330651.000000,28841467.000000,73475516.000000,,25753167.000000,201757.000000,2159612.000000,,2159612.000000,2159612.000000,1577274.000000,,29691810.000000,103167326.000000,2355000.000000
12M 2012,,,30834930.000000,,,29276279.000000,25442328.000000,3833951.000000,29276279.000000,2393487.000000,2131126.000000,262361.000000,2393487.000000,16018655.000000,488792.000000,79012143.000000,,4153475.000000,22629033.000000,7660879.000000,20102790.000000,2027423.000000,3724040.000000,60297640.000000,139309783.000000,,,47081153.000000,13053540.000000,,13250266.000000,10269070.000000,23519336.000000,,533895.000000,,533895.000000,4489886.000000,3612823.000000,1726381.000000,,,,1726381.000000,145292.000000,47081153.000000,9760377.000000,6129322.000000,1729954.000000,,,,1729954.000000,,1901101.000000,9760377.000000,56841530.000000,,28468640.000000,48431262.000000,11942215.000000,,11942215.000000,11942215.000000,1102.000000,-6374966.000000,82468253.000000,139309783.000000,2616500000.000000
12M 2013,,,834252.000000,,,12954840.000000,8573124.000000,4381716.000000,12954840.000000,1986579.000000,1774182.000000,212397.000000,1986579.000000,16940027.000000,416453.000000,33132151.000000,,5012282.000000,29402275.000000,63307777.000000,20102790.000000,2494314.000000,5788902.000000,126108340.000000,159240491.000000,,,67079982.000000,14646002.000000,,14227370.000000,5348600.000000,19575970.000000,,1317373.000000,17000000.000000,18317373.000000,10012314.000000,2966611.000000,,970774.000000,28150.000000,,998924.000000,562788.000000,67079982.000000,4957365.000000,1500527.000000,,1928.000000,610944.000000,,612872.000000,434184.000000,2409782.000000,4957365.000000,72037347.000000,,28468640.000000,48431262.000000,16677083.000000,110560.000000,16566523.000000,16677083.000000,838.000000,-6374679.000000,87203144.000000,159240491.000000,2616500000.000000
12M 2014,,,4835016.000000,,,23859305.000000,8740987.000000,15118318.000000,23859305.000000,464611.000000,132293.000000,332318.000000,464611.000000,8837718.000000,1318431.000000,39315081.000000,,923110.000000,34882531.000000,63045244.000000,20102790.000000,2985835.000000,5935791.000000,127875301.000000,167190382.000000,,,58642244.000000,14698123.000000,,11893084.000000,2073033.000000,13966117.000000,,286597.000000,,286597.000000,20479466.000000,2869225.000000,,14143.000000,343005.000000,5555556.000000,5912704.000000,430012.000000,58642244.000000,18811148.000000,378.000000,,4429.000000,,14444444.000000,14448873.000000,772825.000000,3589072.000000,18811148.000000,77453392.000000,,28468640.000000,48431262.000000,19210915.000000,210560.000000,19000355.000000,19210915.000000,852.000000,-6374679.000000,89736990.000000,167190382.000000,2616500000.000000
12M 2015,,,14461640.000000,,,23698401.000000,8659035.000000,15039366.000000,23698401.000000,651044.000000,15170.000000,635874.000000,651044.000000,6370826.000000,1131612.000000,46313523.000000,,1113284.000000,32979710.000000,66446110.000000,20102790.000000,1837205.000000,5084696.000000,127563795.000000,173877318.000000,,,55450256.000000,8734000.000000,,10202659.000000,643745.000000,10846404.000000,,94415.000000,,94415.000000,20749594.000000,7707150.000000,,3969.000000,,7314724.000000,7318693.000000,,55450256.000000,13475686.000000,,,,,9553825.000000,9553825.000000,2157490.000000,1764371.000000,13475686.000000,68925942.000000,,28468640.000000,48431262.000000,34425273.000000,310560.000000,34114713.000000,34425273.000000,880.000000,-6374679.000000,104951376.000000,173877318.000000,2616500000.000000
12M 2016,,,12135903.000000,,,34186652.000000,9715192.000000,24471460.000000,34186652.000000,709246.000000,89334.000000,619912.000000,709246.000000,5247018.000000,1903675.000000,54182494.000000,,1449662.000000,32321914.000000,68829822.000000,20102790.000000,1723901.000000,5371327.000000,129799416.000000,183981910.000000,,,48895237.000000,14324000.000000,,424170.000000,11035045.000000,11459215.000000,,,,,13803440.000000,1993858.000000,,,,7314724.000000,7314724.000000,,48895237.000000,7741292.000000,,,,,2239101.000000,2239101.000000,,5502191.000000,7741292.000000,56636529.000000,,28468640.000000,48431262.000000,56819207.000000,410560.000000,56408647.000000,56819207.000000,951.000000,-6374679.000000,127345381.000000,183981910.000000,2616500000.000000
12M 2017,,,18535847.000000,,,50824269.000000,25772355.000000,25051914.000000,50824269.000000,669902.000000,9368.000000,660534.000000,669902.000000,5545199.000000,3297772.000000,78872989.000000,,1765521.000000,39261508.000000,63833889.000000,20102790.000000,2240820.000000,4059937.000000,131264465.000000,210137454.000000,,,54430580.000000,2437763.000000,,52628.000000,6256061.000000,6308689.000000,,,,,27371391.000000,17205404.000000,,,,1107333.000000,1107333.000000,,54430580.000000,5816199.000000,,,,,,,,5816199.000000,5816199.000000,60246779.000000,,28468640.000000,48431262.000000,79364446.000000,5693728.000000,73670718.000000,79364446.000000,1006.000000,-6374679.000000,149890675.000000,210137454.000000,2616500000.000000
12M 2018,,,17968352.000000,,,52754699.000000,15914234.000000,36840465.000000,52754699.000000,831453.000000,66136.000000,765317.000000,831453.000000,15939832.000000,2964803.000000,90459139.000000,,2501613.000000,62300719.000000,61417640.000000,20102790.000000,2666682.000000,5651619.000000,154641063.000000,245100202.000000,,,74454433.000000,3366782.000000,,1582799.000000,23437046.000000,25019845.000000,,,,,37638446.000000,3429360.000000,,,,5000000.000000,5000000.000000,,74454433.000000,20366432.000000,,,,,14375000.000000,14375000.000000,,5991432.000000,20366432.000000,94820865.000000,,28468640.000000,48431262.000000,79753130.000000,5693728.000000,74059402.000000,79753130.000000,984.000000,-6374679.000000,150279337.000000,245100202.000000,2616500000.000000
12M 2019,,,12752524.000000,,,49719428.000000,7279932.000000,42439496.000000,49719428.000000,836278.000000,67316.000000,768962.000000,836278.000000,12366729.000000,1862375.000000,77537334.000000,,3515130.000000,65250974.000000,61167459.000000,20102790.000000,3865683.000000,19240946.000000,173142982.000000,250680316.000000,,,64264652.000000,,,1291746.000000,27511933.000000,28803679.000000,,,,,28709149.000000,1751824.000000,,,,5000000.000000,5000000.000000,,64264652.000000,16098006.000000,,,,,9375000.000000,9375000.000000,,6723006.000000,16098006.000000,80362658.000000,,28468640.000000,48431262.000000,99791403.000000,5693728.000000,94097675.000000,99791403.000000,1032.000000,-6374679.000000,170317658.000000,250680316.000000,2616500000.000000
