Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,-134215.08,0.00,-5298334.65,27 B,372 B,399 B,317 B,10 B
12M 2011,0.00,108255.89,0.00,30849.47,159 B,248 B,407 B,158 B,24 B
12M 2012,6.50,304.78,8.59,230.48,143 B,76 B,219 B,(79 B),309 B
12M 2013,4.80,406.53,6.23,312.81,191 B,26 B,217 B,206 B,(414 B)
12M 2014,3.73,426.68,4.80,331.09,256 B,180 B,436 B,376 B,(240 B)
12M 2015,2.01,553.33,2.48,447.34,221 B,132 B,353 B,154 B,(126 B)
12M 2016,2.16,653.93,2.56,550.70,291 B,30 B,321 B,158 B,71 B
12M 2017,2.71,776.12,3.12,672.02,48 B,,48 B,(203 B),331 B
12M 2018,2.81,831.71,3.25,720.46,121 B,208 B,329 B,69 B,232 B
12M 2019,2.01,904.86,2.28,798.06,70 B,130 B,200 B,23 B,185 B
12M 2020,1.65,1026.27,1.85,917.90,79 B,65 B,145 B,(214 B),495 B
12M 2021,2.97,1378.48,3.22,1268.78,141 B,77 B,217 B,"(2,149 B)","1,458 B"
12M 2022,3.30,1313.84,3.63,1194.05,43 B,86 B,129 B,"(1,236 B)",655 B
12M 2023,2.70,1430.80,2.94,1312.18,42 B,44 B,86 B,(618 B),899 B
12M 2024,2.74,1630.63,2.97,1506.50,42 B,4 B,46 B,(534 B),"1,320 B"
