Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,55793577.0,-29277150.0,26516427.0,-18924149.0,-14201545.0,-4766474.0,43870.0,-18924149.0,7592278.0,-1967525.0,34005.0,-2001530.0,-1967525.0,5624753.0,-1271399.0,4353354.0,10486.0,4363840.0,4353354.0,3102390.0,1250964.0,4353354.0,4363840.0,3107738.0,1256102.0,4363840.0
12M 2012,108968528.000000,-65054321.000000,43914207.000000,-28463707.000000,-28497595.000000,-6837611.000000,6871499.000000,-28463707.000000,15450500.000000,-2539465.000000,346274.000000,-2885739.000000,-2539465.000000,12911035.000000,-3127446.000000,9783589.000000,,9783589.000000,9783589.000000,9782603.000000,986.000000,9783589.000000,9783589.000000,9782603.000000,986.000000,9783589.000000
12M 2013,143173506.000000,-95398548.000000,47774958.000000,-40071232.000000,-31643429.000000,-7814550.000000,-613253.000000,-40071232.000000,7703726.000000,-972848.000000,275625.000000,-1248473.000000,-972848.000000,6730878.000000,-1995987.000000,4734891.000000,,4734891.000000,4734891.000000,4734868.000000,23.000000,4734891.000000,4734891.000000,4734868.000000,23.000000,4734891.000000
12M 2014,217110403.000000,-169914993.000000,47195410.000000,-40378119.000000,-29578282.000000,-11059417.000000,259580.000000,-40378119.000000,6817291.000000,-1625533.000000,48911.000000,-1674444.000000,-1625533.000000,5191758.000000,-2657912.000000,2533846.000000,,2533846.000000,2533846.000000,2533832.000000,14.000000,2533846.000000,2533846.000000,2533832.000000,14.000000,2533846.000000
12M 2015,259020747.0,-170562185.0,88458562.0,-50824846.0,-36940833.0,-12558852.0,-1325161.0,-50824846.0,37633716.0,-1151136.0,405344.0,-1556480.0,-1151136.0,36482580.0,-10106455.0,26376125.0,371117.0,26747242.0,26376125.0,26376050.0,75.0,26376125.0,26747242.0,26747167.0,75.0,26747242.0
12M 2016,242598535.0,-165410972.0,77187563.0,-40467689.0,-32875897.0,-6820796.0,-770996.0,-40467689.0,36719874.0,-1127619.0,100979.0,-1228598.0,-1127619.0,35592255.0,-8170678.0,27421577.0,-27572.0,27394005.0,27421577.0,27421506.0,71.0,27421577.0,27394005.0,27393934.0,71.0,27394005.0
12M 2017,392574134.0,-221453657.0,171120477.0,-59413358.0,-50542093.0,-8935319.0,64054.0,-59413358.0,111707119.0,-18553.0,657049.0,-675602.0,-18553.0,111688566.0,-28871637.0,82816929.0,-271462.0,82545467.0,82816929.0,82816701.0,228.0,82816929.0,82545467.0,82545239.0,228.0,82545467.0
12M 2018,443432403.0,-286014873.0,157417530.0,-64427724.0,-57297506.0,-7598629.0,468411.0,-64427724.0,92989806.0,365069.0,919127.0,-554058.0,365069.0,93354875.0,-24291684.0,69063191.0,325688.0,69388879.0,69063191.0,69062996.0,195.0,69063191.0,69388879.0,69388684.0,195.0,69388879.0
12M 2019,418087491.0,-307629852.0,110457639.0,-68072787.0,-57719276.0,-8600754.0,-1752757.0,-68072787.0,42384852.0,-1068723.0,223030.0,-1291753.0,-1068723.0,41316129.0,-10848672.0,30467457.0,-429105.0,30038352.0,30467457.0,30467378.0,79.0,30467457.0,30038352.0,30038273.0,79.0,30038352.0
12M 2020,331463965.0,-231556947.0,99907018.0,-58614625.0,-48942691.0,-8679589.0,-992345.0,-58614625.0,41292393.0,-453380.0,402524.0,-855904.0,-453380.0,40839013.0,-10318744.0,30520269.0,-444342.0,30075927.0,30520269.0,30520185.0,84.0,30520269.0,30075927.0,30075843.0,84.0,30075927.0
12M 2021,691372585.0,-339760699.0,351611886.0,-87171866.0,-74621343.0,-8360921.0,-4189602.0,-87171866.0,264440020.0,-231562.0,486256.0,-717818.0,-231562.0,264208458.0,-59044129.0,205164329.0,72555.0,205236884.0,205164329.0,205163912.0,417.0,205164329.0,205236884.0,205236467.0,417.0,205236884.0
12M 2022,1029015864.0,-565714830.0,463301034.0,-155021661.0,-110062338.0,-8732102.0,-36227221.0,-155021661.0,308279373.0,501802.0,975606.0,-473804.0,501802.0,308781175.0,-68885156.0,239896019.0,-30365.0,239865654.0,239896019.0,239895604.0,415.0,239896019.0,239865654.0,239865239.0,415.0,239865654.0
12M 2023,1134336606.0,-783055356.0,351281250.0,-132990860.0,-150098988.0,-12789925.0,29898053.0,-132990860.0,218290390.0,2299564.0,2669803.0,-370239.0,2299564.0,220589954.0,-58320495.0,162269459.0,-263475.0,162005984.0,162269459.0,162269080.0,379.0,162269459.0,162005984.0,162005605.0,379.0,162005984.0
12M 2024,947769460.0,-638608631.0,309160829.0,-139432921.0,-120991566.0,-11250136.0,-7191219.0,-139432921.0,169727908.0,1902398.0,2130542.0,-228144.0,1902398.0,171630306.0,-40078628.0,131551678.0,34524.0,131586202.0,131551678.0,131551348.0,330.0,131551678.0,131586202.0,131585872.0,330.0,131586202.0
