Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Tunai Dari Pelanggan,Pembayaran Tunai Kepada Pemasok Dan Pembayaran Untuk Beban Operasi,Pembayaran Tunai Kepada Pemasok,Pembayaran Untuk Beban Operasi,Total Pembayaran Tunai Kepada Pemasok Dan Pembayaran Untuk Beban Operasi,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Pembayaran Pajak Pertambahan Nilai,Pembayaran Kepada Pemerintah Untuk,Bagian Penjualan Batubara Berdasarkan Perjanjian Karya Pengusahaan Pertambangan Batubara (,Royalti Berdasarkan Izin Usaha Pertambangan (,Total Pembayaran Kepada Pemerintah Untuk,Pembayaran Bunga,"Pembayaran Iain-Iain, Neto",Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Aset Eksplorasi Dan Evaluasi,Penambahan Biaya Pengupasan,Penerimaan Dari Piutang Lain-Lain Dari Pihak Berelasi,Penambahan Properti Pertambangan,Perolehan Aset Tetap,Penambahan Deposito Jangka Pendek,Hasil Pelepasan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Kenaikan Aset Tidak Lancar Lainnya,Kenaikan Jaminan,Akuisisi Kepentingan Nonpengendali Pada Entitas Anak,Pelepasan Entitas Anak Kepada Entitas Sepengendali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Neto Dari Penawaran Umum Perdana Saham Perusahaan,Penerimaan Utang Jangka Pendek,Pembayaran Utang Jangka Pendek,Pembayaran Utang Lain-Lain Dari Pihak Berelasi,Pembayaran Utang Jangka Panjang:,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Bank,Total Pembayaran Utang Jangka Panjang:,Pembayaran Dividen,Pembayaran Dividen Kepada Kepentingan Nonpengendali,Pembayaran Dividen Kepada Pemilik Entitas Induk,Total Pembayaran Dividen,Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penerimaan Pinjaman Sewa Pembiayaan,Penerimaan Utang Iain-Iain Dari Pihak Berelasi,Penerimaan Dari Utang Bank Jangka Panjang,Penerimaan Setoran Modal Dari Pemegang Saham,Pembayaran Untuk Perolehan Kepentingan Pihak Non Penegendali,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,410742.000000,52105503.000000,,-29225024.000000,-10985709.000000,-40210733.000000,-3010382.000000,34005.000000,-574099.000000,,-5576415.000000,,,-5576415.000000,-2014027.000000,-343110.000000,410742.000000,-6761440.000000,-5491218.000000,,,,-1361735.000000,,35604.000000,,,,,55909.000000,-6761440.000000,24864755.000000,,7035257.000000,,-23325619.000000,,-443406.000000,-297350.000000,-41478.000000,-782234.000000,,,,,,,11105871.000000,5503969.000000,25327511.000000,,24864755.000000,18514057.000000,-91529.000000,9097125.000000,27519653.000000
12M 2012,-15288894.000000,107795174.000000,,-65400502.000000,-26370276.000000,-91770778.000000,-3326318.000000,285411.000000,-2473175.000000,,-22385345.000000,,,-22385345.000000,-2419742.000000,-994121.000000,-15288894.000000,-4918352.000000,-2395275.000000,,,,-1128555.000000,,6839500.000000,-281900.000000,,,-7952122.000000,,-4918352.000000,25532661.000000,50944978.000000,41906151.000000,-38422536.000000,-24160806.000000,,-900769.000000,-466386.000000,-23000000.000000,-24367155.000000,,,,,,,19632029.000000,,,,25532661.000000,5325415.000000,-2010138.000000,27519653.000000,30834930.000000
12M 2013,11355746.000000,173744673.000000,,-85947990.000000,-40756705.000000,-126704695.000000,-7932384.000000,275625.000000,-4131790.000000,,-22942284.000000,,,-22942284.000000,-687959.000000,-265440.000000,11355746.000000,-35931950.000000,-3442689.000000,,,,-32635886.000000,,146625.000000,,,,,,-35931950.000000,-4912660.000000,,48967768.000000,-47375306.000000,-4628794.000000,,-1497887.000000,-378441.000000,,-1876328.000000,,,,,,,,,,,-4912660.000000,-29488864.000000,-511814.000000,30834930.000000,834252.000000
12M 2014,14253990.000000,206205938.000000,,-119240159.000000,-30841241.000000,-150081400.000000,-8136724.000000,48911.000000,-29001448.000000,,-2970276.000000,,,-2970276.000000,-1708743.000000,-102268.000000,14253990.000000,-9277048.000000,-1155913.000000,,1641889.000000,-4969882.000000,-4910296.000000,,117154.000000,,,,,,-9277048.000000,-978984.000000,,89074915.000000,-89022794.000000,-18500149.000000,,-1238713.000000,-48182.000000,,-1286895.000000,,,,,-1244061.000000,,,20000000.000000,,,-978984.000000,3997958.000000,2806.000000,834252.000000,4835016.000000
12M 2015,43573156.000000,258816753.000000,-157033479.000000,,,-157033479.000000,-6676350.000000,233812.000000,-37233027.000000,,-12760062.000000,,,-12760062.000000,-1547873.000000,-226618.000000,43573156.000000,-11980561.000000,-2559972.000000,,,-464114.000000,-8998637.000000,,42162.000000,,,,,,-11980561.000000,-21920240.000000,,33313061.000000,-39277184.000000,,,-343005.000000,-14603.000000,-5894010.000000,-6251618.000000,-11500000.000000,,,-11500000.000000,-967058.000000,,,2762559.000000,,,-21920240.000000,9672355.000000,-45731.000000,4835016.000000,14461640.000000
12M 2016,16018419.000000,232110284.000000,-149485692.000000,,,-149485692.000000,-7515451.000000,100979.000000,-34681928.000000,,-23087688.000000,,,-23087688.000000,-1345132.000000,-76953.000000,16018419.000000,-11624504.000000,-2851983.000000,,,-10684.000000,-8812507.000000,,50670.000000,,,,,,-11624504.000000,-6733770.000000,,42611652.000000,-37021652.000000,,,,-3969.000000,-7314724.000000,-7318693.000000,-5000000.000000,,,-5000000.000000,-5077.000000,,,,,,-6733770.000000,-2339855.000000,14118.000000,14461640.000000,12135903.000000
12M 2017,99429622.000000,375550695.000000,-192081911.000000,,,-192081911.000000,-8068569.000000,564412.000000,-47911377.000000,,-27742667.000000,,,-27742667.000000,-693632.000000,-187329.000000,99429622.000000,-13175683.000000,-4573393.000000,,,-6655557.000000,-2048377.000000,,101644.000000,,,,,,-13175683.000000,-79848476.000000,,30433758.000000,-42325994.000000,,,,,-8440492.000000,-8440492.000000,-60000000.000000,,,-60000000.000000,484252.000000,,,,,,-79848476.000000,6405463.000000,-5519.000000,12135903.000000,18535847.000000
12M 2018,84308233.000000,439243389.000000,-246399728.000000,,,-246399728.000000,-9107191.000000,647890.000000,-39575057.000000,,,-56990047.000000,-3537806.000000,-60527853.000000,-423684.000000,450467.000000,84308233.000000,-35707908.000000,-15589408.000000,,,-15422576.000000,-4984868.000000,,288944.000000,,,,,,-35707908.000000,-48753311.000000,,58235541.000000,-37306522.000000,,,,,-1732333.000000,-1732333.000000,,-217.000000,-69000000.000000,-69000217.000000,1050220.000000,,,,,,-48753311.000000,-152986.000000,-414509.000000,18535847.000000,17968352.000000
12M 2019,35534352.000000,421122761.000000,-294204017.000000,,,-294204017.000000,-11230902.000000,223030.000000,-25000537.000000,,,-50322773.000000,-3788114.000000,-54110887.000000,-1260270.000000,-4826.000000,35534352.000000,-21782379.000000,-9535327.000000,,,-5630553.000000,-6626702.000000,,10203.000000,,,,,,-21782379.000000,-19138770.000000,,7122406.000000,-10489188.000000,,,,,-5000000.000000,-5000000.000000,,-31.000000,-10000000.000000,-10000031.000000,-771957.000000,,,,,,-19138770.000000,-5386797.000000,170969.000000,17968352.000000,12752524.000000
12M 2020,37581986.000000,326530592.000000,-235359566.000000,,,-235359566.000000,-10574509.000000,402524.000000,-7089163.000000,,,-33341965.000000,-1720861.000000,-35062826.000000,-883006.000000,-382060.000000,37581986.000000,-10267603.000000,-6295043.000000,,,-625824.000000,-3407963.000000,,61227.000000,,,,,,-10267603.000000,-14623361.000000,,2845692.000000,-2326372.000000,,,-141845.000000,,-5000000.000000,-5141845.000000,,-31.000000,-10000000.000000,-10000031.000000,-805.000000,,,,,,-14623361.000000,12691022.000000,-5965.000000,12752524.000000,25437581.000000
