Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Produksi Dan Usaha,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Beban Operasi Lainnya,Penerimaan Bunga,Pembayaran Pajak,Pembayaran Imbalan Kerja,Pembayaran Beban Bunga Dan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Aset Dalam Penyelesaian,Pelepasan Aset Tetap,Penerimaan Bunga Investasi,Penempatan Investasi,Investasi Jangka Pendek,Penurunan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Setoran Modal Saham,Agio Saham,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Lain-Lain,Penambahan Modal Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,-8796715301.000000,66485274001.000000,-58132308515.000000,,-13697092660.000000,-1246032559.000000,910812073.000000,,,-3117367641.000000,-8796715301.000000,-1297560313.000000,-1287330313.000000,-10230000.000000,,,,,,,-1297560313.000000,13852022659.000000,,,70162949919.000000,-65596927260.000000,,9286000000.000000,13852022659.000000,3757747045.000000,909950462.000000,4667697507.000000
12M 2017,-13372847652.000000,136203860172.000000,-125648054501.000000,,-15087628588.000000,-8020224239.000000,2935918046.000000,,,-3756718542.000000,-13372847652.000000,-18678216362.000000,-2776273701.000000,-15901942661.000000,,,,,,,-18678216362.000000,92618936696.000000,55714000000.000000,18225636765.000000,23583999932.000000,-51571370001.000000,,46666670000.000000,92618936696.000000,60567872682.000000,4667697507.000000,65235570189.000000
12M 2018,-36516820278.000000,145573751070.000000,-139681274343.000000,-21535293691.000000,-19948114565.000000,224324803.000000,39021292.000000,-384654250.000000,,-804580594.000000,-36516820278.000000,-5574617907.000000,-354103201.000000,,,,1779485294.000000,-7000000000.000000,,,-5574617907.000000,-8000000000.000000,,,,-8000000000.000000,,,-8000000000.000000,-50091438185.000000,65235570191.000000,15144132006.000000
12M 2019,-12699138614.000000,56065436901.000000,-52589505933.000000,-5192416906.000000,-6245680609.000000,-112785107.000000,34210352.000000,128234610.000000,-3591259435.000000,-1195372487.000000,-12699138614.000000,-11125640889.000000,71672838.000000,40553565.000000,,,661000000.000000,-11898867292.000000,,,-11125640889.000000,15838685368.000000,,-45982495.000000,16500000000.000000,-615332137.000000,,,15838685368.000000,-7986094135.000000,15144132006.000000,7158037871.000000
12M 2020,12397869680.000000,60612314272.000000,-37299760124.000000,-2597313026.000000,-6558556666.000000,133010428.000000,309885668.000000,546192733.000000,-392184108.000000,-2355719497.000000,12397869680.000000,-3983162933.000000,-2466122933.000000,,-1517040000.000000,,,,,,-3983162933.000000,-396343857.000000,,,,-396343857.000000,,,-396343857.000000,8018362890.000000,7158037870.000000,15176400760.000000
12M 2021,-9389313543.000000,158959139724.000000,-150749384790.000000,-8646714357.000000,-7782458006.000000,855338154.000000,299694582.000000,-1701735340.000000,-93206323.000000,-529987187.000000,-9389313543.000000,-3662632690.000000,-3662632690.000000,,,,,,,,-3662632690.000000,-650230650.000000,,,,-650230650.000000,,,-650230650.000000,-13702176883.000000,15176400758.000000,1474223875.000000
12M 2022,12883568725.000000,224712431732.000000,-187032417981.000000,-12891367539.000000,-8733873767.000000,4444765832.000000,28237711.000000,-2089022468.000000,-4748656695.000000,-806528100.000000,12883568725.000000,-671342540.000000,-671342540.000000,,,,,,,,-671342540.000000,-9013553343.000000,,,,-3013553343.000000,-6000000000.000000,,-9013553343.000000,3198672842.000000,1474223877.000000,4672896719.000000
12M 2023,11311231077.000000,260310896404.000000,-225779986096.000000,-8578357290.000000,-10360707410.000000,-42325861.000000,166066578.000000,-2925305422.000000,-524424121.000000,-954625705.000000,11311231077.000000,-277660915.000000,-312400498.000000,,,34739583.000000,,,,,-277660915.000000,1163492444.000000,,,11929821696.000000,-3715929510.000000,-7050399742.000000,,1163492444.000000,12197062606.000000,4672896717.000000,16869959323.000000
12M 2024,-680761823.000000,244035413141.000000,-219497735648.000000,-10266443594.000000,-11606185759.000000,-12194339.000000,133330392.000000,-1779281401.000000,-442153798.000000,-1245510817.000000,-680761823.000000,-707175161.000000,-743391377.000000,,,36216216.000000,,,,,-707175161.000000,-12535499713.000000,,,24775000000.000000,-5737600000.000000,-31572899713.000000,,-12535499713.000000,-13923436697.000000,16869959323.000000,2946522626.000000
