Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2016,(9 B),(1 B),(10 B),-70.66
12M 2017,(13 B),(19 B),(32 B),-27.47
12M 2018,(37 B),(0 B),(37 B),-31.60
12M 2019,(13 B),0 B,(13 B),-10.79
12M 2020,12 B,(2 B),10 B,8.51
12M 2021,(9 B),(4 B),(13 B),-11.19
12M 2022,13 B,(1 B),12 B,10.47
12M 2023,11 B,(0 B),11 B,9.43
12M 2024,(1 B),(1 B),(1 B),-1.22
