Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Pendapatan Keuangan,Beban Keuangan,Hasil Investasi,Laba (Rugi) Selisih Kurs,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,66448550456.000000,-66068502961.000000,380047495.000000,-11795892479.000000,-2539572835.000000,-9256319644.000000,-11795892479.000000,-11415844984.000000,-2206555568.000000,910812073.000000,-3117367641.000000,,,,,-2206555568.000000,-13622400552.000000,3239966026.000000,-10382434526.000000,-214451156.000000,-10596885682.000000,-10382434525.000000,-10369975604.000000,-12458921.000000,-10382434525.000000,-10596885683.000000,-10584169420.000000,-12716263.000000,-10596885683.000000
12M 2017,135431651945.000000,-117649584013.000000,17782067932.000000,-17606469773.000000,-2749667445.000000,-14856802328.000000,-17606469773.000000,175598159.000000,-820800496.000000,2935918046.000000,-3756718542.000000,,,,,-820800496.000000,-645202337.000000,1016112114.000000,370909777.000000,-244659364.000000,126250413.000000,370909777.000000,370464685.000000,445092.000000,370909777.000000,126250413.000000,126098913.000000,151500.000000,126250413.000000
12M 2018,176509268479.000000,-168167824721.000000,8341443758.000000,-18728698653.000000,-4086802918.000000,-14641895735.000000,-18728698653.000000,-10387254895.000000,2918361994.000000,136626353.000000,-270103609.000000,1818506586.000000,-804580594.000000,,2037913258.000000,2918361994.000000,-7468892901.000000,-916274614.000000,-8385167515.000000,969175932.000000,-7415991583.000000,-8385167515.000000,-8385107333.000000,-60182.000000,-8385167515.000000,-7415991583.000000,-7416018629.000000,27046.000000,-7415991583.000000
12M 2019,62720091934.000000,-49570175401.000000,13149916533.000000,-14251789881.000000,-2106023217.000000,-12145766664.000000,-14251789881.000000,-1101873348.000000,-8787269541.000000,27280510.000000,-6586724355.000000,695210352.000000,-1195372487.000000,,-1727663561.000000,-8787269541.000000,-9889142889.000000,-368456215.000000,-10257599104.000000,-1226612129.000000,-11484211233.000000,-10257599104.000000,-10256932317.000000,-666787.000000,-10257599104.000000,-11484211233.000000,-11482858650.000000,-1352583.000000,-11484211233.000000
12M 2020,46602172890.000000,-37460653195.000000,9141519695.000000,-25458340116.000000,-1327969665.000000,-24130370451.000000,-25458340116.000000,-16316820421.000000,308261092.000000,133042427.000000,-32000.000000,309885668.000000,-2355719497.000000,,2221084494.000000,308261092.000000,-16008559329.000000,50567723.000000,-15957991606.000000,1565496521.000000,-14392495085.000000,-15957991606.000000,-15967364090.000000,9372484.000000,-15957991606.000000,-14392495085.000000,-14392168695.000000,-326390.000000,-14392495085.000000
12M 2021,161842458341.000000,-140456071799.000000,21386386542.000000,-18579648775.000000,-5274362692.000000,-13305286083.000000,-18579648775.000000,2806737767.000000,-1446696425.000000,63411311.000000,,299694582.000000,-1967084737.000000,,157282419.000000,-1446696425.000000,1360041342.000000,-81097815.000000,1278943527.000000,-719100694.000000,559842833.000000,1278943527.000000,1278343379.000000,600148.000000,1278943527.000000,559842834.000000,559143571.000000,699263.000000,559842834.000000
12M 2022,228289602674.000000,-196283023223.000000,32006579451.000000,-32975802498.000000,-10465386773.000000,-22510415725.000000,-32975802498.000000,-969223047.000000,6593053939.000000,4444765840.000000,,28237710.000000,-1556175271.000000,,3676225660.000000,6593053939.000000,5623830892.000000,-691076264.000000,4932754628.000000,-40710879.000000,4892043749.000000,4932754628.000000,4932611284.000000,143344.000000,4932754628.000000,4892043750.000000,4891892110.000000,151640.000000,4892043750.000000
12M 2023,273941926884.000000,-234460133312.000000,39481793572.000000,-29152802955.000000,-4636300751.000000,-24516502204.000000,-29152802955.000000,10328990617.000000,-1835584240.000000,-42325863.000000,,166066578.000000,-954625705.000000,,-1004699250.000000,-1835584240.000000,8493406377.000000,710697556.000000,9204103933.000000,-99030322.000000,9105073611.000000,9204103933.000000,9203977250.000000,126683.000000,9204103933.000000,9105073611.000000,9104947914.000000,125697.000000,9105073611.000000
12M 2024,246983652207.000000,-220657394660.000000,26326257547.000000,-26982259695.000000,-6923969113.000000,-20058290582.000000,-26982259695.000000,-656002148.000000,1079287938.000000,-12194338.000000,,133330392.000000,-1245510817.000000,,2203662701.000000,1079287938.000000,423285790.000000,-772270734.000000,-348984944.000000,588418282.000000,239433338.000000,-348984944.000000,-348920404.000000,-64540.000000,-348984944.000000,239433339.000000,239485694.000000,-52355.000000,239433339.000000
