Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,587540378000.0,-317005013000.0,270535365000.0,-209561348000.0,-209561348000.0,-209561348000.0,60974017000.0,-82159410000.0,-81713103000.0,-446307000.0,-82159410000.0,-21185393000.0,-29451696000.0,-50637089000.0,124281927000.0,73644838000.0,-50637089000.0,-40372823000.0,-10264266000.0,-50637089000.0,73644838000.0,54743690000.0,18901148000.0,73644838000.0
12M 2016,1237468208000.0,-765128809000.0,472339399000.0,-135675245000.0,-135675245000.0,-135675245000.0,336664154000.0,-144127643000.0,-122590228000.0,-21537415000.0,-144127643000.0,192536511000.0,-98538183000.0,93998328000.0,40931460000.0,134929788000.0,93998328000.0,98243685000.0,-4245357000.0,93998328000.0,134929788000.0,130909826000.0,4019962000.0,134929788000.0
12M 2017,1209085300000.000000,-726973340000.000000,482111960000.000000,-324614472000.000000,-324614472000.000000,-324614472000.000000,157497488000.000000,-72134541000.000000,-72134541000.000000,,-72134541000.000000,85362947000.000000,-57275813000.000000,28087134000.000000,1994871000.000000,30082005000.000000,28087134000.000000,41964771000.000000,-13877637000.000000,28087134000.000000,30082005000.000000,46065614000.000000,-15983609000.000000,30082005000.000000
12M 2018,1197858202000.000000,-837078232000.000000,360779970000.000000,-297458248000.000000,-297458248000.000000,-297458248000.000000,63321722000.000000,-66355087000.000000,-66355087000.000000,,-66355087000.000000,-3033365000.000000,-39171746000.000000,-42205111000.000000,11364140000.000000,-30840971000.000000,-42205111000.000000,743321000.000000,-42948432000.000000,-42205111000.000000,-30840971000.000000,12031231000.000000,-42872202000.000000,-30840971000.000000
12M 2019,1433849787000.000000,-1088576751000.000000,345273036000.000000,-249410273000.000000,-249410273000.000000,-249410273000.000000,95862763000.000000,-60710849000.000000,-60710849000.000000,,-60710849000.000000,35151914000.000000,-44698642000.000000,-9546728000.000000,77793601000.000000,68246873000.000000,-9546728000.000000,13191662000.000000,-22738390000.000000,-9546728000.000000,68246873000.000000,89430119000.000000,-21183246000.000000,68246873000.000000
12M 2020,1292828966000.000000,-1129920515000.000000,162908451000.000000,-131731131000.000000,-131731131000.000000,-131731131000.000000,31177320000.000000,-71504964000.000000,-71504964000.000000,,-71504964000.000000,-40327644000.000000,-30417726000.000000,-70745370000.000000,-19305839000.000000,-90051209000.000000,-70745370000.000000,-59331259000.000000,-11414111000.000000,-70745370000.000000,-90051209000.000000,-78199643000.000000,-11851566000.000000,-90051209000.000000
12M 2021,1321828564000.000000,-1121198853000.000000,200629711000.000000,-170569958000.000000,-170569958000.000000,-170569958000.000000,30059753000.000000,-77456100000.000000,-77456100000.000000,,-77456100000.000000,-47396347000.000000,-35718800000.000000,-83115147000.000000,26553468000.000000,-56561679000.000000,-83115147000.000000,-58371260000.000000,-24743887000.000000,-83115147000.000000,-56561679000.000000,-41149126000.000000,-15412553000.000000,-56561679000.000000
12M 2022,1256221358000.000000,-1060096423000.000000,196124935000.000000,-87090310000.000000,-87090310000.000000,-87090310000.000000,109034625000.000000,-50767221000.000000,-50767221000.000000,,-50767221000.000000,58267404000.000000,-41298540000.000000,16968864000.000000,72358626000.000000,89327490000.000000,16968864000.000000,20470196000.000000,-3501332000.000000,16968864000.000000,89327490000.000000,80905041000.000000,8422449000.000000,89327490000.000000
12M 2023,1143947622000.000000,-878370276000.000000,265577346000.000000,-82309852000.000000,-82309852000.000000,-82309852000.000000,183267494000.000000,-49987570000.000000,-49987570000.000000,,-49987570000.000000,133279924000.000000,-41908462000.000000,65343539000.000000,-11354752000.000000,53988787000.000000,65343539000.000000,62660145000.000000,2683394000.000000,65343539000.000000,53988787000.000000,52572124000.000000,1416663000.000000,53988787000.000000
12M 2024,1270706165000.000000,-917644959000.000000,353061206000.000000,-294711565000.000000,-294711565000.000000,-294711565000.000000,58349641000.000000,-79323236000.000000,-79323236000.000000,,-79323236000.000000,-20973595000.000000,-37924929000.000000,-65413595000.000000,17991189000.000000,-47422406000.000000,-65413595000.000000,-75226508000.000000,9812913000.000000,-65413595000.000000,-47422406000.000000,-57275613000.000000,9853207000.000000,-47422406000.000000
