Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Goodwill,Aset Tetap,Aset Tak Berwujud,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Liabilitas Keuangan Lainnya,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Keuangan Lainnya,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,223980473000.000000,,51458363000.000000,22253000.000000,51436110000.000000,51458363000.000000,3700025000.000000,90848291000.000000,369987152000.000000,,81975000.000000,,425549714000.000000,221849933000.000000,10019307000.000000,272931933000.000000,930432862000.000000,1300420014000.000000,,,238529812000.000000,,,2979078000.000000,8550038000.000000,11529116000.000000,14015619000.000000,11570300000.000000,,,110367777000.000000,110367777000.000000,,,,91047000000.000000,91047000000.000000,,,238529812000.000000,819338943000.000000,42556149000.000000,,,376401737000.000000,400381057000.000000,819338943000.000000,1057868755000.000000,,15875000000.000000,,68483912000.000000,,,68483912000.000000,37091358000.000000,121100989000.000000,242551259000.000000,1300420014000.000000,158750000.000000
12M 2016,,,275162899000.000000,,121040125000.000000,,121040125000.000000,121040125000.000000,281861523000.000000,75809685000.000000,753874232000.000000,,235001000.000000,29127982000.000000,906016023000.000000,218755526000.000000,,143314934000.000000,1297449466000.000000,2051323698000.000000,,,721920929000.000000,162427804000.000000,,29285616000.000000,83196293000.000000,112481909000.000000,50279444000.000000,66361767000.000000,,104778645000.000000,108236654000.000000,213015299000.000000,,497810000.000000,5811245000.000000,110544690000.000000,116853745000.000000,,500961000.000000,721920929000.000000,708740812000.000000,54558678000.000000,961274000.000000,6324903000.000000,290476716000.000000,356419241000.000000,708740812000.000000,1430661741000.000000,,223708389000.000000,,184174344000.000000,,,184174344000.000000,71989436000.000000,140789788000.000000,620661957000.000000,2051323698000.000000,2237083885.000000
12M 2017,,,154620345000.000000,,113925598000.000000,1989307000.000000,111936291000.000000,113925598000.000000,191457211000.000000,115685777000.000000,575688931000.000000,,1536536000.000000,29127982000.000000,1003570165000.000000,196953093000.000000,,84469702000.000000,1315657478000.000000,1891346409000.000000,,,272245538000.000000,12806115000.000000,,1377642000.000000,61416057000.000000,62793699000.000000,6577838000.000000,51006793000.000000,,4679411000.000000,27529468000.000000,32208879000.000000,,668489000.000000,6377630000.000000,97967295000.000000,105013414000.000000,,1838800000.000000,272245538000.000000,667347936000.000000,43596227000.000000,704000000.000000,,86459014000.000000,536588695000.000000,667347936000.000000,939593474000.000000,,281394199000.000000,243798490000.000000,267753859000.000000,1000000000.000000,266753859000.000000,267753859000.000000,25062564000.000000,133743823000.000000,951752935000.000000,1891346409000.000000,2813941985.000000
12M 2018,,,230637261000.000000,,146269562000.000000,95299000.000000,146174263000.000000,146269562000.000000,234703984000.000000,135988935000.000000,747599742000.000000,,5188861000.000000,29127982000.000000,1038980275000.000000,177700914000.000000,,71402130000.000000,1322400162000.000000,2069999904000.000000,,,409115604000.000000,50260206000.000000,,1472515000.000000,72737644000.000000,74210159000.000000,17315687000.000000,53690101000.000000,,278962000.000000,97171834000.000000,97450796000.000000,,436141000.000000,,106637492000.000000,107073633000.000000,,9115022000.000000,409115604000.000000,726305060000.000000,27039041000.000000,258759000.000000,,89992942000.000000,609014318000.000000,726305060000.000000,1135420664000.000000,,281394199000.000000,243798490000.000000,294181725000.000000,,,294181725000.000000,-10134797000.000000,125339623000.000000,934579240000.000000,2069999904000.000000,2813941985.000000
12M 2019,,,168103818000.000000,11696306000.000000,94077744000.000000,,94077744000.000000,94077744000.000000,447573208000.000000,176694456000.000000,898145532000.000000,,298594000.000000,29127982000.000000,1084818213000.000000,159776391000.000000,4491401000.000000,47014447000.000000,1325527028000.000000,2223672560000.000000,,,628274109000.000000,84532498000.000000,,,108814030000.000000,108814030000.000000,17507477000.000000,66382578000.000000,,,208655004000.000000,208655004000.000000,,294405000.000000,,114196973000.000000,114491378000.000000,,27891144000.000000,628274109000.000000,572137326000.000000,8097319000.000000,,,84838946000.000000,479201061000.000000,572137326000.000000,1200411435000.000000,,281394199000.000000,243798490000.000000,408567314000.000000,,,408567314000.000000,-30435568000.000000,119936690000.000000,1023261125000.000000,2223672560000.000000,2813941985.000000
12M 2020,,,214265895000.000000,3715257000.000000,132292996000.000000,,132292996000.000000,132292996000.000000,239115922000.000000,116721738000.000000,706111808000.000000,,21007145000.000000,29127982000.000000,1302669302000.000000,141853216000.000000,,34255249000.000000,1528912894000.000000,2235024702000.000000,,,625664501000.000000,,,,51942435000.000000,51942435000.000000,12366456000.000000,54306944000.000000,,,285969208000.000000,285969208000.000000,,53557261000.000000,,167522197000.000000,221079458000.000000,,,625664501000.000000,716349189000.000000,5032690000.000000,,378103185000.000000,,333213314000.000000,716349189000.000000,1342013690000.000000,,281394199000.000000,243798490000.000000,313224993000.000000,,,313224993000.000000,-45191089000.000000,99784419000.000000,893011012000.000000,2235024702000.000000,2813941985.000000
12M 2021,,,157243101000.000000,4272397000.000000,164172278000.000000,,164172278000.000000,164172278000.000000,146233039000.000000,55806837000.000000,527727652000.000000,,21551519000.000000,29127982000.000000,1128265348000.000000,126437260000.000000,,26691385000.000000,1332073494000.000000,1859801146000.000000,,,376356971000.000000,,,,62370949000.000000,62370949000.000000,12869831000.000000,38504241000.000000,,,117101780000.000000,117101780000.000000,,52467561000.000000,,68639212000.000000,121106773000.000000,,24403397000.000000,376356971000.000000,648081896000.000000,148131000.000000,,342230585000.000000,,305703180000.000000,648081896000.000000,1024438867000.000000,,281394199000.000000,243798490000.000000,268228450000.000000,,,268228450000.000000,-63657257000.000000,105598397000.000000,835362279000.000000,1859801146000.000000,2813941985.000000
12M 2022,,,304907396000.000000,4150908000.000000,65821870000.000000,,65821870000.000000,65821870000.000000,122059872000.000000,70833550000.000000,567773596000.000000,,15246536000.000000,29127982000.000000,1074572153000.000000,116549439000.000000,,27171417000.000000,1262667527000.000000,1830441123000.000000,,,311471160000.000000,,,,16877360000.000000,16877360000.000000,18964969000.000000,39635658000.000000,,,114038022000.000000,114038022000.000000,,55147689000.000000,,66676124000.000000,121823813000.000000,,131338000.000000,311471160000.000000,597626084000.000000,3433210000.000000,,358005403000.000000,,236187471000.000000,597626084000.000000,909097244000.000000,,281394199000.000000,243798490000.000000,338808643000.000000,,,338808643000.000000,-68645368000.000000,125987915000.000000,921343879000.000000,1830441123000.000000,2813941985.000000
12M 2023,,,225002623000.000000,50000000000.000000,64677569000.000000,,64677569000.000000,64677569000.000000,134126515000.000000,534584482000.000000,1008391189000.000000,,19386736000.000000,29127982000.000000,556100323000.000000,106733938000.000000,,1512594000.000000,712861573000.000000,1721252762000.000000,,,571343583000.000000,,,,17986552000.000000,17986552000.000000,2829625000.000000,30847788000.000000,,,1088960000.000000,1088960000.000000,,2686187000.000000,,117640471000.000000,120326658000.000000,,398264000000.000000,571343583000.000000,172534973000.000000,3798602000.000000,962361000.000000,,,167774010000.000000,172534973000.000000,743878556000.000000,,281394199000.000000,243798490000.000000,408397538000.000000,,,408397538000.000000,-64589170000.000000,108373149000.000000,977374206000.000000,1721252762000.000000,2813941985.000000
12M 2024,,,319042995000.000000,,71248996000.000000,,71248996000.000000,71248996000.000000,54858314000.000000,88692471000.000000,533842776000.000000,,16187619000.000000,29127982000.000000,1613117074000.000000,97023935000.000000,,995621000.000000,1756452231000.000000,2290295007000.000000,,,235139069000.000000,,,,19210366000.000000,19210366000.000000,6332329000.000000,43316613000.000000,,,850772000.000000,850772000.000000,,905850000.000000,,147755368000.000000,148661218000.000000,,16767771000.000000,235139069000.000000,1029927566000.000000,4430429000.000000,,932984137000.000000,,92513000000.000000,1029927566000.000000,1265066635000.000000,,281394199000.000000,243798490000.000000,336804965000.000000,,,336804965000.000000,61173974000.000000,102056744000.000000,1025228372000.000000,2290295007000.000000,2813941985.000000
