Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.00,1294.24,-0.00,-103.24,110 B,376 B,487 B,263 B,131 B
12M 2016,0.00,245.26,0.00,134.46,382 B,298 B,680 B,404 B,32 B
12M 2017,1.09,329.32,1.44,248.98,52 B,87 B,139 B,(15 B),303 B
12M 2018,1.64,335.73,2.10,262.22,148 B,90 B,238 B,8 B,338 B
12M 2019,1.35,374.46,1.64,307.32,293 B,85 B,378 B,210 B,270 B
12M 2020,1.24,333.41,1.51,272.65,340 B,378 B,718 B,503 B,80 B
12M 2021,2.03,319.49,2.46,264.20,170 B,342 B,512 B,355 B,151 B
12M 2022,2.33,351.82,2.73,300.05,169 B,358 B,527 B,222 B,256 B
12M 2023,1.92,370.29,2.20,322.00,4 B,1 B,5 B,(220 B),437 B
12M 2024,2.36,342.60,2.72,297.77,2 B,933 B,935 B,616 B,299 B
