Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Retensi,Pihak Berelasi,Pihak Ketiga,Total Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Pihak Berelasi,Pihak Ketiga,Total Tagihan Bruto Kepada Pemberi Kerja,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Liabilitas Keuangan Lainnya,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Keuangan Lainnya,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,174405630644.000000,296047467919.000000,27415277901.000000,268632190018.000000,296047467919.000000,778347113.000000,,778347113.000000,778347113.000000,339411664854.000000,19876635705.000000,319535029149.000000,339411664854.000000,13035254392.000000,10518220327.000000,2517034065.000000,13035254392.000000,139422449784.000000,151097667506.000000,1114198482212.000000,,,18694172778.000000,,158068247057.000000,28234424623.000000,49953606242.000000,254950450700.000000,1369148932912.000000,,,742704629311.000000,,,480625484.000000,107573911705.000000,108054537189.000000,25671006016.000000,,,,,,8316551601.000000,12724008448.000000,21040560049.000000,371043148775.000000,,82157022919.000000,4387487365.000000,86544510284.000000,130350866998.000000,742704629311.000000,38424038547.000000,,64801617.000000,,4893835660.000000,6733041210.000000,11626876870.000000,26732360060.000000,38424038547.000000,781128667858.000000,,293553357500.000000,179728566051.000000,137734538280.000000,,,137734538280.000000,7424831178.000000,-30421027955.000000,588020265054.000000,1369148932912.000000,2935533575.000000
12M 2009,,,382461594026.000000,333761474188.000000,23094565308.000000,310666908880.000000,333761474188.000000,11727991120.000000,,11727991120.000000,11727991120.000000,179638962759.000000,25480959202.000000,154158003557.000000,179638962759.000000,14624504535.000000,11668151374.000000,2956353161.000000,14624504535.000000,144113716132.000000,180870767505.000000,1247199010265.000000,,,6877590634.000000,,200126448631.000000,26685053331.000000,57808303024.000000,291497395620.000000,1538696405885.000000,,,826846755033.000000,,,3161979793.000000,129822748305.000000,132984728098.000000,32838020378.000000,,,,,,5327613525.000000,6199187557.000000,11526801082.000000,383657441269.000000,,115127414509.000000,5203356095.000000,120330770604.000000,145508993602.000000,826846755033.000000,37318801446.000000,,12464732.000000,,5282495526.000000,3858805023.000000,9141300549.000000,28165036165.000000,37318801446.000000,864165556479.000000,,293553357500.000000,179728566051.000000,232879587505.000000,,,232879587505.000000,10620766065.000000,-42251427715.000000,674530849406.000000,1538696405885.000000,2935533575.000000
12M 2010,,,603659042070.000000,364359339560.000000,24064766539.000000,340294573021.000000,364359339560.000000,5063865720.000000,,5063865720.000000,5063865720.000000,326713337805.000000,52215863182.000000,274497474623.000000,326713337805.000000,24039509118.000000,21334993348.000000,2704515770.000000,24039509118.000000,100105612595.000000,132828128878.000000,1556768835746.000000,,,10956707528.000000,,262224230352.000000,25135682040.000000,97892783852.000000,396209403772.000000,1952978239518.000000,,,1152755976213.000000,324051670603.000000,,5139719612.000000,158597425254.000000,163737144866.000000,21314027981.000000,,,,,,47401459234.000000,20887701221.000000,68289160455.000000,498894872632.000000,,2111111100.000000,6807675725.000000,8918786825.000000,67550312851.000000,1152755976213.000000,39795567967.000000,,,,2585313848.000000,6736942677.000000,9322256525.000000,30473311442.000000,39795567967.000000,1192551544180.000000,,293553357500.000000,179728566051.000000,307146215668.000000,58710671500.000000,248435544168.000000,307146215668.000000,17468871614.000000,-37470315497.000000,760426695336.000000,1952978239516.000000,2935533575.000000
12M 2011,,,768524802296.000000,374066736008.000000,17765130700.000000,356301605308.000000,374066736008.000000,4374567030.000000,656380950.000000,3718186080.000000,4374567030.000000,306987835893.000000,61279716633.000000,245708119260.000000,306987835893.000000,40907486031.000000,36097340454.000000,4810145577.000000,40907486031.000000,98837258477.000000,179154764335.000000,1772853450070.000000,,,13280599696.000000,89304953374.000000,304001440434.000000,25135682040.000000,23858796731.000000,455581472275.000000,2228434922345.000000,,,1322237602517.000000,371376538698.000000,,4415919197.000000,184822100301.000000,189238019498.000000,21938060931.000000,,,,,,83204270100.000000,23350254623.000000,106554524723.000000,428004194323.000000,,916666663.000000,6681516424.000000,7598183087.000000,197528081257.000000,1322237602517.000000,46635484822.000000,4800000000.000000,,,,7920470420.000000,7920470420.000000,33915014402.000000,46635484822.000000,1368873087339.000000,,293553357500.000000,179728566051.000000,403917828323.000000,20548735025.000000,383369093298.000000,403917828323.000000,19832398630.000000,-37470315497.000000,859561835007.000000,2228434922346.000000,2935533575.000000
12M 2012,,,378631734368.000000,638207349884.000000,68210750923.000000,569996598961.000000,638207349884.000000,4416322330.000000,171027500.000000,4245294830.000000,4416322330.000000,434008292919.000000,138716107634.000000,295292185285.000000,434008292919.000000,,,,,223834797006.000000,300812352806.000000,1979910849313.000000,,,16551582401.000000,123379717002.000000,349837918992.000000,25135682040.000000,62915470439.000000,577820370874.000000,2557731220187.000000,,,1474579736710.000000,399366480157.000000,,12121506.000000,231271479369.000000,231283600875.000000,30863170502.000000,,5500000000.000000,11570329373.000000,17070329373.000000,,,,,615153894088.000000,,2718750000.000000,3587527716.000000,6306277716.000000,174535983999.000000,1474579736710.000000,67548104561.000000,,,,5437500000.000000,12110920763.000000,17548420763.000000,49999683798.000000,67548104561.000000,1542127841271.000000,,293553357500.000000,179728566051.000000,541215816892.000000,58710671500.000000,482505145392.000000,541215816892.000000,38575953970.000000,-37470315497.000000,1015603378916.000000,2557731220187.000000,2935533575.000000
12M 2013,,,735889401884.000000,746680139692.000000,80782617065.000000,665897522627.000000,746680139692.000000,1507358750.000000,980250000.000000,527108750.000000,1507358750.000000,635905620158.000000,181985489155.000000,453920131003.000000,635905620158.000000,,,,,297091152743.000000,333346207802.000000,2750419881029.000000,,,20102955448.000000,177805777616.000000,399848076437.000000,25135682040.000000,43699849756.000000,666592341297.000000,3417012222326.000000,,,1714717243533.000000,565392443522.000000,,4350849615.000000,341705065566.000000,346055915181.000000,35589061619.000000,,5738579583.000000,30075207384.000000,35813786967.000000,,,,,508283157183.000000,,6885416675.000000,8290291377.000000,15175708052.000000,208407171009.000000,1714717243533.000000,86022955339.000000,,,,9802083324.000000,10253931166.000000,20056014490.000000,65966940849.000000,86022955339.000000,1800740198872.000000,,326170397200.000000,555447467028.000000,687326310053.000000,58710671500.000000,628615638553.000000,687326310053.000000,42546736957.000000,4781112218.000000,1616272023456.000000,3417012222328.000000,16308519860.000000
12M 2014,,,453651194876.000000,788645804024.000000,97294990652.000000,691350813372.000000,788645804024.000000,7497724150.000000,284094150.000000,7213630000.000000,7497724150.000000,791715122762.000000,199398588602.000000,592316534160.000000,791715122762.000000,,,,,270084897840.000000,584435186899.000000,2896029930551.000000,,,29296913315.000000,174660377355.000000,630022484980.000000,25135682040.000000,89611411158.000000,948726868848.000000,3844756799399.000000,,,1862336444530.000000,564212447866.000000,,56535250.000000,321357658414.000000,321414193664.000000,52752097434.000000,,6425579583.000000,23353369578.000000,29778949161.000000,,,,,526493187677.000000,,20320616678.000000,10173033830.000000,30493650508.000000,337191918220.000000,1862336444530.000000,219027813580.000000,,,,114627866646.000000,16628921006.000000,131256787652.000000,87771025928.000000,219027813580.000000,2081364258110.000000,,326170397200.000000,555447467028.000000,835609294856.000000,65234079440.000000,770375215416.000000,835609294856.000000,45628084632.000000,537297573.000000,1763392541289.000000,3844756799399.000000,16308519860.000000
12M 2015,,,578856540251.000000,775378622797.000000,104127363880.000000,671251258917.000000,775378622797.000000,46420145757.000000,37831716583.000000,8588429174.000000,46420145757.000000,545989669951.000000,176657624746.000000,369332045205.000000,545989669951.000000,,,,,239926191572.000000,609693797580.000000,2796264967908.000000,,,29424912247.000000,178461229073.000000,673014634774.000000,25135682040.000000,73656113836.000000,979692571970.000000,3775957539878.000000,,,1560940417329.000000,404372641958.000000,,1509100000.000000,360868713849.000000,362377813849.000000,83441256020.000000,,6750318632.000000,16259932568.000000,23010251200.000000,,,,,344355612540.000000,,23481933313.000000,7723517295.000000,31205450608.000000,312177391154.000000,1560940417329.000000,271172510507.000000,,,,118416462649.000000,22418865722.000000,140835328371.000000,130337182136.000000,271172510507.000000,1832112927836.000000,,326170397200.000000,555447467028.000000,1002923233112.000000,,,1002923233112.000000,49693016807.000000,9610497895.000000,1943844612042.000000,3775957539878.000000,16308519860.000000
12M 2016,,,740194001905.000000,707520700149.000000,107650132619.000000,599870567530.000000,707520700149.000000,8463088150.000000,8463088150.000000,,8463088150.000000,573829791581.000000,146219641994.000000,427610149587.000000,573829791581.000000,,,,,237788094692.000000,228355408836.000000,2496151085313.000000,,7204573917.000000,36474730956.000000,375021095072.000000,702440920303.000000,25135682040.000000,364959192237.000000,1511236194525.000000,4007387279838.000000,,,1474480963677.000000,299424481095.000000,,5554174280.000000,391551550897.000000,397105725177.000000,81991050676.000000,,250898018.000000,11644430653.000000,11895328671.000000,,,,,435400989269.000000,,23487891495.000000,8788512800.000000,32276404295.000000,216386984494.000000,1474480963677.000000,332155076768.000000,146497647711.000000,,,98366278620.000000,20869891982.000000,119236170602.000000,66421258455.000000,332155076768.000000,1806636040445.000000,,326170397200.000000,556981135256.000000,1252057463144.000000,,,1252057463144.000000,55847171556.000000,9695072237.000000,2200751239393.000000,4007387279838.000000,16308519860.000000
12M 2017,,,423583202000.000000,803995777000.000000,87345778000.000000,716649999000.000000,803995777000.000000,6835617000.000000,6135865000.000000,699752000.000000,6835617000.000000,578013589000.000000,109460718000.000000,468552871000.000000,578013589000.000000,,,,,284174638000.000000,316560701000.000000,2413163524000.000000,,46714574000.000000,36951654000.000000,445178485000.000000,732412188000.000000,25135683000.000000,502959208000.000000,1789351792000.000000,4202515316000.000000,,,1416455539000.000000,385040840000.000000,,1135743000.000000,276658700000.000000,277794443000.000000,41410202000.000000,,250319000.000000,11178654000.000000,11428973000.000000,,,,,375791741000.000000,,23031265000.000000,,23031265000.000000,301958075000.000000,1416455539000.000000,383047994000.000000,218771586000.000000,,,79571076000.000000,,79571076000.000000,84705332000.000000,383047994000.000000,1799503533000.000000,,326170397000.000000,560092534000.000000,1449203635000.000000,,,1449203635000.000000,60756669000.000000,6788548000.000000,2403011783000.000000,4202515316000.000000,16308519860.000000
