Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Pendapatan Bersih Ventura Bersama,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba Dari Ventura Bersama,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2337791167552.000000,-1995201318787.000000,342589848765.000000,7514354247.000000,350104203012.000000,-176663336122.000000,-33933139025.000000,-142730197097.000000,,-176663336122.000000,173440866890.000000,-3174551164.000000,,,,,,-3174551164.000000,170266315726.000000,-67969143388.000000,102297172338.000000,-234020145.000000,,102063152193.000000,,,102063152193.000000,102297172338.000000,-234020145.000000,102063152193.000000,,,,
12M 2009,2699279335409.000000,-2311882371643.000000,387396963766.000000,8016388747.000000,395413352513.000000,-204469981965.000000,-39351382511.000000,-165118599454.000000,,-204469981965.000000,190943370548.000000,5585316407.000000,,,,,,5585316407.000000,196528686955.000000,-71469850774.000000,125058836181.000000,909315582.000000,,125968151763.000000,,,125968151763.000000,125058836181.000000,909315582.000000,125968151763.000000,,,,
12M 2010,2686424443842.000000,-2302400111664.000000,384024332178.000000,1817457894.000000,385841790072.000000,-205581930454.000000,-41346971222.000000,-164234959232.000000,,-205581930454.000000,180259859618.000000,-11182241485.000000,,,,,,-11182241485.000000,169077618133.000000,-53359373461.000000,115718244672.000000,,,115718244672.000000,,,115718244672.000000,115718244672.000000,,115718244672.000000,,,,
12M 2011,3200479479540.000000,-2761822067045.000000,438657412495.000000,13231911015.000000,451889323510.000000,-217207800863.000000,-48470032531.000000,-197508673641.000000,28770905309.000000,-217207800863.000000,234681522647.000000,-29651641404.000000,-29651641404.000000,,,,,-29651641404.000000,205029881243.000000,-67926004280.000000,137103876963.000000,,,137103876963.000000,,137103876963.000000,137103876963.000000,134933549129.000000,2170327834.000000,137103876963.000000,137103876963.000000,134933549129.000000,2170327834.000000,137103876963.000000
12M 2012,4009948557189.000000,-3445969282883.000000,563979274306.000000,,563979274306.000000,-286260011045.000000,-82761581693.000000,-232453491928.000000,28955062576.000000,-286260011045.000000,277719263261.000000,-10859159179.000000,-40454126798.000000,-85602676.000000,29680570295.000000,,,-10859159179.000000,266860104082.000000,-81614449927.000000,185245654155.000000,,,185245654155.000000,,185245654155.000000,185245654155.000000,181330992195.000000,3914661960.000000,185245654155.000000,185245654155.000000,181330992195.000000,3914661960.000000,185245654155.000000
12M 2013,4623675713706.000000,-4004463325578.000000,619212388128.000000,,619212388128.000000,-277726304729.000000,-61792794843.000000,-249767489008.000000,33833979122.000000,-277726304729.000000,341486083399.000000,-40324209696.000000,-59644024366.000000,4146060614.000000,15173754056.000000,,,-40324209696.000000,301161873703.000000,-90194862850.000000,210967010853.000000,,,210967010853.000000,,210967010853.000000,210967010853.000000,206452016644.000000,4514994209.000000,210967010853.000000,210967010853.000000,206452016644.000000,4514994209.000000,210967010853.000000
12M 2014,4717079531523.000000,-4048854618967.000000,668224912556.000000,,668224912556.000000,-291176979827.000000,-57586914568.000000,-285954954112.000000,52364888853.000000,-291176979827.000000,377047932729.000000,-57538369522.000000,-81489016515.000000,-3145400261.000000,27096047254.000000,,,-57538369522.000000,319509563207.000000,-99019956472.000000,220489606735.000000,,,220489606735.000000,-4243814645.000000,216245792090.000000,220489606735.000000,216778768215.000000,3710838520.000000,220489606735.000000,216245792090.000000,212534953570.000000,3710838520.000000,216245792090.000000
12M 2015,4655901024842.000000,-3888831438268.000000,767069586574.000000,,767069586574.000000,-369818345849.000000,-56670154778.000000,-343010114406.000000,29861923335.000000,-369818345849.000000,397251240725.000000,-42750265714.000000,-77359387683.000000,3800851718.000000,30808270251.000000,,,-42750265714.000000,354500975011.000000,-117865991482.000000,236634983529.000000,,,236634983529.000000,11018568035.000000,247653551564.000000,236634983529.000000,233624043049.000000,3010940480.000000,236634983529.000000,247653551564.000000,244640271121.000000,3013280443.000000,247653551564.000000
12M 2016,4650940587932.000000,-3743689256302.000000,907251331630.000000,,907251331630.000000,-476719803058.000000,-95333281473.000000,-430611335069.000000,49224813484.000000,-476719803058.000000,430531528572.000000,-28463486164.000000,-50432930190.000000,35138129166.000000,60217353740.000000,,-73386038880.000000,-28463486164.000000,402068042408.000000,-70407855769.000000,331660186639.000000,,,331660186639.000000,-1979272926.000000,329680913713.000000,331660186639.000000,324447420017.000000,7212766622.000000,331660186639.000000,329680913713.000000,322607143744.000000,7073769969.000000,329680913713.000000
12M 2017,4495503187000.000000,-3745316217000.000000,750186970000.000000,,750186970000.000000,-427790594000.000000,-108657912000.000000,-390478628000.000000,71345946000.000000,-427790594000.000000,322396376000.000000,32490404000.000000,-52028418000.000000,6626066000.000000,129304090000.000000,,-51411334000.000000,32490404000.000000,354886780000.000000,-44938762000.000000,309948018000.000000,,,309948018000.000000,-8780835000.000000,301167183000.000000,309948018000.000000,307386225000.000000,2561793000.000000,309948018000.000000,301167183000.000000,298613148000.000000,2554035000.000000,301167183000.000000
