Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Restitusi Pajak,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Penerimaan (Pembayaran) Dari (Kepada) Pihak Ketiga,Pembayaran Pajak Penghasilan,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Bunga-Bersih,Pembayaran Bunga,Penerimaan Bunga Giro Dan Deposito,Total Penerimaan (Pembayaran) Bunga-Bersih,Perolehan Investasi Sementara,Pembayaran Pengampunan Pajak,Pembayaran Beban Keuangan,Pembayaran Beban Usaha,Penerimaan (Pengeluaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan (Penempatan) Deposito Yang Dijaminkan,Pencairan,Penempatan,Total Pencairan (Penempatan) Deposito Yang Dijaminkan,Pencairan Deposito Berjangka,Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Hak Guna,Pelepasan (Penempatan) Investasi Pada Entitas Anak,Pengurangan (Penambahan) Investasi Pada Ventura Bersama,Penambahan Investasi Pada Ventura Bersama,Pengurangan Investasi Pada Ventura Bersama,Total Pengurangan (Penambahan) Investasi Pada Ventura Bersama,Penambahan Aset Lain-Lain,Pengurangan Aset Lain-Lain,Penerimaan Dividen Dari Penyertaan Saham,Penerimaan Dividen Dari Entitas Asosiasi,Pinjaman Kepada Pihak Berelasi,Pembayaran Uang Muka Aset Tetap,Penambahan Aset Keuangan Lain,Penjualan Investasi Pada Surat Berharga Negara,Penerimaan Pengembalian Investasi Dari Entitas Asosiasi,Penjualan Investasi Pada Entitas Asosiasi,Perolehan Investasi Pada Perusahaan Asosiasi,Penempatan Investasi Pada Perusahaan Asosiasi,Pinjaman Dari Pihak Berelasi,Pembayaran Uang Muka Investasi,Pembayaran Angsuran Aset Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal Saham,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Panjang,Penerimaan (Pembayaran) Utang Bank - Bersih,Pembayaran Utang Bank,Penerimaan Utang Bank,Total Penerimaan (Pembayaran) Utang Bank - Bersih,Pembayaran Dividen,Penerimaan (Pembayaran) Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Total Penerimaan (Pembayaran) Dari Pihak Berelasi,Pembayaran Dividen Entitas Anak,Penerimaan Utang Sewa Pembiayaan,Penerimaan Melalui Pengampunan Pajak,Pembayaran Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,87763216716.000000,2310340530375.000000,31757691111.000000,-2081150775229.000000,,-94178953899.000000,-72236099178.000000,,-8141385476.000000,5487209012.000000,-2654176464.000000,-4115000000.000000,,,,,87763216716.000000,-89245038633.000000,,,,,,408446330.000000,-72169779937.000000,,,-6310309778.000000,,,-6310309778.000000,-7907765487.000000,,,,,,,,,,-1584000000.000000,,,,-1681629761.000000,-89245038633.000000,-7234441569.000000,,,,6036272809.000000,,,6036272809.000000,-24952035389.000000,,,,,,,,,,,11681321011.000000,-7234441569.000000,-8716263486.000000,467305962.000000,182654588168.000000,174405630644.000000
12M 2009,305886803736.000000,2691699617913.000000,,-2209687137290.000000,,-87209841676.000000,-87068612917.000000,,-14344841134.000000,12497618840.000000,-1847222294.000000,,,,,,305886803736.000000,-103432304549.000000,,,,,,1124949700.000000,-75267066455.000000,,,-19333559987.000000,,,-19333559987.000000,-898260350.000000,,,,,,,,,,-7000000000.000000,,,,-2058367457.000000,-103432304549.000000,6118442716.000000,,,,33359051456.000000,,,33359051456.000000,-30823102538.000000,,,,,,,,,,,3582493798.000000,6118442716.000000,208572941903.000000,-516978521.000000,174405630644.000000,382461594026.000000
12M 2010,122099460744.000000,2629578875983.000000,,-2344827352891.000000,,-67272251945.000000,-86353895611.000000,,-19322127096.000000,10296212304.000000,-9025914792.000000,,,,,,122099460744.000000,-79816977646.000000,27500000000.000000,,,27500000000.000000,,926015768.000000,-107223306623.000000,,,57664154509.000000,,,57664154509.000000,,13179021119.000000,,,,,,,,,-69401771973.000000,,,,-2461090446.000000,-79816977646.000000,179231175152.000000,5200000000.000000,,,,,208338185516.000000,208338185516.000000,-41097470050.000000,,,,,,,,,6990459686.000000,,-200000000.000000,179231175152.000000,221513658250.000000,-316210206.000000,382461594026.000000,603659042070.000000
12M 2011,226388828442.000000,3339776257178.000000,,-2940877235333.000000,,-90487310685.000000,-94028719194.000000,,-16910153455.000000,28915989931.000000,12005836476.000000,,,,,,226388828442.000000,-67894685591.000000,-480997310.000000,,,-480997310.000000,,8959113351.000000,-74602311458.000000,,-8507529964.000000,14058357285.000000,,,14058357285.000000,,123314000.000000,,,,,,,,,-20250000000.000000,,14375000000.000000,,-1569631495.000000,-67894685591.000000,6229105467.000000,200000033.000000,,,,-6668647185.000000,50213756995.000000,43545109810.000000,-38161936475.000000,840000000.000000,,,840000000.000000,,,,,-6294167901.000000,,6100100000.000000,6229105467.000000,164723248318.000000,142511908.000000,603659042070.000000,768524802296.000000
12M 2012,-148846328961.000000,3664285448734.000000,,-3603551716871.000000,,-72898094823.000000,-115398281582.000000,,-35250718206.000000,13967033787.000000,-21283684419.000000,,,,,,-148846328961.000000,-241746489208.000000,-14800000000.000000,,,-14800000000.000000,,1812782134.000000,-96789290830.000000,,-25328878904.000000,-77097480779.000000,,,-77097480779.000000,,4616745475.000000,,,,,,,,,-34160366304.000000,,,,,-241746489208.000000,597293666.000000,11989040860.000000,,,,-1261270475204.000000,1296500000000.000000,35229524796.000000,-44033003625.000000,700000000.000000,,,700000000.000000,,,,,-3288268365.000000,,,597293666.000000,-389995524503.000000,102456576.000000,768524802296.000000,378631734369.000000
12M 2013,-65760424581.000000,4353592489337.000000,,-4125259086752.000000,,-91969896574.000000,-169964242678.000000,,-54316810663.000000,22157122749.000000,-32159687914.000000,,,,,,-65760424581.000000,-150056371725.000000,-21468226375.000000,,,-21468226375.000000,,1306376364.000000,-115084983823.000000,,,,-2843750000.000000,27670666307.000000,24826916307.000000,,15163545802.000000,,,,,,,,,-54800000000.000000,,,,,-150056371725.000000,567648832337.000000,450587368392.000000,,,,-2407849585625.000000,2582406798989.000000,174557213364.000000,-60341523483.000000,,,,,,5430000000.000000,,,-2584225936.000000,,,567648832337.000000,351832036031.000000,5425631484.000000,378631734368.000000,735889401883.000000
12M 2014,107208988668.000000,4618894099697.000000,,-4207921662253.000000,,-139533478864.000000,-129152051808.000000,,-76893220259.000000,41815302155.000000,-35077918104.000000,,,,,,107208988668.000000,-446985209977.000000,-1806237350.000000,,,-1806237350.000000,,2481495061.000000,-292865510728.000000,,,,-2510000000.000000,28195739531.000000,25685739531.000000,-27268528373.000000,955771458.000000,,,,,,,,,,,,-154167939576.000000,,-446985209977.000000,57442936550.000000,,,,,-3514900101802.000000,3631981089471.000000,117080987669.000000,-68495783412.000000,600000000.000000,,,600000000.000000,,15180588000.000000,,,-6922855707.000000,,,57442936550.000000,-282333284759.000000,95077751.000000,735889401884.000000,453651194876.000000
12M 2015,360651565461.000000,4844430282167.000000,,-4076696660634.000000,,-141582711928.000000,-158513207727.000000,,-127373458283.000000,20387321866.000000,-106986136417.000000,,,,,,360651565461.000000,-17857908140.000000,-1168457297.000000,,,-1168457297.000000,,3174512263.000000,-107677315969.000000,,,,-510000000.000000,72509322893.000000,71999322893.000000,-980472028.000000,25194501998.000000,,,,,,,,,,,,-8400000000.000000,,-17857908140.000000,-219276100487.000000,,,,,-3564516839863.000000,3411626946593.000000,-152889893270.000000,-70126635398.000000,400000000.000000,,,400000000.000000,,22389383001.000000,,,-19048954820.000000,,,-219276100487.000000,123517556834.000000,1687788541.000000,453651194876.000000,578856540251.000000
12M 2016,434407630700.000000,4660361540334.000000,,-3928979905020.000000,,-72697136902.000000,-192929114040.000000,,-50294874634.000000,18993476752.000000,-31301397882.000000,,-46355790.000000,,,,434407630700.000000,-108601064808.000000,,3408591297.000000,-2273970167.000000,1134621130.000000,,6583956000.000000,-142110628365.000000,,,,-52076845225.000000,77209631652.000000,25132786427.000000,-91800000.000000,,,,,,,,,750000000.000000,,,,,,-108601064808.000000,-164069639426.000000,,,,,-4185356771447.000000,4060364384737.000000,-124992386710.000000,-73388339370.000000,33249871889.000000,,,33249871889.000000,,17747256665.000000,1545193000.000000,,-18231234900.000000,,,-164069639426.000000,161736926466.000000,-399464812.000000,578856540251.000000,740194001905.000000
12M 2017,-170875127000.000000,4473481378000.000000,5577752000.000000,-4388507624000.000000,,,-227277022000.000000,,-51499664000.000000,17350053000.000000,-34149611000.000000,,,,,,-170875127000.000000,-262037657000.000000,,1261970000.000000,-1304952000.000000,-42982000.000000,,6964859000.000000,-149535447000.000000,,,,-88586245000.000000,90788106000.000000,2201861000.000000,-485625000.000000,,,,-39510000000.000000,,,5137500000.000000,,,-63555429000.000000,,,-23212394000.000000,,-262037657000.000000,4605536000.000000,,,,,-4557466648000.000000,4623831178000.000000,66364530000.000000,-104374527000.000000,72273938000.000000,,,72273938000.000000,,12207179000.000000,,,-41865584000.000000,,,4605536000.000000,-428307248000.000000,111696448000.000000,740194002000.000000,423583202000.000000
12M 2018,-178244292000.000000,4721699519000.000000,2298054000.000000,-4530685375000.000000,,-64490583000.000000,-230802761000.000000,,-80162468000.000000,3899322000.000000,-76263146000.000000,,,,,,-178244292000.000000,-331591232000.000000,,1261970000.000000,-208000000.000000,1053970000.000000,,165351145000.000000,-133222851000.000000,,,,-246699641000.000000,108858517000.000000,-137841124000.000000,,,,,-32617469000.000000,,,,,,-194314903000.000000,,,,,-331591232000.000000,188810055000.000000,,,,,-6603234814000.000000,7055651711000.000000,452416897000.000000,-94589806000.000000,-169017036000.000000,,,-169017036000.000000,,,,,,,,188810055000.000000,-321025469000.000000,694735000.000000,423583202000.000000,103252468000.000000
