Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,7313134.73,0.00,7313134.73,46 B,2 B,47 B,45 B,35 B
12M 2014,0.00,8052680.57,0.00,8052680.57,34 B,,34 B,33 B,45 B
12M 2015,1.12,118.11,1.12,118.11,30 B,,30 B,29 B,80 B
12M 2016,1.96,140.15,1.96,140.15,45 B,,45 B,45 B,108 B
12M 2017,2.37,168.65,2.37,168.65,90 B,23 B,113 B,107 B,113 B
12M 2018,2.23,191.87,2.23,191.87,104 B,19 B,122 B,117 B,125 B
12M 2019,1.60,194.41,1.60,194.41,101 B,18 B,119 B,115 B,127 B
12M 2020,1.96,130.85,1.96,130.85,88 B,12 B,100 B,94 B,58 B
12M 2021,1.40,135.62,1.40,135.62,51 B,6 B,57 B,50 B,58 B
12M 2022,0.74,142.75,0.74,142.75,43 B,0 B,44 B,32 B,63 B
12M 2023,1.02,156.56,1.02,156.56,56 B,,56 B,47 B,79 B
12M 2024,0.83,168.42,0.83,168.42,29 B,,29 B,24 B,95 B
