Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,90776436876.000000,-61549022279.000000,29227414597.000000,-10905171611.000000,-1399332872.000000,-9505838739.000000,-10905171611.000000,18322242986.000000,-6132035732.000000,-515913361.000000,-5235556341.000000,-380566030.000000,-6132035732.000000,12190207254.000000,-3304939695.000000,8885267559.000000,-602354082.000000,,-602354082.000000,8282913477.000000,8885267559.000000,8885267559.000000,,8885267559.000000,8282913477.000000,8282913477.000000,,8282913477.000000
12M 2015,150329488765.000000,-104319863259.000000,46009625506.000000,-15345594399.000000,-2903795123.000000,-12441799276.000000,-15345594399.000000,30664031107.000000,-5324427334.000000,-87417939.000000,-6399044981.000000,1162035586.000000,-5324427334.000000,25339603773.000000,-6571178105.000000,18768425668.000000,-509949265.000000,,-509949265.000000,18258476403.000000,18768425668.000000,18768425668.000000,,18768425668.000000,18258476403.000000,18258476403.000000,,18258476403.000000
12M 2016,213761005553.000000,-147132371971.000000,66628633582.000000,-17669585082.000000,-3651198292.000000,-14018386790.000000,-17669585082.000000,48959048500.000000,-5673878037.000000,-110816465.000000,-5697547902.000000,134486330.000000,-5673878037.000000,43285170463.000000,-11033307424.000000,32251863039.000000,191927380.000000,,191927380.000000,32443790419.000000,32251863039.000000,32251863039.000000,,32251863039.000000,32443790419.000000,32443790419.000000,,32443790419.000000
12M 2017,246403880622.000000,-165625372516.000000,80778508106.000000,-20761375510.000000,-4977312495.000000,-15784063015.000000,-20761375510.000000,60017132596.000000,-8732901241.000000,-523939866.000000,-7702987777.000000,-505973598.000000,-8732901241.000000,51284231355.000000,-12201358340.000000,39082873015.000000,329387684.000000,,329387684.000000,39412260699.000000,39082873015.000000,39082873015.000000,,39082873015.000000,39412260699.000000,39412260699.000000,,39412260699.000000
12M 2018,264872722193.000000,-179492420933.000000,85380301260.000000,-22876813663.000000,-5260786916.000000,-17616026747.000000,-22876813663.000000,62503487597.000000,-17846946973.000000,-1773799539.000000,-14278900209.000000,-1794247225.000000,-17846946973.000000,44656540624.000000,-12304381370.000000,32352159254.000000,1373133190.000000,,1373133190.000000,33725292444.000000,32352159254.000000,32352159254.000000,,32352159254.000000,33725292444.000000,33725292444.000000,,33725292444.000000
12M 2019,205277939854.000000,-149286744783.000000,55991195071.000000,-24561655474.000000,-4538340187.000000,-20023315287.000000,-24561655474.000000,31429539597.000000,-16791955321.000000,27184170.000000,-13894839601.000000,-2924299890.000000,-16791955321.000000,14637584276.000000,-4406354347.000000,10231229929.000000,1146684468.000000,,1146684468.000000,11377914397.000000,10231229929.000000,10231229929.000000,,10231229929.000000,11377914397.000000,11377914397.000000,,11377914397.000000
12M 2020,129512982726.000000,-152141705996.000000,-22628723270.000000,-17939588331.000000,-3680910835.000000,-14258677496.000000,-17939588331.000000,-40568311601.000000,-16236818586.000000,-535769441.000000,-9976098871.000000,-5724950274.000000,-16236818586.000000,-56805130187.000000,-302971965.000000,-57108102152.000000,-2055192125.000000,-2055192125.000000,-2055192125.000000,-59163294277.000000,-57108102152.000000,-57108102152.000000,,-57108102152.000000,-59163294277.000000,-59163294277.000000,,-59163294277.000000
12M 2021,182184441799.000000,-156056254542.000000,26128187257.000000,-14564562088.000000,-1431870408.000000,-13132691680.000000,-14564562088.000000,11563625169.000000,-5832092652.000000,-8804207.000000,-6195226729.000000,371938284.000000,-5832092652.000000,5731532517.000000,-1909077230.000000,3822455287.000000,1329622956.000000,1329622956.000000,1329622956.000000,5152078243.000000,3822455287.000000,3822455287.000000,,3822455287.000000,5152078243.000000,5152078243.000000,,5152078243.000000
12M 2022,217836301363.000000,-187293471946.000000,30542829417.000000,-14328122126.000000,-2242086502.000000,-12086035624.000000,-14328122126.000000,16214707291.000000,-8450859363.000000,-873110755.000000,-6411373240.000000,-1166375368.000000,-8450859363.000000,7763847928.000000,166380612.000000,7930228540.000000,-226060985.000000,-226060985.000000,-226060985.000000,7704167555.000000,7930228540.000000,7930228540.000000,,7930228540.000000,7704167555.000000,7704167555.000000,,7704167555.000000
12M 2023,336797741017.000000,-293273510944.000000,43524230073.000000,-19998002630.000000,-4144573040.000000,-15853429590.000000,-19998002630.000000,23526227443.000000,-8294202146.000000,226226905.000000,-4789695212.000000,-3730733839.000000,-8294202146.000000,15232025297.000000,227192631.000000,15459217928.000000,-545445936.000000,-545445936.000000,-545445936.000000,14913771992.000000,15459217928.000000,15459217928.000000,,15459217928.000000,14913771992.000000,14913771992.000000,,14913771992.000000
12M 2024,366852043305.000000,-319799446866.000000,47052596439.000000,-21515567969.000000,-4103966673.000000,-17411601296.000000,-21515567969.000000,25537028470.000000,-7642971070.000000,352956671.000000,-4964076066.000000,-3031851675.000000,-7642971070.000000,17894057400.000000,351209943.000000,18245267343.000000,-36156072.000000,-36156072.000000,-36156072.000000,18209111271.000000,18245267343.000000,18245267343.000000,,18245267343.000000,18209111271.000000,18209111271.000000,,18209111271.000000
