Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,38576006361.000000,-27082292155.000000,11493714206.000000,-5383184763.000000,-5383184763.000000,-5383184763.000000,6110529443.000000,-215904020.000000,1318201.000000,-217222221.000000,,-215904020.000000,5894625423.000000,-1367441276.000000,-1432303944.000000,64862668.000000,-1367441276.000000,4527184147.000000,-43452680.000000,4483731467.000000,4527184147.000000,4527184147.000000,,,4527184147.000000,4483731467.000000,4483731467.000000,,4483731467.000000
12M 2020,40564764362.000000,-26917199851.000000,13647564511.000000,-6383263786.000000,-6383263786.000000,-6383263786.000000,7264300725.000000,-206840905.000000,1334903.000000,-141642409.000000,-66533399.000000,-206840905.000000,7057459820.000000,-1545373205.000000,-1492874725.000000,-52498480.000000,-1545373205.000000,5512086615.000000,340134761.000000,5852221376.000000,5512086615.000000,5512086615.000000,,,5512086615.000000,5852221376.000000,5852221376.000000,,5852221376.000000
12M 2021,117113203239.000000,-89901586207.000000,27211617032.000000,-7703352636.000000,-7703352636.000000,-7703352636.000000,19508264396.000000,-1330075807.000000,2156802.000000,-585627923.000000,-746604686.000000,-1330075807.000000,18178188589.000000,-4009388739.000000,-4366035372.000000,356646633.000000,-4009388739.000000,14168799850.000000,48462485.000000,14217262335.000000,14168799850.000000,14168799850.000000,,,14168799850.000000,14217262335.000000,14217262335.000000,,14217262335.000000
12M 2022,375886948579.000000,-323734866763.000000,52152081816.000000,-28821717265.000000,-28821717265.000000,-28821717265.000000,23330364551.000000,-6734806585.000000,55819095.000000,-979418791.000000,-5811206889.000000,-6734806585.000000,14262121248.000000,-3835020051.000000,-4602925876.000000,767905825.000000,-3835020051.000000,10427101197.000000,-155779245.000000,10271321952.000000,10427101196.000000,12428821922.000000,-2001720726.000000,,10427101196.000000,10271321951.000000,10199690672.000000,71631279.000000,10271321951.000000
12M 2023,407488545288.000000,-315695596268.000000,91792949020.000000,-45799179637.000000,-45799179637.000000,-45799179637.000000,45993769383.000000,88981945377.000000,99617169.000000,-2655476927.000000,91537805135.000000,88981945377.000000,134975714760.000000,-9717992160.000000,-10290115556.000000,572123396.000000,-9717992160.000000,125257722600.000000,57809831.000000,125315532431.000000,125257722600.000000,127469201017.000000,-2211478417.000000,,125257722600.000000,125315532431.000000,127527010848.000000,-2211478417.000000,125315532431.000000
