Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Bunga,Penerimaan Keuangan,Realisasi Uang Muka Pembelian Persediaan,Pembayaran Pembelian Persediaan,Penerimaan Lainnya,Pembayaran Lainnya,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Uang Muka Investasi,Akuisisi Entitas Anak,Perolehan Aset Tetap Pemilikan Langsung,Perolehan Aset Tetap Pemilikan Tidak Langsung,Perolehan Properti Investasi,Pengembalian Uang Muka Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Pembayaran Biaya Dibayar Dimuka,Perolehan Aset Hak Guna,Pembayaran Aset Hak Guna,Perolehan Aset Takberwujud,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan Modal Dasar,Penerbitan Saham Publik,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Hutang Lain-Lain,Pembayaran Hutang Lain-Lain,Pembayaran Deviden,Pembayaran Angsuran Liabilitas Sewa,Pembayaran Kepada Pihak Berelasi,Penerimaan Kepada Pihak Berelasi,Peningkatan Modal Dari Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Bank Efek Akuisisi Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2019,-1587025153.000000,35781240840.000000,-31323376358.000000,-1828789380.000000,-217222221.000000,1318201.000000,,,62000000.000000,-4062196235.000000,,-1587025153.000000,-776734363.000000,,,,,,,,-776734363.000000,,,,,,-776734363.000000,2000000000.000000,,,2000000000.000000,,,,,,,,,2000000000.000000,449948857.000000,1061048213.000000,,1510997070.000000
12M 2020,-1771280164.000000,34153568776.000000,-31364484112.000000,-2377158915.000000,-141642409.000000,1334903.000000,,,17000000.000000,-2059898407.000000,,-1771280164.000000,-34006340.000000,,,,,,,,-34006340.000000,,,,,,-34006340.000000,909000000.000000,,,1000000000.000000,,,,,,-91000000.000000,,,909000000.000000,-896286504.000000,1510997070.000000,,614710566.000000
12M 2021,-10767044051.000000,106232999658.000000,-108437132667.000000,-2020248054.000000,-486734005.000000,2156802.000000,,,,-6058085785.000000,,-10767044051.000000,-6271680000.000000,-3000000000.000000,,,,,,,-830686121.000000,,-1250000000.000000,,,-1190993879.000000,-6271680000.000000,17135565067.000000,18000000000.000000,,,-6434933.000000,,,,-340000000.000000,-518000000.000000,,,17135565067.000000,96841016.000000,614710566.000000,,711551582.000000
12M 2022,-17702974032.000000,337668110597.000000,-368082544141.000000,-12462359907.000000,-840597456.000000,55819095.000000,,,30436155055.000000,,-4477557275.000000,-17702974032.000000,-103007207418.000000,-10000000000.000000,-67606000000.000000,,,,,,-4861538688.000000,,-20520717975.000000,,-16950755.000000,-2000000.000000,-103007207418.000000,114263710057.000000,14221350000.000000,105237990000.000000,,-11565067.000000,,,,-6961767409.000000,4955736282.000000,,-3178033749.000000,114263710057.000000,-6446471393.000000,711551582.000000,8480380385.000000,2745460574.000000
12M 2023,41314690822.000000,387993042912.000000,-329159253735.000000,-11390847586.000000,-2655476927.000000,99617169.000000,,,2327805135.000000,,-5900196146.000000,41314690822.000000,-73735324035.000000,-50000000.000000,,,,-28000000000.000000,,1138687599.000000,-22562383833.000000,,,,-13627801.000000,-24248000000.000000,-73735324035.000000,39159986253.000000,,,,31311911726.000000,,,,2294221706.000000,5553852821.000000,,,39159986253.000000,6739353040.000000,2745460572.000000,,9484813612.000000
