Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pajak,Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank,Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,1510997070.000000,4995118586.000000,,,,,8091272834.000000,1410000000.000000,16007388490.000000,,100632059.000000,,1397820626.000000,33200521.000000,,1531653206.000000,17539041696.000000,,,7512320859.000000,2000000000.000000,1596950704.000000,2885225800.000000,875708373.000000,154435982.000000,7512320859.000000,402528236.000000,,,402528236.000000,402528236.000000,7914849095.000000,,200000000.000000,,9467645281.000000,,-43452680.000000,9624192601.000000,17539041696.000000,200.000000
12M 2020,,,614710566.000000,10438740106.000000,,,,,12510538089.000000,1198200000.000000,24762188761.000000,,48133580.000000,,953747486.000000,19966146.000000,,1021847212.000000,25784035973.000000,,,10155366400.000000,3000000000.000000,1568931698.000000,4784726329.000000,801708373.000000,,10155366400.000000,152255596.000000,,,152255596.000000,152255596.000000,10307621996.000000,,200000000.000000,,14979731896.000000,,296682081.000000,15476413977.000000,25784035973.000000,200.000000
12M 2021,,,711551582.000000,20774598675.000000,43371254.000000,,,43371254.000000,35559146207.000000,3073250001.000000,60161917719.000000,,404780212.000000,,1308319829.000000,7562500.000000,12440890921.000000,14161553462.000000,74323471181.000000,,,21509845173.000000,2993565067.000000,6081993357.000000,9476882444.000000,240866704.000000,2716537601.000000,21509845173.000000,5924949696.000000,,,5924949696.000000,5924949696.000000,27434794869.000000,,32700000000.000000,,14648531746.000000,,345144566.000000,47693676312.000000,75128471181.000000,32700.000000
12M 2022,,,2745460572.000000,43700061303.000000,10587500.000000,,,10587500.000000,81700604466.000000,3015317035.000000,131172030876.000000,,1197207262.000000,,70607412878.000000,14967743.000000,51618127443.000000,123437715326.000000,254609746202.000000,,,25341198086.000000,,6042164431.000000,9149807401.000000,9215453469.000000,933772785.000000,25341198086.000000,3583731416.000000,2982000000.000000,,601731416.000000,3583731416.000000,28924929502.000000,,46921350000.000000,102059956251.000000,27077353668.000000,49508422739.000000,117734042.000000,225684816700.000000,254609746202.000000,3128090000.000000
12M 2023,,,9484813612.000000,63775194830.000000,687667658.000000,14237499.000000,673430159.000000,687667658.000000,71043602975.000000,9529784875.000000,154521063950.000000,,2161258835.000000,117210000000.000000,84344298900.000000,6813901.000000,67472506018.000000,271194877654.000000,425715941604.000000,,,72459878517.000000,34293911726.000000,5238714100.000000,15106570800.000000,14769306290.000000,3051375601.000000,72459878517.000000,2174805421.000000,,,2174805421.000000,2174805421.000000,74634683938.000000,,46921350000.000000,102059956251.000000,154604364517.000000,47320043025.000000,175543873.000000,351081257666.000000,425715941604.000000,3128090000.000000
