Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,16289873.000000,-9870140.000000,6419733.000000,-815378.000000,-815378.000000,-815378.000000,5604355.000000,-2769576.000000,,-1813278.000000,-956298.000000,-2769576.000000,2834779.000000,-211499.000000,2623280.000000,,2623280.000000,2623280.000000,2623280.000000,,2623280.000000,2623280.000000,2623280.000000,,2623280.000000
12M 2012,34314355.000000,-18160995.000000,16153360.000000,-1733330.000000,-1733330.000000,-1733330.000000,14420030.000000,-6848856.000000,,-5035175.000000,-1813681.000000,-6848856.000000,7571174.000000,-564130.000000,7007044.000000,,7007044.000000,7007044.000000,7007044.000000,,7007044.000000,7007044.000000,7007044.000000,,7007044.000000
12M 2013,37284541.000000,-23744655.000000,13539886.000000,-2656575.000000,-2656575.000000,-2656575.000000,10883311.000000,-4761094.000000,,-4489837.000000,-271257.000000,-4761094.000000,6122217.000000,-625336.000000,5496881.000000,-126977.000000,5369904.000000,5496881.000000,5496881.000000,,5496881.000000,5369904.000000,5369904.000000,,5369904.000000
12M 2014,33948270.000000,-27114762.000000,6833508.000000,-3257284.000000,-3257284.000000,-3257284.000000,3576224.000000,-2911047.000000,,-3354192.000000,443145.000000,-2911047.000000,665177.000000,-625360.000000,39817.000000,153266.000000,193083.000000,39817.000000,39817.000000,,39817.000000,193083.000000,193083.000000,,193083.000000
12M 2015,24576893.000000,-29006723.000000,-4429830.000000,-2486481.000000,-2486481.000000,-2486481.000000,-6916311.000000,-20423725.000000,,-3146234.000000,-17277491.000000,-20423725.000000,-27340036.000000,-313882.000000,-27653918.000000,203452.000000,-27450466.000000,-27653918.000000,-27653918.000000,,-27653918.000000,-27450466.000000,-27450466.000000,,-27450466.000000
12M 2016,25398131.000000,-24334599.000000,1063532.000000,-1729709.000000,-1729709.000000,-1729709.000000,-666177.000000,-6572364.000000,,-2638307.000000,-3934057.000000,-6572364.000000,-7238541.000000,-620265.000000,-7858806.000000,67894.000000,-7790912.000000,-7858806.000000,-7858806.000000,,-7858806.000000,-7790912.000000,-7790912.000000,,-7790912.000000
12M 2017,23575803.000000,-25058118.000000,-1482315.000000,-1595126.000000,-1595126.000000,-1595126.000000,-3077441.000000,-34802792.000000,29327.000000,-1749707.000000,-33082412.000000,-34802792.000000,-37880233.000000,-520239.000000,-38400472.000000,-73880.000000,-38474352.000000,-38400472.000000,-38400472.000000,,-38400472.000000,-38474352.000000,-38474352.000000,,-38474352.000000
12M 2018,20701319.000000,-21817968.000000,-1116649.000000,-1708778.000000,-1708778.000000,-1708778.000000,-2825427.000000,-4986300.000000,33958.000000,-3274579.000000,-1745679.000000,-4986300.000000,-7811727.000000,-243018.000000,-8054745.000000,88005.000000,-7966740.000000,-8054745.000000,-8054745.000000,,-8054745.000000,-7966740.000000,-7966740.000000,,-7966740.000000
12M 2019,17280293.000000,-17252308.000000,27985.000000,-2000244.000000,-2000244.000000,-2000244.000000,-1972259.000000,-2348413.000000,26888.000000,-2661611.000000,286310.000000,-2348413.000000,-4320672.000000,-162230.000000,-4482902.000000,2268.000000,-4480634.000000,-4482902.000000,-4482902.000000,,-4482902.000000,-4480634.000000,-4480634.000000,,-4480634.000000
12M 2020,11348417.000000,-13520672.000000,-2172255.000000,-2031763.000000,-2031763.000000,-2031763.000000,-4204018.000000,-6832816.000000,,-1978624.000000,-4854192.000000,-6832816.000000,-11036834.000000,-135618.000000,-11172452.000000,128839.000000,-11043613.000000,-11172452.000000,-11172452.000000,,-11172452.000000,-11043613.000000,-11043613.000000,,-11043613.000000
12M 2021,7551871.000000,-5948811.000000,1603060.000000,-1248934.000000,-1248934.000000,-1248934.000000,354126.000000,399485.000000,22265.000000,-221290.000000,598510.000000,399485.000000,753611.000000,-80490.000000,673121.000000,110327.000000,783448.000000,673121.000000,673121.000000,,673121.000000,783448.000000,783448.000000,,783448.000000
12M 2022,9330724.000000,-6711475.000000,2619249.000000,-1082228.000000,-1082228.000000,-1082228.000000,1537021.000000,-731710.000000,102216.000000,-263353.000000,-570573.000000,-731710.000000,805311.000000,-112989.000000,692322.000000,22994.000000,715316.000000,692322.000000,692322.000000,,692322.000000,715316.000000,715316.000000,,715316.000000
12M 2023,10545555.000000,-5879949.000000,4665606.000000,-917800.000000,-917800.000000,-917800.000000,3747806.000000,421345.000000,96194.000000,-163588.000000,488739.000000,421345.000000,4169151.000000,-129075.000000,4040076.000000,9806.000000,4049882.000000,4040076.000000,4040076.000000,,4040076.000000,4049882.000000,4049882.000000,,4049882.000000
12M 2024,13430614.000000,-6930319.000000,6500295.000000,-993209.000000,-993209.000000,-993209.000000,5507086.000000,2877541.000000,342523.000000,-177602.000000,2712620.000000,2877541.000000,8384627.000000,-151121.000000,8233506.000000,1901.000000,8235407.000000,8233506.000000,8233506.000000,,8233506.000000,8235407.000000,8235407.000000,,8235407.000000
