Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Lainnya,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Bunga Pinjaman,Pembayaran Bunga Obligasi,Penerimaan Klaim Asuransi,Penempatan Deposito Berjangka,Penerimaan Pendapalan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Klaim Asuransi,Hasil Penjualan Aset Tetap,Penerbitan Saham Baru Melalui Ipo,Uang Muka Perolehan Kapal,Pengembalian Uang Muka Perolehan Kapal,Uang Muka Pembelian Aset Tetap,Perolehan Aset Tak Berwujud,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Penjualan Saham Yang Diperoleh Kembali,Setoran Modal (Put I),Biaya Emisi Sehubungan Put,Penambahan Investasi Saham Hasil Put Ii,Penerimaan Utang Obligasi,Pembayaran Utang Obiigasi,Pembelian Saham Kembali,Pembayaran Utang Lembaga Keuangan,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,7728270.000000,15812311.000000,-4834708.000000,-1652828.000000,-159738.000000,-1441311.000000,,,,4544.000000,7728270.000000,-63241222.000000,,,,,,,,-63241222.000000,-63241222.000000,56327964.000000,20659140.000000,-8176171.000000,4978250.000000,-4786112.000000,,,,,,17000000.000000,27640000.000000,,-987143.000000,,56327964.000000,815012.000000,-20002.000000,685773.000000,1480783.000000
12M 2012,18812167.000000,34111346.000000,-8230759.000000,-3790303.000000,-278771.000000,-3005215.000000,,,,5869.000000,18812167.000000,-15635844.000000,,,,-2460900.000000,,,,-13174944.000000,-15635844.000000,-1320098.000000,9693747.000000,-11232418.000000,4834592.000000,-667448.000000,,,,,,,,,-3948571.000000,,-1320098.000000,1856225.000000,-8616.000000,1480793.000000,3328402.000000
12M 2013,11383767.000000,34906700.000000,-11818515.000000,-4321150.000000,-528233.000000,-3810608.000000,-3264000.000000,,,219573.000000,11383767.000000,-5120464.000000,2964739.000000,,13348180.000000,-4735996.000000,,,,-16697387.000000,-5120464.000000,-534737.000000,51966208.000000,-24978785.000000,173185.000000,-13546774.000000,,,,,,,-10200000.000000,,-3948571.000000,,-534737.000000,5728566.000000,-39765.000000,3328502.000000,9017303.000000
12M 2014,13489488.000000,33264101.000000,-13431675.000000,-4659994.000000,-632101.000000,-3612381.000000,,2430905.000000,,130633.000000,13489488.000000,636020.000000,,461985.000000,,,1075000.000000,,,-900965.000000,636020.000000,8114520.000000,28114042.000000,-21444967.000000,,-8768476.000000,,,29624023.000000,-488815.000000,,,,-165545.000000,-18755742.000000,,8114520.000000,22240028.000000,138189.000000,9017303.000000,31395520.000000
12M 2015,8209867.000000,28921488.000000,-14577037.000000,-4576163.000000,-372143.000000,-2477715.000000,,933298.000000,,358139.000000,8209867.000000,-42068793.000000,,1036750.000000,,-20700000.000000,4665000.000000,,,-27070543.000000,-42068793.000000,5327834.000000,24710000.000000,-19382166.000000,,,,,,,,,,,,,5327834.000000,-28531092.000000,-93041.000000,31395520.000000,2771387.000000
12M 2016,8436711.000000,24978374.000000,-9663722.000000,-4221507.000000,-616818.000000,-2462231.000000,,410780.000000,,11835.000000,8436711.000000,2305759.000000,,3613866.000000,,,,,,-1308107.000000,2305759.000000,-11011916.000000,,-11011916.000000,,,,,,,,,,,,,-11011916.000000,-269446.000000,-7906.000000,2771387.000000,2494035.000000
12M 2017,5539910.000000,25210141.000000,-14125888.000000,-3446383.000000,-530780.000000,-1762018.000000,,165511.000000,,29327.000000,5539910.000000,-333581.000000,,729900.000000,,,,,,-1063481.000000,-333581.000000,-5570585.000000,,-5570585.000000,,,,,,,,,,,,,-5570585.000000,-364256.000000,3232.000000,2494035.000000,2133011.000000
12M 2018,1534728.000000,20389804.000000,-13014792.000000,-3440793.000000,-267431.000000,-2373714.000000,,207696.000000,,33958.000000,1534728.000000,2157963.000000,,3054193.000000,,,,,,-896230.000000,2157963.000000,-2272461.000000,,-2272461.000000,,,,,,,,,,,,,-2272461.000000,1420230.000000,49267.000000,2140746.000000,3610243.000000
12M 2019,3309307.000000,18385541.000000,-9285366.000000,-3445217.000000,-162825.000000,-2568956.000000,,359242.000000,,26888.000000,3309307.000000,326608.000000,,1280281.000000,,,,,,-953673.000000,326608.000000,-3330917.000000,,-3330917.000000,,,,,,,,,,,,,-3330917.000000,304998.000000,-39022.000000,3610243.000000,3876219.000000
12M 2020,1118979.000000,12969113.000000,-7292505.000000,-2723513.000000,-131244.000000,-2032491.000000,,314482.000000,,15137.000000,1118979.000000,18743276.000000,,19568769.000000,,,,,,-825493.000000,18743276.000000,-19458935.000000,,-19458935.000000,,,,,,,,,,,,,-19458935.000000,403320.000000,3854.000000,3876219.000000,4283393.000000
