Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,0.00,1099514.95,0.00,1099514.95,131 B,644 B,775 B,762 B,(94 B)
12M 2012,0.00,293.44,0.00,293.44,162 B,461 B,623 B,591 B,(239 B)
12M 2013,0.94,244.52,0.94,244.52,254 B,699 B,953 B,843 B,(143 B)
12M 2014,1.26,241.98,1.26,241.98,348 B,475 B,823 B,432 B,79 B
12M 2015,0.38,197.76,0.38,197.76,575 B,414 B,989 B,951 B,(587 B)
12M 2016,0.43,173.13,0.43,173.13,432 B,383 B,815 B,782 B,(475 B)
12M 2017,0.97,77.45,0.97,77.45,748 B,,748 B,720 B,(805 B)
12M 2018,1.22,61.29,1.22,61.29,8 B,780 B,789 B,737 B,(22 B)
12M 2019,1.59,47.23,1.59,47.23,4 B,707 B,711 B,657 B,(8 B)
12M 2020,3.97,18.90,3.97,18.90,,,,(60 B),(205 B)
12M 2021,2.32,21.56,2.32,21.56,,,,(85 B),(137 B)
12M 2022,1.52,47.28,1.52,47.28,,,,(93 B),65 B
12M 2023,1.20,54.19,1.20,54.19,,,,(118 B),95 B
12M 2024,1.09,72.40,1.09,72.40,15 B,54 B,68 B,(83 B),178 B
