Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Piutang Pihak Berelasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Lembaga Keuangan Lain,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Utang Lembaga Keuangan Lain,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Derivatif,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,1480793.000000,,2941093.000000,,,2941093.000000,264064.000000,1746467.000000,6432417.000000,,103747356.000000,,,312050.000000,104059406.000000,110491823.000000,,,16783941.000000,,1018765.000000,220044.000000,1238809.000000,,142097.000000,624079.000000,,10469574.000000,3948571.000000,,14418145.000000,360811.000000,16783941.000000,71047422.000000,,22508503.000000,,22704286.000000,9302133.000000,,16532500.000000,71047422.000000,,71047422.000000,87831363.000000,,21841461.000000,-3562055.000000,4381054.000000,,4381054.000000,4381054.000000,,22660460.000000,110491823.000000,186887.000000
12M 2012,,,3328502.000000,,5604969.000000,,,5604969.000000,114587.000000,1791663.000000,10839721.000000,,126428092.000000,,,2697280.000000,129125372.000000,139965093.000000,,,35503968.000000,,13373588.000000,663333.000000,14036921.000000,,336878.000000,3355305.000000,,12766572.000000,3948571.000000,,16715143.000000,1059721.000000,35503968.000000,47749002.000000,,18672834.000000,,18755715.000000,268328.000000,,9989143.000000,47686020.000000,62982.000000,47749002.000000,83252970.000000,,21841461.000000,23482564.000000,11388098.000000,,11388098.000000,11388098.000000,,56712123.000000,139965093.000000,1868870000.000000
12M 2013,,,9017303.000000,,7301277.000000,,,7301277.000000,416266.000000,2819439.000000,19554285.000000,,139850026.000000,,,4864982.000000,144715008.000000,164269293.000000,,,31314386.000000,,7864509.000000,959719.000000,8824228.000000,,214561.000000,953862.000000,,16881391.000000,3948571.000000,,20829962.000000,491773.000000,31314386.000000,57440677.000000,,41545438.000000,,14807171.000000,322162.000000,658647.000000,,57333418.000000,107259.000000,57440677.000000,88755063.000000,,41390852.000000,17365377.000000,16884979.000000,10000.000000,16874979.000000,16884979.000000,-126977.000000,75514231.000000,164269294.000000,3767075078.000000
12M 2014,,,31395520.000000,,6957487.000000,,,6957487.000000,486362.000000,1307059.000000,40146428.000000,,132882237.000000,,,3496705.000000,136378942.000000,176525370.000000,,,33785595.000000,,3098548.000000,1080783.000000,4179331.000000,,148517.000000,1220894.000000,,27989770.000000,,,27989770.000000,247083.000000,33785595.000000,38349803.000000,,36952323.000000,,,,1209717.000000,,38162040.000000,187763.000000,38349803.000000,72135398.000000,,54270862.000000,33620597.000000,16924797.000000,20000.000000,16904797.000000,16924797.000000,-426284.000000,104389972.000000,176525370.000000,5367076248.000000
12M 2015,,,2771387.000000,,3346288.000000,2900304.000000,445984.000000,3346288.000000,228992.000000,487845.000000,6834512.000000,,140735933.000000,,,8897794.000000,149633727.000000,156468239.000000,,,49368917.000000,,3220919.000000,2258168.000000,5479087.000000,10642.000000,252426.000000,652807.000000,,41708930.000000,,,41708930.000000,1265025.000000,49368917.000000,30159816.000000,,28404013.000000,,,,1586385.000000,,29990398.000000,169418.000000,30159816.000000,79528733.000000,,54270862.000000,33620597.000000,-10729121.000000,30000.000000,-10759121.000000,-10729121.000000,-222832.000000,76939506.000000,156468239.000000,5367076248.000000
12M 2016,,,2494035.000000,,3953084.000000,3941241.000000,11843.000000,3953084.000000,192081.000000,354850.000000,6994050.000000,,124244051.000000,,,9008401.000000,133252452.000000,140246502.000000,,,42354507.000000,,4170630.000000,3396311.000000,7566941.000000,,114217.000000,986896.000000,,32166411.000000,,,32166411.000000,1520042.000000,42354507.000000,28735666.000000,,27028444.000000,,,,1493593.000000,,28522037.000000,213629.000000,28735666.000000,71090173.000000,,54270862.000000,33628332.000000,-18587927.000000,30000.000000,-18617927.000000,-18587927.000000,-154938.000000,69156329.000000,140246502.000000,5367076248.000000
12M 2017,,,2133011.000000,,2405613.000000,2389544.000000,16069.000000,2405613.000000,188692.000000,625248.000000,5352564.000000,,90169434.000000,,,219259.000000,90388693.000000,95741257.000000,,,64798536.000000,,3796877.000000,3932595.000000,7729472.000000,7169.000000,147439.000000,893730.000000,,55242894.000000,,,55242894.000000,777832.000000,64798536.000000,260744.000000,,,,,,,,,260744.000000,260744.000000,65059280.000000,,54270862.000000,33628332.000000,-56988399.000000,30000.000000,-57018399.000000,-56988399.000000,-228818.000000,30681977.000000,95741257.000000,5367076248.000000
12M 2018,,,3610243.000000,,3148898.000000,3148751.000000,147.000000,3148898.000000,194838.000000,364080.000000,7318059.000000,,78329880.000000,,,45643.000000,78375523.000000,85693582.000000,,,8851742.000000,,4050214.000000,2654686.000000,6704900.000000,,195712.000000,388321.000000,,577752.000000,,,577752.000000,985057.000000,8851742.000000,54126603.000000,,53892798.000000,,,,,,53892798.000000,233805.000000,54126603.000000,62978345.000000,,54270862.000000,33628332.000000,-65043144.000000,30000.000000,-65073144.000000,-65043144.000000,-140813.000000,22715237.000000,85693582.000000,5367076248.000000
12M 2019,,,3876219.000000,,3365982.000000,3191383.000000,174599.000000,3365982.000000,50879.000000,245093.000000,7538173.000000,,69859428.000000,,,101276.000000,69960704.000000,77498877.000000,,,8110938.000000,,3949334.000000,1774023.000000,5723357.000000,,76725.000000,394427.000000,,275330.000000,,,275330.000000,1641099.000000,8110938.000000,51153336.000000,,50864303.000000,,,,,,50864303.000000,289033.000000,51153336.000000,59264274.000000,,54270862.000000,33628332.000000,-69526046.000000,30000.000000,-69556046.000000,-69526046.000000,-138545.000000,18234603.000000,77498877.000000,5367076248.000000
12M 2020,,,4283393.000000,,3139314.000000,3092037.000000,47277.000000,3139314.000000,45137.000000,511570.000000,7979414.000000,,29020370.000000,,,213574.000000,29233944.000000,37213358.000000,,,22510950.000000,,17434065.000000,1421110.000000,18855175.000000,,66235.000000,1444004.000000,,,,,,2145536.000000,22510950.000000,7511418.000000,,,,,,,,,7511418.000000,7511418.000000,30022368.000000,,54270862.000000,33628332.000000,-80698498.000000,30000.000000,-80728498.000000,-80698498.000000,-9706.000000,7190990.000000,37213358.000000,5367076248.000000
