Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Wesel Bayar,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Liabilitas Pajak Tangguhan,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Pihak Berelasi,Pinjaman Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Utang Bank Jangka Panjang,Wesel Bayar,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Others,Total Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,8839770000.000000,,,8839770000.000000,46571275000.000000,,,46571275000.000000,3820476000.000000,,,3820476000.000000,98226083000.000000,14101693000.000000,171559297000.000000,,12329293000.000000,,,,384899112000.000000,,35121682000.000000,432350087000.000000,603909384000.000000,,,278071254000.000000,32850000000.000000,32080000000.000000,49794577000.000000,,,49794577000.000000,16335242000.000000,,,16335242000.000000,6329478000.000000,3293814000.000000,,,136824750000.000000,,563393000.000000,,137388143000.000000,,278071254000.000000,136237834000.000000,,,,,,,,,,107468001000.000000,,269709000.000000,107737710000.000000,12084133000.000000,16415991000.000000,136237834000.000000,414309088000.000000,,214960514000.000000,,214960514000.000000,10365618000.000000,-35725836000.000000,2551851000.000000,-38277687000.000000,-35725836000.000000,,,189600296000.000000,603909384000.000000,2149605138.000000
12M 2009,,,19316657000.000000,,,19316657000.000000,26303029000.000000,,,26303029000.000000,4988917000.000000,,,4988917000.000000,91892065000.000000,14876301000.000000,157376969000.000000,,19916262000.000000,,,,355301676000.000000,,29574630000.000000,404792568000.000000,562169537000.000000,,,188752073000.000000,28200000000.000000,15800000000.000000,27308618000.000000,,,27308618000.000000,12177012000.000000,,,12177012000.000000,9772366000.000000,5604260000.000000,,,89684780000.000000,,205037000.000000,,89889817000.000000,,188752073000.000000,186878206000.000000,,,,,,,,,,145184551000.000000,,48793000.000000,145233344000.000000,19735672000.000000,21909190000.000000,186878206000.000000,375630279000.000000,,232272342000.000000,,232272342000.000000,24766375000.000000,-70499459000.000000,2551851000.000000,-73051310000.000000,-70499459000.000000,,,186539258000.000000,562169537000.000000,2322723417.000000
12M 2010,,,34179175000.000000,,,34179175000.000000,37339058000.000000,,,37339058000.000000,6127643000.000000,,,6127643000.000000,96269541000.000000,21067090000.000000,194982507000.000000,,26955019000.000000,,,,329351088000.000000,,42124197000.000000,398430304000.000000,593412811000.000000,,,252411024000.000000,26973000000.000000,43723600000.000000,33520152000.000000,,,33520152000.000000,18200982000.000000,,,18200982000.000000,10534770000.000000,1870520000.000000,,,117441512000.000000,,146488000.000000,,117588000000.000000,,252411024000.000000,160035609000.000000,,,,,,,,,,116663870000.000000,,190201000.000000,116854071000.000000,17441245000.000000,25740293000.000000,160035609000.000000,412446633000.000000,,266322592000.000000,266322592000.000000,266322592000.000000,24766375000.000000,-110122789000.000000,2551851000.000000,-112674640000.000000,-110122789000.000000,,,180966178000.000000,593412811000.000000,3003728417.000000
12M 2011,,,25308672000.000000,,,25308672000.000000,29502306000.000000,,,29502306000.000000,7486104000.000000,,,7486104000.000000,62531101000.000000,30968165000.000000,155796348000.000000,,31906340000.000000,,,,356508090000.000000,,54766479000.000000,443180909000.000000,598977257000.000000,,,132599795000.000000,,,30962264000.000000,,,30962264000.000000,5881405000.000000,,,5881405000.000000,11471329000.000000,2102577000.000000,,,81668548000.000000,,513672000.000000,,82182220000.000000,,132599795000.000000,259705633000.000000,,,,,,,27204000000.000000,47719627000.000000,,143078981000.000000,,1314566000.000000,144393547000.000000,10559648000.000000,29828811000.000000,259705633000.000000,392305428000.000000,,325573887000.000000,,325573887000.000000,24766375000.000000,-143668433000.000000,2551851000.000000,-146220284000.000000,-143668433000.000000,,,206671829000.000000,598977257000.000000,4188754327.000000
12M 2012,,,72924036000.000000,,,72924036000.000000,45483311000.000000,,,45483311000.000000,6620698000.000000,100000.000000,6620598000.000000,6620698000.000000,76301736000.000000,84767014000.000000,286096795000.000000,,39657830000.000000,,,,352280268000.000000,,52897008000.000000,444835106000.000000,730931901000.000000,,,333879042000.000000,29010000000.000000,118037683000.000000,49246786000.000000,,,49246786000.000000,1210407000.000000,,,1210407000.000000,12986643000.000000,1552054000.000000,,,111718709000.000000,,6320560000.000000,,118039269000.000000,3796200000.000000,333879042000.000000,223199890000.000000,,,,,,,,,,120943382000.000000,,13157442000.000000,134100824000.000000,58137705000.000000,30961361000.000000,223199890000.000000,557078932000.000000,,325573887000.000000,,325573887000.000000,24766375000.000000,-176487375000.000000,2551851000.000000,-179039226000.000000,-176487375000.000000,82000.000000,,173852969000.000000,730931901000.000000,4188754327.000000
12M 2013,,,5569159.000000,,,5569159.000000,3960155.000000,,,3960155.000000,5777006.000000,8.000000,5776998.000000,5777006.000000,10806248.000000,8621067.000000,34733635.000000,,2556442.000000,,,,63015334.000000,,7840892.000000,73412668.000000,108146303.000000,,,65105499.000000,,47259841.000000,5146891.000000,,,5146891.000000,6496544.000000,,,6496544.000000,565977.000000,116158.000000,,,4244327.000000,,575313.000000,,4819640.000000,700448.000000,65105499.000000,20387618.000000,,,,,,,,,,15421094.000000,,1237008.000000,16658102.000000,1295811.000000,2433705.000000,20387618.000000,85493117.000000,,36509811.000000,36509811.000000,36509811.000000,2457984.000000,-18510062.000000,263894.000000,-18773956.000000,-18510062.000000,8.000000,2195447.000000,22653188.000000,108146305.000000,4657364708.000000
12M 2014,,,789136.000000,73622.000000,715514.000000,789136.000000,2650924.000000,278965.000000,2371959.000000,2650924.000000,218409.000000,8.000000,218401.000000,218409.000000,14119455.000000,14121891.000000,31899815.000000,,2135347.000000,,,,88511161.000000,,4589119.000000,95235627.000000,127135442.000000,,,15890336.000000,,,,1229960.000000,4511721.000000,5741681.000000,2319317.000000,,,2319317.000000,890470.000000,417096.000000,,,4628907.000000,,1892865.000000,,6521772.000000,,15890336.000000,43985668.000000,,,,,,,,,,29757252.000000,,4523876.000000,34281128.000000,6238703.000000,3465837.000000,43985668.000000,59876004.000000,,74166549.000000,74166549.000000,74166549.000000,10333119.000000,-20744178.000000,263894.000000,-21008072.000000,-20744178.000000,8.000000,3503943.000000,67259441.000000,127135445.000000,9326826088.000000
12M 2015,,,241850.000000,,,241850.000000,2849564.000000,,2849564.000000,2849564.000000,206827.000000,,206827.000000,206827.000000,9717474.000000,8222798.000000,21238513.000000,,3455890.000000,,,,81666567.000000,,2077694.000000,87200151.000000,108438664.000000,,,18701707.000000,,,,,3456038.000000,3456038.000000,6938728.000000,,,6938728.000000,1140651.000000,215938.000000,,,4927466.000000,,2022886.000000,,6950352.000000,,18701707.000000,31660023.000000,,,,,,,,,,19357810.000000,,2805465.000000,22163275.000000,7079752.000000,2416996.000000,31660023.000000,50361730.000000,,74166549.000000,74166549.000000,74166549.000000,10333119.000000,-32027489.000000,263894.000000,-32291383.000000,-32027489.000000,7.000000,5604748.000000,58076934.000000,108438664.000000,9326826088.000000
12M 2016,,,178143.000000,,,178143.000000,2763983.000000,,2763983.000000,2763983.000000,465032.000000,,465032.000000,465032.000000,8837262.000000,4277136.000000,16521556.000000,,117341.000000,,,,75953234.000000,,1705344.000000,77775919.000000,94297475.000000,,,37025496.000000,,,,,4657923.000000,4657923.000000,11184887.000000,,,11184887.000000,1423875.000000,211320.000000,,,18034890.000000,,1512601.000000,,19547491.000000,,37025496.000000,13336347.000000,,,,,,,,,,760436.000000,,2152201.000000,2912637.000000,7525866.000000,2897844.000000,13336347.000000,50361843.000000,,74166549.000000,74166549.000000,74166549.000000,10333118.000000,-43010833.000000,263894.000000,-43274727.000000,-43010833.000000,7.000000,2446790.000000,43935631.000000,94297474.000000,9326826088.000000
12M 2017,,,330281.000000,,,330281.000000,2767037.000000,,2767037.000000,2767037.000000,445867.000000,,445867.000000,445867.000000,6038525.000000,1368185.000000,10949895.000000,,1447303.000000,,,,64022988.000000,,1335104.000000,66805395.000000,77755290.000000,,,25125413.000000,,,,,3774137.000000,3774137.000000,5943694.000000,,,5943694.000000,1105383.000000,61453.000000,,,13093024.000000,,1147722.000000,,14240746.000000,,25125413.000000,8525463.000000,,,,,,,,,,701660.000000,,44252.000000,745912.000000,4274555.000000,3504996.000000,8525463.000000,33650876.000000,,76610978.000000,76610978.000000,76610978.000000,15542295.000000,-49868766.000000,263894.000000,-50132660.000000,-49868766.000000,6.000000,1819901.000000,44104414.000000,77755290.000000,9979518088.000000
