Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Komisi Perantara Perdagangan Efek,Penerimaan Jasa Penjamin Emisi Dan Penjualan Efek,Penerimaan Penghasilan Dividen Dan Bunga,Penerimaan (Pembayaran) Efek Diperdagangkan,Penerimaan (Pembayaran) Nasabah,Penerimaan (Pembayaran) Lembaga Kliring Dan Penjaminan,Penerimaan (Pembayaran) Pe Lain,Penjualan (Pembelian) Portofolio Efek,Pembayaran Piutang Lain-Lain,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Biaya Umum Dan Karyawan,Pembayaran Pajak Penghasilan,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Bunga,Tanah Yang Belum Dikembangkan,Kenaikan (Penurunan) Deposito Berjangka,Uang Muka Investasi Saham,Hasil Penjualan Aset Tetap,Penempatan Investasi Jangka Pendek,Pencairan Investasi Jangka Pendek,Investasi Pada Anak Perusahaan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Pihak Berelasi,Tambahan Setoran Modal,Saham Treasuri,Pencairan Simpanan Kospin,Uang Muka Setoran Modal,Penambahan Hutang Sub Ordinasi,Pembayaran Utang Sub Ordinasi,Pembayaran Dividen Kepada Kepentingan Non Pengendali,Pembelian/(Penjualan) Kembali Saham (Buyback),Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Saldo Kas Dan Bank Awal Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,-377793943.000000,596763478.000000,11579669.000000,1739835901.000000,-1714750977.000000,-476408276.000000,1255816403.000000,78148421.000000,,,,-2682349241.000000,-8267766.000000,821838445.000000,-377793943.000000,,,,,,,,,,,,,,,,,,,,,,,-377793943.000000,,27234341286.000000,26856547343.000000
12M 2017,1781983883.000000,631011613.000000,8371015.000000,663264365.000000,976071895.000000,-101749861.000000,-1724796557.000000,1210669701.000000,,,,-1070468035.000000,-26926978.000000,1216536725.000000,1781983883.000000,-322876479100.000000,-260859100.000000,,,-322615620000.000000,,,,,,-322876479100.000000,305650101254.000000,,305650101254.000000,,,,,,,,305650101254.000000,-15444393963.000000,,26856547343.000000,11412153380.000000
12M 2018,-4337461648.000000,809227588.000000,46800.000000,1740289603.000000,,-679565026.000000,657042090.000000,-18000000.000000,,,,-6788437403.000000,-58065300.000000,,-4337461648.000000,281991776555.000000,-243061361.000000,,,,,,282234837916.000000,,,281991776555.000000,26908873600.000000,,-961126400.000000,,,,27870000000.000000,,,,26908873600.000000,304563188507.000000,,11412153380.000000,315975341887.000000
12M 2019,-202486928573.000000,521335352.000000,,10112528924.000000,-252361648694.000000,-161755621.000000,103785756.000000,,,,,-8231355789.000000,-104679148.000000,47634860647.000000,-202486928573.000000,10512122177.000000,-203134321.000000,152722405.000000,,,,70000000.000000,10492534093.000000,,,10512122177.000000,-28706278875.000000,,,,,,-28706278875.000000,,,,-28706278875.000000,-220681085271.000000,,315975341887.000000,95294256616.000000
12M 2020,24197843039.000000,1023489884.000000,,5830718146.000000,26013541800.000000,-263559396.000000,671455100.000000,,,,,-9019304478.000000,-58498017.000000,,24197843039.000000,16136412462.000000,-65082437.000000,2303435328.000000,,,,,,13898059571.000000,,16136412462.000000,-55359037800.000000,,,-55359037800.000000,,,,,,,-55359037800.000000,-15024782299.000000,,95294256616.000000,80269474317.000000
12M 2021,104393992066.000000,1160932338.000000,11538636.000000,6486937247.000000,120635092345.000000,5689345.000000,3716428100.000000,,,,,-27343906224.000000,-309671545.000000,30951824.000000,104393992066.000000,-5613739227.000000,-5613739227.000000,,,,,,,,,-5613739227.000000,677035.000000,,,677035.000000,,,,,,,677035.000000,98780929874.000000,,80269474317.000000,179050404191.000000
12M 2022,-260776209665.000000,2155177191.000000,9127292.000000,12063043047.000000,-257518687744.000000,1872671839.000000,-1616604336.000000,,,,,-17387345466.000000,-353591488.000000,,-260776209665.000000,-2049584220.000000,-2049584220.000000,,,,,,,,,-2049584220.000000,105530198000.000000,,,105530198000.000000,,,,,,,105530198000.000000,-157295595885.000000,,179050404191.000000,21754808306.000000
12M 2023,18523522139.000000,989083690.000000,8641091.000000,4556491679.000000,39811491630.000000,29917537758.000000,-28138249371.000000,,,,,-24809322899.000000,-3812151439.000000,,18523522139.000000,-54713318378.000000,-174216459.000000,500898081.000000,,,-55040000000.000000,,,,,-54713318378.000000,61450000000.000000,,,61450000000.000000,,,,,,,61450000000.000000,25260203761.000000,,21754808306.000000,47015012067.000000
12M 2024,29021019575.000000,1411232595.000000,,6556421820.000000,37880481847.000000,-39644445966.000000,46962461914.000000,,,,,-21813194970.000000,-2831937665.000000,500000000.000000,29021019575.000000,-154150933.000000,-34685856.000000,605950351.000000,-325415428.000000,,-400000000.000000,,,,,-154150933.000000,22672000000.000000,,,22272000000.000000,,400000000.000000,,,,,22672000000.000000,51538868642.000000,8668461.000000,47015012067.000000,98562549170.000000
