Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Beban Usaha,Penerimaan (Pembayaran) Pajak,Penerimaan (Pembayaran) Bunga & Keuangan,Pembayaran Kas Untuk Karyawan Dan Operasional Lainnya,Penerimaan Penghasilan Bunga,Penerimaan Pendapatan Lain-Lain,Penerimaan (Pembayaran) Untuk Kegiatan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Modal Saham Dana Ipo,Penerimaan (Pembayaran) Dana Ipo,Penambahan Utang Pihak Berelasi,Pembayaran Utang Bank Jangka Pendek,Penambahan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Lembaga Keuangan,Penambahan Utang Lembaga Keuangan,Penerimaan (Pembayaran) Pinjaman,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,-20809900793.000000,340864254828.000000,-343896098114.000000,-16050770781.000000,-400191016.000000,-4437026680.000000,,,,3109930970.000000,-20809900793.000000,-11645429000.000000,,-11645429000.000000,,-11645429000.000000,45339739769.000000,25000000000.000000,,,,,,,,,20339739769.000000,45339739769.000000,12884409976.000000,269149550.000000,,13153559526.000000
12M 2019,-72048941708.000000,371282853091.000000,-385243079017.000000,-46798631517.000000,-2498519750.000000,-7639424530.000000,,,,-1152139985.000000,-72048941708.000000,,,,,,63030130564.000000,39000000000.000000,27500000000.000000,,,,,,,,-3469869436.000000,63030130564.000000,-9018811144.000000,13153559526.000000,,4134748382.000000
12M 2020,11370280933.000000,348448204753.000000,-327372127137.000000,,-310943716.000000,-7030918339.000000,-2531982447.000000,42763705.000000,125284114.000000,,11370280933.000000,-2472206950.000000,,-2472206950.000000,,-2472206950.000000,-11639485726.000000,,,,-85164060610.000000,74622010302.000000,,,-1097435418.000000,,,-11639485726.000000,-2741411743.000000,4134748397.000000,,1393336654.000000
12M 2021,8190783341.000000,411865563227.000000,-393466700488.000000,,-432339406.000000,-6961669515.000000,-3663481183.000000,-30253984.000000,879664690.000000,,8190783341.000000,-216991100.000000,,-216991100.000000,,-216991100.000000,-1158366533.000000,,,,,12515261957.000000,,,-13673628490.000000,,,-1158366533.000000,6815425708.000000,1393336654.000000,,8208762362.000000
12M 2022,-5397211391.000000,530826183352.000000,-489488035640.000000,,-6280981321.000000,,-36054543640.000000,239354720.000000,-4639188862.000000,,-5397211391.000000,,,,,,23100186545.000000,,,,,23100186545.000000,,,,,,23100186545.000000,17702975154.000000,8208762363.000000,,25911737517.000000
12M 2023,-10362073886.000000,435003168705.000000,-432343447428.000000,,-1428558331.000000,-4676087544.000000,-6917648506.000000,,499218.000000,,-10362073886.000000,-611535635.000000,95000000.000000,-706535635.000000,,-611535635.000000,-6254972835.000000,,,20430985.000000,,3410818139.000000,,,-9686221959.000000,,,-6254972835.000000,-17228582356.000000,25911737517.000000,,8683155161.000000
12M 2024,-6569268825.000000,286800985298.000000,-279006682645.000000,,-1230024875.000000,-5354811680.000000,-7562941542.000000,,-215793381.000000,,-6569268825.000000,-6871062376.000000,,-6871062376.000000,,-6871062376.000000,18689305820.000000,,,,,5185614503.000000,,,13503691317.000000,,,18689305820.000000,5248974619.000000,8683155161.000000,,13932129780.000000
