Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,350266613026.000000,-332840866627.000000,17425746399.000000,-10789167428.000000,-14062275801.000000,,,3273108373.000000,-10789167428.000000,6636578971.000000,-4540204083.000000,-4540204083.000000,-4540204083.000000,2096374888.000000,-607891035.000000,-635201795.000000,27310760.000000,-607891035.000000,1488483853.000000,138340488.000000,1626824341.000000,1488483853.000000,1488483853.000000,,1488483853.000000,1626824341.000000,1626824341.000000,,1626824341.000000
12M 2019,381389700300.000000,-356380179846.000000,25009520454.000000,-14192505840.000000,-14540162734.000000,,,347656894.000000,-14192505840.000000,10817014614.000000,-10053636124.000000,-10053636124.000000,-10053636124.000000,763378490.000000,-338923919.000000,-368027873.000000,29103954.000000,-338923919.000000,424454571.000000,153904342.000000,578358913.000000,424454571.000000,424454571.000000,,424454571.000000,578358913.000000,578358913.000000,,578358913.000000
12M 2020,329428302218.000000,-308010991502.000000,21417310716.000000,-16952127981.000000,-17243922233.000000,,,291794252.000000,-16952127981.000000,4465182735.000000,-5226626044.000000,-5226626044.000000,-5226626044.000000,-761443309.000000,-3231554.000000,-3231554.000000,,-3231554.000000,-764674863.000000,35722334.000000,-728952529.000000,-764674863.000000,-764674863.000000,,-764674863.000000,-728952529.000000,-728952529.000000,,-728952529.000000
12M 2021,392655804739.000000,-359459706358.000000,33196098381.000000,-25417591660.000000,-25892201747.000000,,,474610087.000000,-25417591660.000000,7778506721.000000,-5612722498.000000,-5612722498.000000,-5612722498.000000,2165784223.000000,-489250585.000000,-489250585.000000,,-489250585.000000,1676533638.000000,318469743.000000,1995003381.000000,1676533638.000000,1676533638.000000,,1676533638.000000,1995003381.000000,1995003381.000000,,1995003381.000000
12M 2022,540850470104.000000,-502049636989.000000,38800833115.000000,-35768494593.000000,-36007849313.000000,,,239354720.000000,-35768494593.000000,3032338522.000000,-4872849881.000000,-4872849881.000000,-4872849881.000000,-1840511359.000000,-82022383.000000,-82022383.000000,,-82022383.000000,-1922533742.000000,182109449.000000,-1740424293.000000,-1922533742.000000,-1922378134.000000,-155608.000000,-1922533742.000000,-1740424293.000000,-1740268685.000000,-155608.000000,-1740424293.000000
12M 2023,437698250180.000000,-402631597459.000000,35066652721.000000,-29041421086.000000,-30154243955.000000,,,1112822869.000000,-29041421086.000000,6025231635.000000,-5951134658.000000,-5951134658.000000,-5951134658.000000,74096977.000000,-56872584.000000,-56872584.000000,,-56872584.000000,17224393.000000,148392130.000000,165616523.000000,17224393.000000,17275909.000000,-51516.000000,17224393.000000,165616523.000000,165668039.000000,-51516.000000,165616523.000000
12M 2024,336667143228.000000,-305856193118.000000,30810950110.000000,-21278152833.000000,-22474009070.000000,,,1195856237.000000,-21278152833.000000,9532797277.000000,-5206929387.000000,-5206929387.000000,-5206929387.000000,4325867890.000000,-992304479.000000,-992304479.000000,,-992304479.000000,3333563411.000000,-68201941.000000,3265361470.000000,3333563411.000000,3333643200.000000,-79789.000000,3333563411.000000,3265361470.000000,3265441259.000000,-79789.000000,3265361470.000000
