Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Bunga Dan Provisi,Pembayaran Bunga,Pembayaran Provisi Dan Administrasi Bank,Total Pembayaran Bunga Dan Provisi,Pembayaran Kepada Karyawan,Pembayaran Pajak,Penerimaan Bunga,Pembayaran Beban Lainnya,Pembayaran Untuk Biaya Operasional Lainnya - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Saham Entitas Anak,Pengeluaran Bersih Dari Kas Yang Dikeluarkan Saat Pelepasan Kepemilikan Saham Entitas Anak,Perolehan Aset Tetap,Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Kembali Uang Muka Pembelian Aktiva Tetap,Penempatan Investasi Asosiasi,Penempatan Investasi Jangka Pendek,Penerimaan Bersih Dari Kas Yang Diperoleh Saat Akuisisi Entitas Anak,Hasil Penjualan Atas Investasi Tersedia Untuk Dijual,Penambahan Biaya Pra-Operasi,Perolehan Proyek Dalam Penyelesaian,Pembayaran Uang Muka Proyek,Pembelian Investasi Tersedia Untuk Dijual,Penerimaan Bunga,Penambahan Kas Yang Dibatasi Penggunaannya,Penempatan Investasi Pada Obligasi,Pembayaran Piutang Lain-Lain Dari Pihak Ketiga,Pembayaran Piutang Lain-Lain Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penambahan Setoran Modal,Utang Bank,Penerimaan,Pembayaran,Total Utang Bank,Pembayaran Bunga Pinjaman Bank,Utang Lembaga Keuangan Non Bank,Penerimaan,Pembayaran,Total Utang Lembaga Keuangan Non Bank,Utang Lain-Lain Pihak Berelasi,Penerimaan,Pembayaran,Total Utang Lain-Lain Pihak Berelasi,Utang Lain-Lain Pihak Ketiga,Penerimaan Pinjaman Dari Pihak Ketiga,Pembayaran Pinjaman Kepada Pihak Ketiga,Total Utang Lain-Lain Pihak Ketiga,Penerimaan Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Pemberian Pinjaman Kepada Pihak Ketiga,Penerimaan Pelunasan Pinjaman Dari Pihak Ketiga,Pembayaran Pinjaman Kepada Pihak Hubungan Istimewa,Penerimaan Hutang Lain-Lain,Pembayaran Hutang Lain-Lain,Investasi Pada Entitas Anak,Pengakuan Aset Atas Pengampunan Pajak,Penambahan Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Perusahaan Anak Yang Dibeli,Jumlah Kas Dan Setara Kas Akhir Tahun Dari Operasi Yang Dihentikan,Jumlah Kas Dan Setara Kas Awal Tahun Dari Entitas Anak Yang Dijual,Kas Dan Setara Kas Akhir Periode
12M 2008,-16839310254.000000,106514710273.000000,-87608698632.000000,,-31569721398.000000,-1050062350.000000,-32619783748.000000,-1816180860.000000,-1455363056.000000,146005769.000000,,,-16839310254.000000,-255841609910.000000,,,-255841609910.000000,,,,,,,,,,,,,,,,,-255841609910.000000,272905325233.000000,299500000000.000000,,424951419090.000000,-17000000000.000000,407951419090.000000,,,,,,,,,,,,,,,,,,,,-434546093857.000000,,,,272905325233.000000,224405069.000000,,2081363.000000,30101484.000000,8234028561.000000,,8490616477.000000
12M 2009,31526503645.000000,235390813514.000000,-145853813151.000000,,-47782719956.000000,-5614936658.000000,-53397656614.000000,-2561075260.000000,-2075499000.000000,23734156.000000,,,31526503645.000000,-36017618976.000000,,,-36017618976.000000,,,,,,,,,,,,,,,,,-36017618976.000000,4592217558.000000,,,324822445588.000000,-331434048030.000000,-6611602442.000000,,,,,,,,,,,,,,,,,,,,11203820000.000000,,,,4592217558.000000,101102227.000000,256587916.000000,-1359820.000000,,156544531.000000,,512874854.000000
12M 2010,85788226497.000000,299179845826.000000,-122001573749.000000,,-70412451207.000000,-3826303307.000000,-74238754514.000000,-4523200070.000000,-7075618575.000000,182544646.000000,,-5735017067.000000,85788226497.000000,-3728389723.000000,,,-3701844803.000000,,,,,,,6858715080.000000,,,,-6885260000.000000,,,,,,-3728389723.000000,-82386198415.000000,,,,-79972656316.000000,-79972656316.000000,,,,,,,,,,,380927224.000000,-2794469323.000000,-2413542099.000000,,,,,,,,,,,-82386198415.000000,-326361641.000000,356330324.000000,1725634.000000,,156544530.000000,,188238847.000000
12M 2011,146779997000.000000,365070274000.000000,-141247232000.000000,,-54188935000.000000,-2397624000.000000,-56586559000.000000,-5078917000.000000,-7763135000.000000,85404000.000000,,-7699838000.000000,146779997000.000000,-19692840000.000000,,,-19695298000.000000,,,,-4000000000.000000,,,4002458000.000000,,,,,,,,,,-19692840000.000000,-125180529000.000000,42137000.000000,,423625514000.000000,-546846608000.000000,-123221094000.000000,,,,,,,,,,,11900795000.000000,-13902367000.000000,-2001572000.000000,,,,,,,,,,,-125180529000.000000,1906628000.000000,188239000.000000,32000.000000,,,,2094899000.000000
12M 2012,112844164000.000000,337899993000.000000,-160628030000.000000,,-36099615000.000000,-2064044000.000000,-38163659000.000000,-6175025000.000000,-3884149000.000000,510945000.000000,,-16715911000.000000,112844164000.000000,61344617000.000000,4800000000.000000,,-474599000.000000,,,,,,57019216000.000000,,,,,,,,,,,61344617000.000000,-111864061000.000000,,,339305099000.000000,-440595030000.000000,-101289931000.000000,,,,,,,,,,,9535908000.000000,-20216949000.000000,-10681041000.000000,141000000.000000,-34089000.000000,,,,,,,,,-111864061000.000000,62324720000.000000,2094899000.000000,3405341000.000000,,,,67824960000.000000
12M 2013,110827503000.000000,314692984000.000000,-135403207000.000000,,-29493307000.000000,-1350450000.000000,-30843757000.000000,-5759507000.000000,-671419000.000000,404860000.000000,,-31592451000.000000,110827503000.000000,-57310710000.000000,9500000000.000000,-67065710000.000000,,255000000.000000,,,,,,,,,,,,,,,,-57310710000.000000,-115040664000.000000,,,324276824000.000000,-436594117000.000000,-112317293000.000000,,,,,,,,,,,11607181000.000000,-14260487000.000000,-2653306000.000000,,-70065000.000000,,,,,,,,,-115040664000.000000,-61523871000.000000,67824960000.000000,3176000.000000,,,,6304265000.000000
12M 2014,22767899000.000000,172426313000.000000,-102337055000.000000,,-19755809000.000000,-942674000.000000,-20698483000.000000,-5446807000.000000,-15873783000.000000,121117000.000000,,-5423403000.000000,22767899000.000000,,,,,,,,,,,,,,,,,,,,,,-28805677000.000000,,,272365717000.000000,-312206031000.000000,-39840314000.000000,,,,,,,,,,,24254651000.000000,-13183168000.000000,11071483000.000000,,-36846000.000000,,,,,,,,,-28805677000.000000,-6037778000.000000,6304266000.000000,-3596000.000000,,,,262892000.000000
12M 2015,40393811.000000,145797711.000000,-73610567.000000,,-15693879.000000,-1783273.000000,-17477152.000000,-6646397.000000,-5891624.000000,38900.000000,,-1817060.000000,40393811.000000,-4250.000000,,,-4250.000000,,,,,,,,,,,,,,,,,-4250.000000,-40508260.000000,,,159688203.000000,-205986443.000000,-46298240.000000,,,,,,,,,,,11707306.000000,-5917326.000000,5789980.000000,,,,,,,,,,,-40508260.000000,-118699.000000,262892.000000,-179.000000,,,,144014.000000
12M 2016,47765931000.000000,187679956000.000000,-113697544000.000000,,-9191555000.000000,-642188000.000000,-9833743000.000000,-7052761000.000000,-3189985000.000000,24051000.000000,,-6164043000.000000,47765931000.000000,-300872000.000000,,,-300872000.000000,,,,,,,,,,,,,,,,,-300872000.000000,-46549999000.000000,,,218400436000.000000,-260380886000.000000,-41980450000.000000,,,,,,,,,,,13730459000.000000,-19008743000.000000,-5278284000.000000,245592000.000000,-36857000.000000,,,,,,,500000000.000000,,-46549999000.000000,915060000.000000,144014000.000000,,,,,1059074000.000000
12M 2017,15205278000.000000,127190537000.000000,-84926781000.000000,,-6020538000.000000,-624848000.000000,-6645386000.000000,-7303097000.000000,-3779348000.000000,26957000.000000,,-9357604000.000000,15205278000.000000,-384600000.000000,,,-384600000.000000,,,,,,,,,,,,,,,,,-384600000.000000,-15287828000.000000,,,125809484000.000000,-141388757000.000000,-15579273000.000000,,,,,,,,,,,11798926000.000000,-11493662000.000000,305264000.000000,254100000.000000,-267919000.000000,,,,,,,,,-15287828000.000000,-467150000.000000,1059074000.000000,,,,,591924000.000000
