Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Tak Berwujud,Piutang Pihak Berelasi,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembelian Aset Tetap,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,8490616477.000000,2047500000.000000,23856087799.000000,,23856087799.000000,23856087799.000000,4872252061.000000,,,4872252061.000000,20359990263.000000,127229685044.000000,186856131644.000000,,1881551389.000000,,1137346554319.000000,3139879166.000000,,2393233476.000000,1144761218350.000000,,1331617349994.000000,,,63158498073.000000,5997928848.000000,,,5997928848.000000,,4164735673.000000,,4164735673.000000,1733376028.000000,,1733376028.000000,7495665267.000000,43766792257.000000,,,,,,,,,63158498073.000000,582156282116.000000,,,,,,580948254652.000000,,,,,580948254652.000000,1208027464.000000,582156282116.000000,645314780189.000000,,396597300000.000000,32040821780.000000,-2349682311.000000,265961153922.000000,-5947023585.000000,686302569806.000000,1331617349995.000000,3965973000.000000
12M 2009,,,512874854.000000,6299755000.000000,21365026246.000000,,21365026246.000000,21365026246.000000,132991000.000000,,,132991000.000000,9474512405.000000,4470324166.000000,42255483671.000000,,6274611093.000000,,1274449641233.000000,2370929166.000000,,431805034.000000,1283526986526.000000,,1325782470197.000000,,,74519891417.000000,18904354276.000000,,,18904354276.000000,,16785750043.000000,,16785750043.000000,3685478660.000000,,3685478660.000000,10145791197.000000,24998517241.000000,,,,,,,,,74519891417.000000,574640641982.000000,,,,,,573880649001.000000,,,,,573880649001.000000,759992981.000000,574640641982.000000,649160533399.000000,,396599900000.000000,32041341780.000000,-14215816185.000000,269109955624.000000,-6913444421.000000,676621936798.000000,1325782470197.000000,3965999000.000000
12M 2010,,,188238847.000000,6885260000.000000,29762291080.000000,,29762291080.000000,29762291080.000000,95171000.000000,,,95171000.000000,6869920567.000000,8351545914.000000,52152427408.000000,,4845446355.000000,,1199613055102.000000,1601979166.000000,59900000.000000,233517082.000000,1206353897705.000000,,1258506325113.000000,,,241438156003.000000,22691883713.000000,,,22691883713.000000,,14610955250.000000,,14610955250.000000,3225626024.000000,,3225626024.000000,7183830091.000000,3525860925.000000,190200000000.000000,,,,,190200000000.000000,,,241438156003.000000,326278345982.000000,,,,,,325180649001.000000,,,,,325180649001.000000,1097696981.000000,326278345982.000000,567716501985.000000,,396599900000.000000,32041341780.000000,-14042965873.000000,279349409142.000000,-3157861921.000000,690789823128.000000,1258506325113.000000,3965999000.000000
12M 2011,,,2094899000.000000,,28075443000.000000,,28075443000.000000,28075443000.000000,55500000.000000,,55500000.000000,55500000.000000,2864643000.000000,2072937000.000000,35163422000.000000,,226215000.000000,8766396000.000000,1140356367000.000000,,,166379000.000000,1149515357000.000000,,1184678779000.000000,,,230200722000.000000,28907095000.000000,,,28907095000.000000,,25152340000.000000,,25152340000.000000,2969526000.000000,,2969526000.000000,10920096000.000000,24991412000.000000,,18266434000.000000,118993819000.000000,,,137260253000.000000,,,230200722000.000000,258668401000.000000,12245000.000000,,,,,,4409140000.000000,252736185000.000000,,,257145325000.000000,1510831000.000000,258668401000.000000,488869123000.000000,,396635014000.000000,32048365000.000000,-11097393000.000000,281414532000.000000,-3190862000.000000,695809656000.000000,1184678779000.000000,3966350139.000000
12M 2012,,,67824960000.000000,,27096432000.000000,,27096432000.000000,27096432000.000000,23830000.000000,,23830000.000000,23830000.000000,4368374000.000000,1286451000.000000,100600047000.000000,,440717000.000000,,1054755270000.000000,,,88978000.000000,1055284965000.000000,,1155885012000.000000,,,278867516000.000000,39535828000.000000,,,39535828000.000000,,78738628000.000000,,78738628000.000000,,6842077000.000000,6842077000.000000,6229023000.000000,16695301000.000000,,10307079000.000000,120455536000.000000,64044000.000000,,130826659000.000000,,,278867516000.000000,164912076000.000000,,,,,,,4294616000.000000,158280649000.000000,42867000.000000,,162618132000.000000,2293944000.000000,164912076000.000000,443779592000.000000,,396635014000.000000,32048365000.000000,-1038317000.000000,287651220000.000000,-3190862000.000000,712105420000.000000,1155885012000.000000,3966350139.000000
12M 2013,,,6304266000.000000,,13585122000.000000,,13585122000.000000,13585122000.000000,4622143000.000000,,4622143000.000000,4622143000.000000,5117738000.000000,17008130000.000000,46637399000.000000,,590649000.000000,,970131103000.000000,,,88978000.000000,970810730000.000000,,1017448129000.000000,,,268500352000.000000,80925946000.000000,,,80925946000.000000,,29376075000.000000,,29376075000.000000,,841094000.000000,841094000.000000,8192232000.000000,24833543000.000000,,4294616000.000000,120000000000.000000,36846000.000000,,124331462000.000000,,,268500352000.000000,41086822000.000000,,,,,,,,38280649000.000000,,,38280649000.000000,2806173000.000000,41086822000.000000,309587174000.000000,,396635014000.000000,32048365000.000000,-3682543000.000000,286050981000.000000,-3190862000.000000,707860955000.000000,1017448129000.000000,3966350139.000000
12M 2014,,,262892000.000000,,8587854000.000000,,8587854000.000000,8587854000.000000,2967265000.000000,,2967265000.000000,2967265000.000000,24866700000.000000,14455945000.000000,51140656000.000000,,741099000.000000,,886125636000.000000,,,88978000.000000,886955713000.000000,,938096369000.000000,,,285454154000.000000,98460359000.000000,,,98460359000.000000,,44742175000.000000,,44742175000.000000,,692060000.000000,692060000.000000,11566330000.000000,54993230000.000000,,,75000000000.000000,,,75000000000.000000,,,285454154000.000000,16771624000.000000,,,,,,,,13280649000.000000,,,13280649000.000000,3490975000.000000,16771624000.000000,302225778000.000000,,396635014000.000000,32048365000.000000,-47109093000.000000,257487167000.000000,-3190862000.000000,635870591000.000000,938096369000.000000,3966350139.000000
12M 2015,,,144014000.000000,,21227778000.000000,,21227778000.000000,21227778000.000000,36208000.000000,,36208000.000000,36208000.000000,23268628000.000000,14562245000.000000,59238873000.000000,,402289000.000000,,802322900000.000000,,,183170000.000000,802908359000.000000,,862147232000.000000,,,304981442000.000000,142236988000.000000,,,142236988000.000000,,50532156000.000000,,50532156000.000000,,682585000.000000,682585000.000000,14554074000.000000,54994990000.000000,,,41980649000.000000,,,41980649000.000000,,,304981442000.000000,2218736000.000000,,,,,,,,,,,,2218736000.000000,2218736000.000000,307200178000.000000,,396635014000.000000,32048365000.000000,-96924500000.000000,224770539000.000000,-1582364000.000000,554947054000.000000,862147232000.000000,3966350139.000000
12M 2016,,,1059074000.000000,,8102158000.000000,,8102158000.000000,8102158000.000000,16500000.000000,,16500000.000000,16500000.000000,19523360000.000000,14505245000.000000,43206337000.000000,,361972000.000000,,719021633000.000000,,,183168000.000000,719566773000.000000,,762773110000.000000,,,246410761000.000000,144907518000.000000,,,144907518000.000000,,45253872000.000000,,45253872000.000000,,49835000.000000,49835000.000000,16149252000.000000,24999952000.000000,,,14995237000.000000,55095000.000000,,15050332000.000000,,,246410761000.000000,17294098000.000000,,,,,,,,15000000000.000000,153639000.000000,,15153639000.000000,2140459000.000000,17294098000.000000,263704859000.000000,,396635014000.000000,32048365000.000000,-131271453000.000000,202225478000.000000,-569153000.000000,499068251000.000000,762773110000.000000,3966350139.000000
12M 2017,,,591924000.000000,,2513451000.000000,,2513451000.000000,2513451000.000000,34789000.000000,,34789000.000000,34789000.000000,17411087000.000000,14525245000.000000,35076496000.000000,,482030000.000000,,635771864000.000000,,,183167000.000000,636437061000.000000,,671513557000.000000,,,261349696000.000000,158028538000.000000,,,158028538000.000000,,45559135000.000000,,45559135000.000000,,61523000.000000,61523000.000000,18174936000.000000,24415916000.000000,,,15000000000.000000,109648000.000000,,15109648000.000000,,,261349696000.000000,2788958000.000000,,,,,,,,,85268000.000000,,85268000.000000,2703690000.000000,2788958000.000000,264138654000.000000,,396635014000.000000,32048365000.000000,-186442592000.000000,165698663000.000000,-564547000.000000,407374903000.000000,671513557000.000000,3966350139.000000
