Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,,,0.0
12M 2014,,,,,,,,,2.07,1.12,0.1,0.08,,,0.0
12M 2015,,,,,,,,,1.67,1.68,0.1,0.09,,,0.0
12M 2016,,,,,,,,,1.8,1.82,0.09,0.09,,,0.0
12M 2017,,,,,,,,,1.85,1.85,0.08,0.08,,,0.0
12M 2018,,,,,,,,,1.88,1.89,0.08,0.08,,,0.0
12M 2019,,,,,,,,,3.46,3.26,0.11,0.08,,,0.0
12M 2020,,,,,,,,,3.43,3.52,0.08,0.08,,,0.0
12M 2021,,,,,,,,,4.23,4.31,0.08,0.07,,,0.0
12M 2022,,,,,,,,,5.97,6.11,0.08,0.07,,,0.0
12M 2023,,,,,,,,,8.17,7.82,0.09,0.09,,,0.0
12M 2024,,,,,,,,,8.26,8.53,0.09,0.09,,,0.0
