Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Bunga Dan Komisi,Pembayaran Bunga,Pendapatan (Beban) Operasional Lainnya,Pembayaran Beban Operasional,Pembayaran Beban Umum Dan Administrasi,Pendapatan (Beban) Bukan Operasional,Perubahan Dalam Aset Dan Liabilitas Operasi :,Penurunan/(Kenaikan) Aset Operasi :,Penempatan Pada Bank Lain,Efek-Efek Dan Tagihan Lainnya,Pinjaman Yang Diberikan,Aset Hak Guna,Agunan Yang Diambil Alih,Aset Lain-Lain,Total Penurunan/(Kenaikan) Aset Operasi :,(Penurunan) / Kenaikan Liabilitas Operasi:,Liabilitas Segera,Simpanan Nasabah :,Giro,Tabungan,Deposito Berjangka,Total Simpanan Nasabah :,Simpanan Dari Bank Lain,Liabilitas Sewa,Utang Pajak,Liabilitas Lain-Lain,Total (Penurunan) / Kenaikan Liabilitas Operasi:,Total Perubahan Dalam Aset Dan Liabilitas Operasi :,Pembayaran Pajak Penghasilan,Pembayaran Tebusan Aset Pengampunan Pajak,Pembayaran Pajak Revaluasi,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Investasi Dalam Surat Berharga,Penerimaan Dari Surat Berharga Yang Telah Jatuh Tempo,Penambahan Aset Tidak Berwujud,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Pembelian Saham Treasuri,Biaya Emisi Saham,Pinjaman Dari Bank Lain,Pengembalian Dana Setoran Modal,Pembayaran Liabilitas Sewa,Selisih Penilaian Kembali Aktiva Tetap,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,-2200244199.000000,58544903502.000000,-28286680352.000000,926244200.000000,-22945003155.000000,,1472252664.000000,,,,-28505817554.000000,-248991872001.000000,,,-4590991272.000000,-282088680827.000000,,,,243504493.000000,44473369618.000000,275164513050.000000,319881387161.000000,-50148221674.000000,,871308305.000000,1158581491.000000,271763055283.000000,-10325625544.000000,-1586335514.000000,,,,-2200244199.000000,-3297506678.000000,935783232.000000,,,,-4233289910.000000,-3297506678.000000,50000000000.000000,50000000000.000000,,,,,,,50000000000.000000,44502249123.000000,236465395234.000000,280967644357.000000
12M 2014,173131306005.000000,123410092433.000000,-83330542421.000000,1606115265.000000,-34259072206.000000,,1052084335.000000,,,,-62106288150.000000,-364512417609.000000,,,-36051700697.000000,-462670406456.000000,,,,12407934232.000000,45207042426.000000,587501443614.000000,645116420272.000000,-8601604343.000000,,-285783243.000000,2026761875.000000,638255794561.000000,175585388105.000000,-855352765.000000,,-10077406741.000000,,173131306005.000000,-4705281817.000000,,,,,-4705281817.000000,-4705281817.000000,50172000000.000000,55000000000.000000,,-4828000000.000000,,,,,50172000000.000000,218598024188.000000,280967644260.000000,499565668448.000000
12M 2015,148078946347.000000,185310816267.000000,-118748711516.000000,2468870588.000000,-47110276115.000000,,2104316104.000000,,,,-23504391299.000000,-280241599010.000000,,,14949631398.000000,-288796358911.000000,,,,-3516058556.000000,75352160037.000000,194737089336.000000,266573190817.000000,148797845526.000000,,487050049.000000,-449693425.000000,415408392967.000000,126612034056.000000,-2558103037.000000,,,,148078946347.000000,-2369678193.000000,,,,,-2369678193.000000,-2369678193.000000,,,,,,,,,,145709268154.000000,499565668448.000000,645274936602.000000
12M 2016,-213292930926.000000,193455221144.000000,-121132591978.000000,2690685073.000000,-54635962258.000000,,-383240895.000000,,,,-179477806142.000000,-195535739319.000000,,-80975739905.000000,3205576920.000000,-452783708446.000000,,,,11900969536.000000,-45505501416.000000,177807142179.000000,144202610299.000000,75649079547.000000,,-218075233.000000,5056985853.000000,224690600466.000000,-228093107980.000000,-5184934032.000000,-9000000.000000,,,-213292930926.000000,-682560923.000000,,,,,-682560923.000000,-682560923.000000,,,,,,,,,,-213975491849.000000,645274936602.000000,431299444753.000000
12M 2017,140809583408.000000,198161369529.000000,-124210346108.000000,2994681556.000000,-60886894014.000000,,2233934933.000000,,,,-39150583847.000000,-50998313088.000000,,4155070623.000000,354956852.000000,-85638869460.000000,,-713570644.000000,,34145013548.000000,128385392835.000000,204199248230.000000,366729654613.000000,-153281092913.000000,,479284986.000000,-1029534385.000000,212184741657.000000,126545872197.000000,-4029034685.000000,,,,140809583408.000000,-2183486479.000000,1120301749.000000,,,,-3303788228.000000,-2183486479.000000,,,,,,,,,,138626096929.000000,431299444753.000000,569925541682.000000
12M 2018,264017117345.000000,198669873855.000000,-118083811257.000000,1283860177.000000,-79699846074.000000,,30525472164.000000,,,,134972979737.000000,136655940264.000000,,,-14772871160.000000,256856048841.000000,,789350721.000000,,16945584102.000000,-103310783266.000000,-95860686335.000000,-182225885499.000000,158384853997.000000,,,10500000.000000,-23041180781.000000,233814868060.000000,-2493299580.000000,,,,264017117345.000000,-1670041510.000000,9700000.000000,,,,-1679741510.000000,-1670041510.000000,,,,,,,,,,262347075835.000000,569925541682.000000,832272617517.000000
12M 2019,-200538666396.000000,400755336929.000000,-192313291745.000000,5948756181.000000,-129661702290.000000,-84711043114.000000,-4994076345.000000,,,3225968778.000000,,-356497889622.000000,,9726392432.000000,3041029307.000000,-340504499105.000000,,-5093557110.000000,,59141653785.000000,144298180945.000000,207084027381.000000,410523862111.000000,-261037689247.000000,,,1565503304.000000,145958119058.000000,-194546380047.000000,-1016265965.000000,,,,-200538666396.000000,98026065183.000000,793400000.000000,136983588560.000000,,-22663380578.000000,-17087542799.000000,98026065183.000000,445310166546.000000,500511606242.000000,-55201439696.000000,,,,,,445310166546.000000,342797565333.000000,902890722991.000000,1245688288324.000000
12M 2020,-577732704371.000000,436330407437.000000,-188063918688.000000,6514829038.000000,-105488079574.000000,-67385031874.000000,-128829788.000000,,,-260903273568.000000,,-1017551524768.000000,-5175024100.000000,18801858454.000000,2893987335.000000,-1261933976647.000000,,-96882652.000000,,-51863079954.000000,188479765417.000000,690264456015.000000,826881141478.000000,-225644180362.000000,,,1281817261.000000,602421895725.000000,-659512080922.000000,,,,,-577732704371.000000,-151995219202.000000,4000000.000000,-134985862427.000000,,-11518379000.000000,-5494977775.000000,-151995219202.000000,493574915436.000000,521101402992.000000,,-1074412141.000000,,-22580820657.000000,-3871254758.000000,,493574915436.000000,-236153008137.000000,1245688288324.000000,1009535280187.000000
12M 2021,156926390942.000000,532809338493.000000,-206721020267.000000,7264005807.000000,-103097014761.000000,-83456058025.000000,378764116.000000,,,334998552460.000000,,-1229976847382.000000,-2101699531.000000,5127469999.000000,194560948.000000,-891757963506.000000,,513306611.000000,,115344631625.000000,2564824939.000000,682029934187.000000,799939390751.000000,101394609556.000000,,,-340967833.000000,901506339085.000000,9748375579.000000,,,,,156926390942.000000,-235810103118.000000,9120000.000000,-223454303114.000000,,-6555152500.000000,-5809767504.000000,-235810103118.000000,491521268594.000000,499827827715.000000,,-1080241086.000000,,,-7226318035.000000,,491521268594.000000,412637556418.000000,1009535280187.000000,1422172836605.000000
12M 2022,-983690384631.000000,686750178301.000000,-223717029223.000000,10436408252.000000,-115321448679.000000,-131997266717.000000,334522204.000000,,,11637017500.000000,,-2657955168614.000000,-5627392006.000000,3663375000.000000,1489783308.000000,-2646792384812.000000,,244976289.000000,,454858835318.000000,-49633253814.000000,999396935977.000000,1404622517481.000000,24418768850.000000,,,8614610217.000000,1437900872837.000000,-1208891511975.000000,-1284236794.000000,,,,-983690384631.000000,-466834572967.000000,20100000.000000,-448978570746.000000,,-14650671880.000000,-3225430341.000000,-466834572967.000000,990348941593.000000,499427217710.000000,,-1169086330.000000,500000000000.000000,,-7909189787.000000,,990348941593.000000,-460176016005.000000,1422172836605.000000,961996820600.000000
