Period,Total Pendapatan,Pendapatan Bunga,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,59738801108.000000,59738801108.000000,59738801108.000000,-29352168662.000000,-29352168662.000000,-29352168662.000000,30386632446.000000,-22737236146.000000,,18271214.000000,1596449263.000000,1614720477.000000,,-14306171263.000000,-10045785360.000000,,-24351956623.000000,-22737236146.000000,7649396300.000000,1996390713.000000,2237816925.000000,-241426212.000000,1996390713.000000,9645787013.000000,-2067276252.000000,-2181756169.000000,114479917.000000,,-2067276252.000000,7578510761.000000,,,,7578510761.000000,7578510761.000000,7578510761.000000,,7578510761.000000,7578510761.000000,7578510761.000000,,7578510761.000000
12M 2014,124553853471.000000,124553853471.000000,124553853471.000000,-86124417368.000000,-86124417368.000000,-86124417368.000000,38429436103.000000,-35372180608.000000,,294324453.000000,1832215634.000000,2126540087.000000,,-19173677569.000000,-18064830715.000000,-260212411.000000,-37498720695.000000,-35372180608.000000,3057255495.000000,1052084335.000000,1155745500.000000,-103661165.000000,1052084335.000000,4109339830.000000,-1001352061.000000,-867446564.000000,-133905497.000000,,-1001352061.000000,3107987769.000000,92147136692.000000,92147136692.000000,92147136692.000000,95255124461.000000,3107987769.000000,3107987769.000000,,3107987769.000000,95255124461.000000,95255124461.000000,,95255124461.000000
12M 2015,185457103855.000000,185457103855.000000,185457103855.000000,-119576713771.000000,-119576713771.000000,-119576713771.000000,65880390084.000000,-49906555253.000000,,100264881.000000,2368605706.000000,2468870587.000000,,-25037375305.000000,-27069458277.000000,-268592258.000000,-52375425840.000000,-49906555253.000000,15973834831.000000,2104316104.000000,2390840904.000000,-286524800.000000,2104316104.000000,18078150935.000000,-4059015562.000000,-4334350000.000000,275334438.000000,,-4059015562.000000,14019135373.000000,-429077803.000000,-429077803.000000,-429077803.000000,13590057570.000000,14019135373.000000,14019135373.000000,,14019135373.000000,13590057570.000000,13590057570.000000,,13590057570.000000
12M 2016,195243728143.000000,195243728143.000000,195243728143.000000,-121687231032.000000,-121687231032.000000,-121687231032.000000,73556497111.000000,-56006246518.000000,,465970034.000000,2224715040.000000,2690685074.000000,,-29329023396.000000,-29182578253.000000,-185329943.000000,-58696931592.000000,-56006246518.000000,17550250593.000000,-480781597.000000,1668553923.000000,-2149335520.000000,-480781597.000000,17069468996.000000,-3987019538.000000,-4121569250.000000,134549712.000000,,-3987019538.000000,13082449458.000000,14699552.000000,14699552.000000,14699552.000000,13097149010.000000,13082449458.000000,13082449458.000000,,13082449458.000000,13097149010.000000,13097149010.000000,,13097149010.000000
12M 2017,198848160463.000000,198848160463.000000,198848160463.000000,-123991625502.000000,-123991625502.000000,-123991625502.000000,74856534961.000000,-63004888402.000000,,22945410.000000,2971736146.000000,2994681556.000000,,-34259126701.000000,-29568334442.000000,-2172108815.000000,-65999569958.000000,-63004888402.000000,11851646559.000000,1133109707.000000,1738304682.000000,-605194975.000000,1133109707.000000,12984756266.000000,-2904065011.000000,-3080381500.000000,176316489.000000,,-2904065011.000000,10080691255.000000,1928734728.000000,1928734728.000000,1928734728.000000,12009425983.000000,10080691255.000000,10080691255.000000,,10080691255.000000,12009425983.000000,12009425983.000000,,12009425983.000000
12M 2018,200387514200.000000,200387514200.000000,200387514200.000000,-118250263983.000000,-118250263983.000000,-118250263983.000000,82137250217.000000,-84186768562.000000,,,2711364911.000000,2711364911.000000,,-44602463375.000000,-37441383626.000000,-4854286472.000000,-86898133473.000000,-84186768562.000000,-2049518345.000000,21275477968.000000,22334224401.000000,-1058746433.000000,21275477968.000000,19225959623.000000,584103762.000000,,584103762.000000,,584103762.000000,19810063385.000000,-3837595734.000000,-3837595734.000000,-3837595734.000000,15972467651.000000,19810063385.000000,19810063385.000000,,19810063385.000000,15972467651.000000,15972467651.000000,,15972467651.000000
12M 2019,403755062895.000000,403755062895.000000,403755062895.000000,-194788149634.000000,-194788149634.000000,-194788149634.000000,208966913261.000000,-218068758734.000000,,,5948756181.000000,5948756181.000000,,-118717660659.000000,-104411762964.000000,-888091292.000000,-224017514915.000000,-218068758734.000000,-9101845473.000000,-2943428884.000000,2497485720.000000,-5440914604.000000,-2943428884.000000,-12045274357.000000,-4876760804.000000,,-4876760804.000000,,-4876760804.000000,-16922035161.000000,2550601437.000000,2550601437.000000,2550601437.000000,-14371433724.000000,-16922035161.000000,-16922035161.000000,,-16922035161.000000,-14371433724.000000,-14371433724.000000,,-14371433724.000000
12M 2020,439160114675.000000,439160114675.000000,439160114675.000000,-190196007728.000000,-190196007728.000000,-190196007728.000000,248964106947.000000,-229138710666.000000,,,28636350459.000000,28636350459.000000,,-118514953198.000000,-110985100472.000000,-28275007455.000000,-257775061125.000000,-229138710666.000000,19825396281.000000,-1403702403.000000,344842424.000000,-1748544827.000000,-1403702403.000000,18421693878.000000,-10546638015.000000,,-9863488765.000000,-683149250.000000,-10546638015.000000,7875055863.000000,4755210939.000000,4755210939.000000,4755210939.000000,12630266802.000000,7875055863.000000,7875055863.000000,,7875055863.000000,12630266802.000000,12630266802.000000,,12630266802.000000
12M 2021,526345100512.000000,526345100512.000000,526345100512.000000,-205175706118.000000,-205175706118.000000,-205175706118.000000,321169394394.000000,-295813736385.000000,,,13191064870.000000,13191064870.000000,,-107992939119.000000,-137112461222.000000,-63899400914.000000,-309004801255.000000,-295813736385.000000,25355658009.000000,472708650.000000,792014870.000000,-319306220.000000,472708650.000000,25828366659.000000,-8368059456.000000,-8368059456.000000,,,-8368059456.000000,17460307203.000000,1571172829.000000,1571172829.000000,1571172829.000000,19031480032.000000,17460307203.000000,17460307203.000000,,17460307203.000000,19031480032.000000,19031480032.000000,,19031480032.000000
12M 2022,701980622358.000000,701980622358.000000,701980622358.000000,-234938599146.000000,-234938599146.000000,-234938599146.000000,467042023212.000000,-447584173352.000000,,,10436408252.000000,10436408252.000000,,-108974372329.000000,-176239572216.000000,-172806637059.000000,-458020581604.000000,-447584173352.000000,19457849860.000000,-171574080.000000,490274874.000000,-661848954.000000,-171574080.000000,19286275780.000000,-6076093821.000000,-6076093821.000000,,,-6076093821.000000,13210181959.000000,1185247174.000000,1185247174.000000,1185247174.000000,14395429133.000000,13210181959.000000,13210181959.000000,,13210181959.000000,14395429133.000000,14395429133.000000,,14395429133.000000
12M 2023,1000383016490.000000,1000383016490.000000,1000383016490.000000,-397022544050.000000,-397022544050.000000,-397022544050.000000,603360472440.000000,-566191183127.000000,,,16948994516.000000,16948994516.000000,,-128756159734.000000,-176022942634.000000,-278361075275.000000,-583140177643.000000,-566191183127.000000,37169289313.000000,-97336641.000000,92525741.000000,-189862382.000000,-97336641.000000,37071952672.000000,-8420169816.000000,-8420169816.000000,,,-8420169816.000000,28651782856.000000,3474088460.000000,3474088460.000000,3474088460.000000,32125871316.000000,28651782856.000000,28651782856.000000,,28651782856.000000,32125871316.000000,32125871316.000000,,32125871316.000000
12M 2024,1037328963418.000000,1037328963418.000000,1037328963418.000000,-435909638150.000000,-435909638150.000000,-435909638150.000000,601419325268.000000,-533599303324.000000,,,28296309240.000000,28296309240.000000,,-139470827592.000000,-143730954293.000000,-278693830679.000000,-561895612564.000000,-533599303324.000000,67820021944.000000,317513127.000000,368129447.000000,-50616320.000000,317513127.000000,68137535071.000000,-18149535128.000000,-18149535128.000000,,,-18149535128.000000,49987999943.000000,1208448451.000000,1208448451.000000,1208448451.000000,51196448394.000000,49987999943.000000,49987999943.000000,,49987999943.000000,51196448394.000000,51196448394.000000,,51196448394.000000
