Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Lembaga Keuangan Lain,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Keuangan Lainnya,Pihak Ketiga,Pihak Berelasi,Total Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,18724863375.000000,3989033307.000000,429526623.000000,3559506684.000000,3989033307.000000,8507234795.000000,310472094.000000,8196762701.000000,8507234795.000000,46524481949.000000,131358828967.000000,209104442393.000000,,454078210259.000000,1840342182.000000,764478143.000000,456683030584.000000,665787472977.000000,,,404817162754.000000,,,95294289524.000000,95294289524.000000,16566962845.000000,2417661632.000000,28954038618.000000,173876542925.000000,,49380855918.000000,10436386588.000000,,59817242506.000000,,8873999999.000000,5815940833.000000,14689940832.000000,13200483872.000000,404817162754.000000,124916973613.000000,,56146661516.000000,52190386351.000000,,108337047867.000000,13001636844.000000,3578288902.000000,124916973613.000000,529734136367.000000,,56749700000.000000,2388623254.000000,49059346401.000000,18614668810.000000,9240998145.000000,136053336610.000000,665787472977.000000,567497.000000
12M 2018,,,2530328283.000000,9285134281.000000,91321153.000000,9193813128.000000,9285134281.000000,10084870875.000000,2233385266.000000,7851485609.000000,10084870875.000000,126442327422.000000,150626688997.000000,298969349858.000000,,452532696076.000000,1187504974.000000,1046930875.000000,454767131925.000000,753736481783.000000,,,439432705322.000000,,,108882601648.000000,108882601648.000000,7074309232.000000,3514834192.000000,29596284518.000000,183086542925.000000,,47692122536.000000,12782980978.000000,,60475103514.000000,,11087970194.000000,35565050339.000000,46653020533.000000,150008760.000000,439432705322.000000,125331720259.000000,,56678810223.000000,48243166500.000000,,104921976723.000000,16222020038.000000,4187723498.000000,125331720259.000000,564764425581.000000,,99236265000.000000,5168222892.000000,50320371210.000000,20066353334.000000,14180843766.000000,188972056202.000000,753736481783.000000,992362650.000000
12M 2019,,,5428050241.000000,7978705342.000000,2895312008.000000,5083393334.000000,7978705342.000000,10732441823.000000,1621051744.000000,9111390079.000000,10732441823.000000,172377368824.000000,134088350141.000000,330604916371.000000,,423629241503.000000,567937161.000000,1487840424.000000,425685019088.000000,756289935459.000000,,,496174567115.000000,30534575614.000000,75229180839.000000,,75229180839.000000,13527078424.000000,4620047965.000000,,187853099803.000000,,80026954796.000000,13715764614.000000,,93742719410.000000,,16502186432.000000,73910925109.000000,90413111541.000000,254753519.000000,496174567115.000000,68449183882.000000,,19765552907.000000,42732269281.000000,,62497822188.000000,,5951361694.000000,68449183882.000000,564623750997.000000,,106900940000.000000,6701157892.000000,49016551927.000000,17442441700.000000,11605092943.000000,191666184462.000000,756289935459.000000,1069009400.000000
