Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan Dan Operasi Lainnya,"Pembayaran Kas Untuk Beban Umum, Administrasi Dan Lain-Lain",Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Bunga,Penerimaan (Pembayaran) Aset Lainnya - Jaminan,Penambahan Aset Tidak Berwujud,Penerimaan (Pembayaran) Piutang Lain-Lain Non-Usaha Pihak Ketiga,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Liabilitas Jangka Pendek - Bank,Penerimaan,Pembayaran,Total Liabilitas Jangka Pendek - Bank,Liabilitas Jangka Pendek - Non Bank,Penerimaan,Pembayaran,Total Liabilitas Jangka Pendek - Non Bank,Liabilitas Pembiayaan Konsumen,Penerimaan,Pembayaran,Total Liabilitas Pembiayaan Konsumen,Liabilitas Sewa Pembiayaan,Penerimaan,Pembayaran,Total Liabilitas Sewa Pembiayaan,Pembayaran Bunga,Penerimaan (Pembayaran) Utang/Piutang Lain-Lain Non-Usaha Pihak Berelasi,Penambahan Modal Disetor Dan Agio Saham Dari Konversi Waran Seri I,Penerimaan Dari Penerbitan Modal Saham,Pembayaran Biaya Emisi Saham Penawaran Umum Perdana,Penerimaan Saham Penawaran Umum Perdana - Bersih,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,102798542166.000000,405581757294.000000,-262708842430.000000,-34090284065.000000,-4201410949.000000,-1782677684.000000,102798542166.000000,-169481939815.000000,1245000000.000000,60713632.000000,-20727028419.000000,698245581.000000,5241774812.000000,-156000645421.000000,-169481939815.000000,83019954946.000000,,173876542925.000000,-120000000000.000000,53876542925.000000,,41955675462.000000,-24532027777.000000,17423647685.000000,,105527517434.000000,-114504339371.000000,-8976821937.000000,,62626772939.000000,-93507827114.000000,-30881054175.000000,-28298383010.000000,34126323458.000000,,45749700000.000000,,,83019954946.000000,16336557297.000000,479069585.000000,1909236493.000000,18724863375.000000
12M 2018,-27270267421.000000,81511673120.000000,-70216771721.000000,-32985166193.000000,-3735983469.000000,-1844019158.000000,-27270267421.000000,19932962553.000000,322828951.000000,584696891.000000,20577778079.000000,,,-1552341368.000000,19932962553.000000,-7765128119.000000,,12000000000.000000,-2790000000.000000,9210000000.000000,,,-392978639.000000,-392978639.000000,,,-3829304510.000000,-3829304510.000000,,,-5494620216.000000,-5494620216.000000,-42309000812.000000,-2748388580.000000,23118000.000000,,-2474298362.000000,40250345000.000000,-7765128119.000000,-15102432987.000000,18724863375.000000,-1092102105.000000,2530328283.000000
12M 2019,7309480102.000000,134664666354.000000,-87077332986.000000,-33274437215.000000,-5264151694.000000,-1739264357.000000,7309480102.000000,-1999082259.000000,295000000.000000,538459530.000000,-723518453.000000,,,-2109023336.000000,-1999082259.000000,-3980938736.000000,,,-1276666666.000000,-1276666666.000000,,,-327482199.000000,-327482199.000000,,,-423701927.000000,-423701927.000000,,,-2935357564.000000,-2935357564.000000,-30032643063.000000,21817302683.000000,9197610000.000000,,,,-3980938736.000000,1329459107.000000,2530328283.000000,1568262850.000000,5428050240.000000
