Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,485567639213.000000,-386336626880.000000,99231012333.000000,-39636387982.000000,,-39160842910.000000,-475545072.000000,-39636387982.000000,59594624351.000000,-43556663410.000000,60713632.000000,-42897288607.000000,-1909236441.000000,-396086224.000000,1585234230.000000,-43556663410.000000,16037960941.000000,-5951226743.000000,10086734198.000000,1516527238.000000,11603261436.000000,10086734198.000000,9979796513.000000,106937685.000000,10086734198.000000,11603261436.000000,11182481494.000000,420779942.000000,11603261436.000000
12M 2018,152025228123.000000,-87992837976.000000,64032390147.000000,-27047602066.000000,,-26521924478.000000,-525677588.000000,-27047602066.000000,36984788081.000000,-35028319959.000000,584696891.000000,-37176891212.000000,-258330745.000000,322828951.000000,1499376156.000000,-35028319959.000000,1956468122.000000,-561643318.000000,1394824804.000000,6257730150.000000,7652554954.000000,1394824804.000000,1261024809.000000,133799995.000000,1394824804.000000,7652554954.000000,6200870430.000000,1451684524.000000,7652554954.000000
12M 2019,141162266409.000000,-80984875049.000000,60177391360.000000,-29998529798.000000,,-29587818946.000000,-410710852.000000,-29998529798.000000,30178861562.000000,-32228466455.000000,538459530.000000,-36336450553.000000,1160342674.000000,6562500.000000,2402619394.000000,-32228466455.000000,-2049604893.000000,-1099876318.000000,-3149481211.000000,-3354000529.000000,-6503481740.000000,-3149481211.000000,-1303819283.000000,-1845661928.000000,-3149481211.000000,-6503481740.000000,-3879570106.000000,-2623911634.000000,-6503481740.000000
