Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Bank,Utang Pajak,Utang Sewa Pembiayaan,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,313143864.000000,430866315.000000,,430866315.000000,430866315.000000,13791088.000000,,,13791088.000000,10637878584.000000,3089659231.000000,14485339082.000000,,,,189391247484.000000,142838191111.000000,19125952037.000000,115468000.000000,351470858632.000000,365956197714.000000,,,3881958053.000000,,188982770.000000,,188982770.000000,459201700.000000,,,459201700.000000,3000000000.000000,123438789.000000,70499758.000000,39835036.000000,,,,,3881958053.000000,14878193209.000000,14000000000.000000,13995038.000000,,864198171.000000,14878193209.000000,18760151262.000000,,364800000000.000000,9272333059.000000,-27025317808.000000,-27075317808.000000,50000000.000000,-27025317808.000000,149031201.000000,,347196046452.000000,365956197714.000000,3360000000.000000
12M 2014,,,294834861.000000,57856218.000000,,57856218.000000,57856218.000000,5500000.000000,,,5500000.000000,9970375338.000000,1423923499.000000,11752489916.000000,,,,193917037484.000000,123073918546.000000,22088964335.000000,78853000.000000,339158773365.000000,350911263281.000000,,,3515568979.000000,,114382152.000000,,114382152.000000,282890000.000000,,,282890000.000000,3000000000.000000,67090847.000000,13995038.000000,37210942.000000,,,,,3515568979.000000,12055879162.000000,11000000000.000000,,,1055879162.000000,12055879162.000000,15571448141.000000,,364800000000.000000,9272333059.000000,-38868500526.000000,50000000.000000,-38918500526.000000,-38868500526.000000,135982607.000000,,335339815140.000000,350911263281.000000,3360000000.000000
12M 2015,,,146875706.000000,232348415.000000,,232348415.000000,232348415.000000,4750000.000000,,,4750000.000000,9555038042.000000,1417007908.000000,11356020071.000000,,,,182774734148.000000,111908620258.000000,25884859989.000000,78853000.000000,320647067395.000000,332003087466.000000,,,11254838214.000000,,55502498.000000,,55502498.000000,18085000.000000,,,18085000.000000,11086829160.000000,67864233.000000,,26557323.000000,,,,,11254838214.000000,1603823941.000000,101587791.000000,,,1502236150.000000,1603823941.000000,12858662155.000000,,364800000000.000000,9272333059.000000,-54958578801.000000,50000000.000000,-55008578801.000000,-54958578801.000000,122662382.000000,-91991329.000000,319144425311.000000,332003087466.000000,3360000000.000000
12M 2016,,,5360862831.000000,15110803258.000000,,15110803258.000000,15110803258.000000,11759558151.000000,,,11759558151.000000,13625863904.000000,1935042623.000000,47792130767.000000,,,,171205019147.000000,115333500980.000000,30523753871.000000,78853000.000000,317141126998.000000,364933257765.000000,,,70485599419.000000,,1738808853.000000,,1738808853.000000,43538043804.000000,,,43538043804.000000,23187370069.000000,161222622.000000,,1860154071.000000,,,,,70485599419.000000,14212964898.000000,12800000000.000000,,,1412964898.000000,14212964898.000000,84698564317.000000,,364800000000.000000,10794860053.000000,-81991367101.000000,50000000.000000,-82041367101.000000,-81991367101.000000,-13276808175.000000,-91991329.000000,280234693448.000000,364933257765.000000,3360000000.000000
12M 2017,,,903878440.000000,4424790000.000000,,4424790000.000000,4424790000.000000,72145000.000000,,,72145000.000000,11739271890.000000,1462026228.000000,18602111558.000000,,,,161123119285.000000,98127980460.000000,34637449012.000000,1433866278.000000,295322415035.000000,313924526593.000000,,,22704492271.000000,,35330000.000000,,35330000.000000,,22239214585.000000,,22239214585.000000,,67953606.000000,252849663.000000,109144417.000000,,,,,22704492271.000000,2332074486.000000,,482713005.000000,,1849361481.000000,2332074486.000000,25036566757.000000,,364800000000.000000,9330333059.000000,-85444882890.000000,50000000.000000,-85494882890.000000,-85444882890.000000,294500996.000000,-91991329.000000,288887959836.000000,313924526593.000000,33600000000.000000
12M 2018,,,953052261.000000,3247370000.000000,,3247370000.000000,3247370000.000000,72145000.000000,,,72145000.000000,16749488040.000000,33589353.000000,21055644654.000000,,,,148586414561.000000,91056719450.000000,36439536864.000000,952332543.000000,277035003418.000000,298090648072.000000,,,22158317850.000000,,7033300.000000,,7033300.000000,,21748733622.000000,,21748733622.000000,,56853341.000000,252849663.000000,92847924.000000,,,,,22158317850.000000,1588588145.000000,,206877009.000000,,1381711136.000000,1588588145.000000,23746905995.000000,,364800000000.000000,9303333059.000000,-100439928719.000000,50000000.000000,-100489928719.000000,-100439928719.000000,243291930.000000,437045807.000000,274343742077.000000,298090648072.000000,33600000000.000000
12M 2019,,,1155285986.000000,5378885028.000000,,5378885028.000000,5378885028.000000,96602500000.000000,,,96602500000.000000,20704061551.000000,19483818.000000,123860216383.000000,,,,136864792892.000000,83799265389.000000,39683141949.000000,273789527.000000,260620989757.000000,384481206140.000000,,,22889516184.000000,,18250905.000000,,18250905.000000,22603592086.000000,,,22603592086.000000,,65603828.000000,183890676.000000,18178689.000000,,,,,22889516184.000000,2150353775.000000,,,,2150353775.000000,2150353775.000000,25039869959.000000,,364800000000.000000,9303333059.000000,-14911335493.000000,50000000.000000,-14961335493.000000,-14911335493.000000,258857044.000000,-9518429.000000,359441336181.000000,384481206140.000000,33600000000.000000
12M 2020,,,1497420224.000000,3532229973.000000,,3532229973.000000,3532229973.000000,72452000000.000000,,72452000000.000000,72452000000.000000,24036596612.000000,212406190.000000,101730652999.000000,,,,127067597892.000000,76501170195.000000,16894064085.000000,20945997079.000000,241408829251.000000,343139482250.000000,,,1031391774.000000,,9398785.000000,,9398785.000000,456195000.000000,,,456195000.000000,,60695670.000000,,505102319.000000,,,,,1031391774.000000,24212406818.000000,,,21648797086.000000,2563609732.000000,24212406818.000000,25243798592.000000,,364800000000.000000,9303333059.000000,-56409722876.000000,50000000.000000,-56459722876.000000,-56409722876.000000,238563520.000000,-36490045.000000,317895683658.000000,343139482250.000000,33600000000.000000
12M 2021,,,3021578591.000000,3404067519.000000,,3404067519.000000,3404067519.000000,48300000000.000000,,48300000000.000000,48300000000.000000,27164195669.000000,439538569.000000,82329380348.000000,,,,117311658726.000000,69318677281.000000,14530692631.000000,15804820191.000000,216965848829.000000,299295229177.000000,,,1452475738.000000,,4600228.000000,,4600228.000000,472843000.000000,,,472843000.000000,,58594302.000000,,916438208.000000,,,,,1452475738.000000,23484394851.000000,,,21648797086.000000,1835597765.000000,23484394851.000000,24936870589.000000,,364800000000.000000,9303333059.000000,-100154906717.000000,50000000.000000,-100204906717.000000,-100154906717.000000,217508673.000000,192423573.000000,274358358588.000000,299295229177.000000,33600000000.000000
12M 2022,,,358091601.000000,8717000.000000,,8717000.000000,8717000.000000,24150000000.000000,,24150000000.000000,24150000000.000000,40987907581.000000,78105650.000000,65582821832.000000,,,,99088145390.000000,62247910983.000000,14111731492.000000,10638643303.000000,186086431168.000000,251669253000.000000,,,2395942684.000000,,18846000.000000,,18846000.000000,247795000.000000,,,247795000.000000,,2214539.000000,,827212145.000000,,,,1299875000.000000,2395942684.000000,22914591752.000000,,,21648797086.000000,1265794666.000000,22914591752.000000,25310534436.000000,,364800000000.000000,9303333059.000000,-148456955763.000000,50000000.000000,-148506955763.000000,-148456955763.000000,190639294.000000,521701974.000000,226358718564.000000,251669253000.000000,33600000000.000000
