Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Pra Akuisisi,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,24844115495.000000,-36828517475.000000,-11984401980.000000,-9800705981.000000,-1586543382.000000,-8214162599.000000,-9800705981.000000,-21785107961.000000,-2562973602.000000,,,,-2562973602.000000,-2562973602.000000,-24348081563.000000,5921184394.000000,-18426897169.000000,,,-18426897169.000000,,-18426897169.000000,-18426897169.000000,-18409319727.000000,-17577442.000000,-18426897169.000000,-18426897169.000000,-18409319727.000000,-17577442.000000,-18426897169.000000
12M 2014,21629335477.000000,-30839822680.000000,-9210487203.000000,-8816287744.000000,-1234276102.000000,-7582011642.000000,-8816287744.000000,-18026774947.000000,3207531337.000000,,,,3207531337.000000,3207531337.000000,-14819243610.000000,2963012298.000000,-11856231312.000000,,,-11856231312.000000,,-11856231312.000000,-11856231312.000000,-11843182718.000000,-13048594.000000,-11856231312.000000,-11856231312.000000,-11843182718.000000,-13048594.000000,-11856231312.000000
12M 2015,19953305489.000000,-29854140375.000000,-9900834886.000000,-8382586032.000000,-1380231546.000000,-7002354486.000000,-8382586032.000000,-18283420918.000000,-1524399034.000000,,,,,-1524399034.000000,-19807819952.000000,3658126910.000000,-16149693042.000000,,,-16149693042.000000,-163242456.000000,-16312935498.000000,-16149693042.000000,-16136729203.000000,-12963839.000000,-16149693042.000000,-16312935498.000000,-16299716848.000000,-13218650.000000,-16312935498.000000
12M 2016,84354679726.000000,-95903004996.000000,-11548325270.000000,-17101269070.000000,-3769900959.000000,-13331368111.000000,-17101269070.000000,-28649594340.000000,-3558202474.000000,,,,,-3558202474.000000,-32207796814.000000,4638893882.000000,-27568902932.000000,,,-27568902932.000000,382255407.000000,-27186647525.000000,-27568902932.000000,-27415044010.000000,-153858922.000000,-27568902932.000000,-27186647525.000000,-27032788603.000000,-153858922.000000,-27186647525.000000
12M 2017,21412753784.000000,-26085659502.000000,-4672905718.000000,-7201275363.000000,-1094123499.000000,-6107151864.000000,-7201275363.000000,-11874181081.000000,-5249889932.000000,,,,,-5249889932.000000,-17124071013.000000,4113695146.000000,-13010375867.000000,,,-13010375867.000000,-128547286.000000,-13138923153.000000,-13010375867.000000,-13002993744.000000,-7382123.000000,-13010375867.000000,-13138923153.000000,-13131541030.000000,-7382123.000000,-13138923153.000000
12M 2018,17802375343.000000,-25735256911.000000,-7932881568.000000,-8469976762.000000,-978419526.000000,-7491557236.000000,-8469976762.000000,-16402858330.000000,-473311494.000000,,,,,-473311494.000000,-16876169824.000000,1802087852.000000,-15074081972.000000,,,-15074081972.000000,529864218.000000,-14544217754.000000,-15074081977.000000,-15063948841.000000,-10133136.000000,-15074081977.000000,-14544217752.000000,-14534911699.000000,-9306053.000000,-14544217752.000000
12M 2019,20078357205.000000,-26000284316.000000,-5921927111.000000,-7205342074.000000,-1108233146.000000,-6097108928.000000,-7205342074.000000,-13127269185.000000,95427822440.000000,,,,,95427822440.000000,82300553255.000000,3243605085.000000,85544158340.000000,,,85544158340.000000,-446564236.000000,85097594104.000000,85544158341.000000,85528593227.000000,15565114.000000,85544158341.000000,85097594104.000000,85082726047.000000,14868057.000000,85097594104.000000
12M 2020,15661470849.000000,-23586338330.000000,-7924867481.000000,-12610468271.000000,-965598805.000000,-11644869466.000000,-12610468271.000000,-20535335752.000000,-24025807710.000000,,,,,-24025807710.000000,-44561143462.000000,3041806575.000000,-41519336887.000000,,,-41519336887.000000,-26315637.000000,-41545652524.000000,-41519336887.000000,-41498387384.000000,-20949503.000000,-41519336887.000000,-41545652524.000000,-41524661944.000000,-20990580.000000,-41545652524.000000
12M 2021,18376431778.000000,-23870215513.000000,-5493783735.000000,-12247005640.000000,-1260293870.000000,-10986711770.000000,-12247005640.000000,-17740789375.000000,-23662435737.000000,,,,,-23662435737.000000,-41403225112.000000,-2363371454.000000,-43766596566.000000,,,-43766596566.000000,229271496.000000,-43537325070.000000,-43766596566.000000,-43745183822.000000,-21412744.000000,-43766596566.000000,-43537325070.000000,-43516270203.000000,-21054867.000000,-43537325070.000000
12M 2022,6629120976.000000,-20577655636.000000,-13948534660.000000,-10281859260.000000,-491175545.000000,-9790683715.000000,-10281859260.000000,-24230393920.000000,-23455685470.000000,1304520.000000,-12117590.000000,36167060.000000,-23481039460.000000,-23455685470.000000,-47686079390.000000,-418961139.000000,-48105040529.000000,,,-48105040529.000000,105400486.000000,-47999640043.000000,-48105040529.000000,-48078006627.000000,-27033902.000000,-48105040529.000000,-47999640043.000000,-47972770664.000000,-26869379.000000,-47999640043.000000
