Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Beban Usaha,Penerimaan (Pembayaran) Kegiatan Usaha Lainnya,Pembayaran Kas Lainnya Untuk Beban Operasi,Pendapatan Lain-Lain Operasional Dilanjutkan,Beban Lain-Lain Operasional Dilanjutkan,Pembayaran Pajak Operasi Dalam Penghentian,Pembayaran Pajak,Pembayaran Bunga Dan Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembeliaan Ikan Indukan,Pembayaran Pinjaman Bank,Perolehan Aset Tetap,Penjualan Aset Tetap,Pengembalian Uang Jaminan Aset Lain - Lain,Pemeliharaan Tanaman Perkebunan Belum Menghasilkan,Penambahan Aset Lain-Lain,Pengurangan Aset Lain-Lain,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Pembayaran) Utang Bank,Cadangan Pensiun,Pembayaran Hutang Dan Bunga Lembaga Pembiayaan,Pembayaran Aset Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Arus Kas Periode 1 October 2015 - 31 Desember 2015,Kas Dan Setara Kas Akhir Periode
12M 2013,5836724260.000000,24648935280.000000,-11498823492.000000,-6856034166.000000,-97859630.000000,,,,,-359493732.000000,,5836724260.000000,-757621294.000000,,,-962378140.000000,203406847.000000,,,,1349999.000000,,-757621294.000000,-6005022691.000000,16019131920.000000,,-21915173611.000000,-108981000.000000,-6005022691.000000,-925919725.000000,1239063589.000000,,,313143864.000000
12M 2014,5622681135.000000,21849200124.000000,-10494280954.000000,-6070115854.000000,50621428.000000,,,,-875000000.000000,1162256391.000000,,5622681135.000000,-359494044.000000,-16080000000.000000,,-194349500.000000,15914315456.000000,,,,540000.000000,,-359494044.000000,-5281496094.000000,-5205492104.000000,,,-76003990.000000,-5281496094.000000,-18309003.000000,313143864.000000,,,294834861.000000
12M 2015,3140236652.000000,19532996292.000000,-9943894708.000000,-5762054642.000000,-168996461.000000,,,,,-517813829.000000,,3140236652.000000,1542903305.000000,-1500000000.000000,,-88633060.000000,3131536365.000000,,,,,,1542903305.000000,-4832129061.000000,-4817049061.000000,,,-15080000.000000,-4832129061.000000,-148989104.000000,294834861.000000,1029949.000000,,146875706.000000
12M 2016,-1707231571.000000,69476224882.000000,-84965924646.000000,,14191429912.000000,,,,,-408961719.000000,,-1707231571.000000,-17877461544.000000,,,-17880643362.000000,3181818.000000,,,,,,-17877461544.000000,24798953118.000000,24798953118.000000,,,,24798953118.000000,5214260003.000000,146875706.000000,-272879.000000,,5360862830.000000
12M 2017,-3829837721.000000,18589560095.000000,-11520853972.000000,,-10572221226.000000,,,,,-326322618.000000,,-3829837721.000000,-39358909.000000,,,-80268000.000000,40909091.000000,,,,,,-39358909.000000,-594091600.000000,,,,-594091600.000000,-594091600.000000,-4463288230.000000,5360862831.000000,6303839.000000,,903878440.000000
12M 2018,841079440.000000,18497756880.000000,-11564305233.000000,,-4379567926.000000,,,,,-1712804281.000000,,841079440.000000,-332195200.000000,,,-332195200.000000,,,,,,,-332195200.000000,-504738800.000000,,-199940000.000000,,-304798800.000000,-504738800.000000,4145440.000000,903878440.000000,45028381.000000,,953052261.000000
12M 2019,624782809.000000,18628050641.000000,-11510265963.000000,-5922900166.000000,-229822757.000000,,,,,-340278946.000000,,624782809.000000,-89758364.000000,,,-126122000.000000,36363636.000000,,,,,,-89758364.000000,-304798800.000000,,,,-304798800.000000,-304798800.000000,230225645.000000,953052261.000000,-27991920.000000,,1155285986.000000
12M 2020,511826630.000000,17009525904.000000,-10428397619.000000,-5935061317.000000,61294004.000000,,,,,-195534342.000000,,511826630.000000,19546818.000000,,,-26135000.000000,53181818.000000,,,-7500000.000000,,,19546818.000000,-203199200.000000,,,,-203199200.000000,-203199200.000000,328174248.000000,1155285986.000000,13959990.000000,,1497420224.000000
12M 2021,1566983551.000000,18519544233.000000,-10572825940.000000,-5764166582.000000,-23053029.000000,,,,,-592515131.000000,,1566983551.000000,-58400000.000000,,,-33400000.000000,,,,-25000000.000000,,,-58400000.000000,,,,,,,1508583551.000000,1497420224.000000,15574816.000000,,3021578591.000000
12M 2022,-2565050172.000000,11097846494.000000,-9534742218.000000,-4142846027.000000,228550029.000000,,,,,-213858450.000000,,-2565050172.000000,-101250700.000000,,,-101250700.000000,,,,,,,-101250700.000000,,,,,,,-2666300872.000000,3021578591.000000,2813882.000000,,358091601.000000
12M 2023,-7491350742.000000,9363135845.000000,-7412219938.000000,-3594315249.000000,-5591947599.000000,,,,,-256003801.000000,,-7491350742.000000,7384075000.000000,,,-15925000.000000,7400000000.000000,,,,,,7384075000.000000,,,,,,,-107275742.000000,358091601.000000,-606274.000000,,250209585.000000
12M 2024,418772596.000000,4126375282.000000,-6115864719.000000,-2699064805.000000,5141459382.000000,,,,,-34132544.000000,,418772596.000000,,,,,,,,,,,,,,,,,,418772596.000000,250209585.000000,137666.000000,,669119847.000000
