Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,719690449977.000000,-507442388203.000000,212248061774.000000,-114455311956.000000,-99666809015.000000,-14788502941.000000,,-114455311956.000000,97792749818.000000,-12474700619.000000,-17500623289.000000,5025922670.000000,-12474700619.000000,85318049199.000000,-6990153640.000000,-7675195905.000000,685042265.000000,-6990153640.000000,78327895559.000000,81926197.000000,78409821756.000000,78327895559.000000,78106408906.000000,221486653.000000,78327895559.000000,78409821756.000000,78188079183.000000,221742573.000000,78409821756.000000
12M 2022,1115459007191.000000,-842352639068.000000,273106368123.000000,-175510894503.000000,-156833303639.000000,-18677590864.000000,,-175510894503.000000,97595473620.000000,-28857537344.000000,-32833724510.000000,3976187166.000000,-28857537344.000000,68737936276.000000,-2648405652.000000,-1427751160.000000,-1220654492.000000,-2648405652.000000,66089530624.000000,105635311.000000,66195165935.000000,66089530624.000000,65563666004.000000,525864620.000000,66089530624.000000,66195165935.000000,65669470643.000000,525695292.000000,66195165935.000000
12M 2023,1363133590935.000000,-942257381129.000000,420876209806.000000,-198973551491.000000,-180435100273.000000,-18538451218.000000,,-198973551491.000000,221902658315.000000,-29324356295.000000,-35969099295.000000,6644743000.000000,-29324356295.000000,192578302020.000000,-41626399614.000000,-40018471240.000000,-1607928374.000000,-41626399614.000000,150951902406.000000,134665168475.000000,285617070881.000000,150951902406.000000,147360259891.000000,3591642515.000000,150951902406.000000,285617070881.000000,282034003044.000000,3583067837.000000,285617070881.000000
12M 2024,1462916419126.000000,-993754312773.000000,469162106353.000000,-250075547641.000000,-223426002706.000000,-26649544935.000000,,-250075547641.000000,219086558712.000000,-15801812656.000000,-31934950874.000000,16133138218.000000,-15801812656.000000,203284746056.000000,-42392915896.000000,-40531887440.000000,-1861028456.000000,-42392915896.000000,160891830160.000000,-49183417079.000000,111708413081.000000,160891830160.000000,160301504071.000000,590326089.000000,160891830160.000000,111708413081.000000,111119651695.000000,588761386.000000,111708413081.000000
