Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Bunga,Pembayaran Pajak,Penerimaan Pajak,Pembayaran Lain-Lain,Penerimaan Bunga,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Aset Tetap,Perolehan Hak Guna Usaha,Hasil Dari Penjualan Aset Hak -Guna,Akuisisi Dan Penambahan Kepemilikan Saham Di Entitas Anak,Akuisisi Entitas Anak Setelah Dikurangi Saldo Kas Dan Setara Kas,Hasil Penjualan Aset Tetap,Pelepasan Entitas Anak Ehdi,Pelepasan Aset Tidak Berwujud,Perolehan Aset Tidak Berwujud,Penambahan Uang Muka Pembelian Aset,Delisting Atas Agio Saham Entitas Anak Ape,Pelepasan Properti Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum,Penerimaan Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Atas Akuisisi Entitas Anak Setelah Dikurangi Setara Kas Pada Tanggal Akuisis Saldo Kas Dan,Penerimaan (Pelunasan) Dari Pihak Berelasi,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Dari Pihak Berelasi-Neto,Pembagian Dividen,Akuisisi Dari Kepentingan Non Pengendali,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Setoran Modal Saham,Uang Muka Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,122018714014.000000,710104129463.000000,-547687911540.000000,-29872520322.000000,-10576147056.000000,,,51163469.000000,,122018714014.000000,-249514950383.000000,-235544317240.000000,,-7779899722.000000,,,,52090909.000000,,-174436000.000000,,-6395664933.000000,,327276603.000000,-249514950383.000000,129101859372.000000,,139548298135.000000,160408919930.000000,-168728565616.000000,-43307470000.000000,-18504392812.000000,,47500000000.000000,,-60595289.000000,,,,-514334976.000000,,12760000000.000000,129101859372.000000,,1605623003.000000,,14635201422.000000,16240824425.000000
12M 2022,165262836762.000000,1075378429631.000000,-870811443825.000000,-33730944982.000000,-7757864656.000000,1906339932.000000,,278320662.000000,,165262836762.000000,-80733106076.000000,-73666420889.000000,,-2507946033.000000,,,,800258310.000000,,-90216000.000000,,-5268781464.000000,,,-80733106076.000000,-93492889755.000000,,86246019830.000000,11020345173.000000,-12051697778.000000,-62068698639.000000,-17262090594.000000,-2421755295.000000,-40440000000.000000,,-5968929380.000000,,-50000000000.000000,,-546083072.000000,,,-93492889755.000000,,-8963159069.000000,,14635201422.000000,5672042353.000000
12M 2023,324486510382.000000,1372936648469.000000,-1009683753680.000000,-36149860176.000000,-6060844736.000000,2042364775.000000,,1401955730.000000,,324486510382.000000,-219536342691.000000,-210039601967.000000,,-2762997000.000000,,,-127723001.000000,783619004.000000,,-304826615.000000,,-7084813112.000000,,,-219536342691.000000,83760749491.000000,,125000000000.000000,10000000000.000000,-15000000000.000000,-80578130256.000000,-12903810204.000000,,-10000000000.000000,,-12997310049.000000,,-60000000000.000000,,,140240000000.000000,,83760749491.000000,,188710917182.000000,-13214622.000000,5672042353.000000,194369744913.000000
12M 2024,242963426655.000000,1412209125770.000000,-1083105027465.000000,-30817143497.000000,-62289086279.000000,4449385379.000000,,2516172747.000000,,242963426655.000000,-585779431529.000000,-544277355197.000000,,,187458335.000000,,,1633186546.000000,,-442944615.000000,,-42879776598.000000,,,-585779431529.000000,169863604534.000000,,85000000000.000000,130053128385.000000,-100000000000.000000,-118727475740.000000,-15312817103.000000,,-1462143618.000000,,-14763880505.000000,,-29780000000.000000,-26895000000.000000,,261751793115.000000,,169863604534.000000,,-172952400340.000000,17133321.000000,194369744913.000000,21434477894.000000
