Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Retensi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tak Berwujud,Aset Pajak Tangguhan,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Utang Pajak,Total Utang Lain-Lain,Beban Akrual,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Total Utang Pembiayaan Konsumen,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,15227514016.000000,42003647340.000000,41984825740.000000,18821600.000000,42003647340.000000,3474532587.000000,3474532587.000000,,3474532587.000000,,70998456823.000000,18437538724.000000,150141689490.000000,,1629505670.000000,4348923546.000000,,,,784534225392.000000,790512654608.000000,940654344098.000000,,,214223274250.000000,,109983889668.000000,109983889668.000000,,12350629344.000000,213099100.000000,956503915.000000,13520232359.000000,3574993987.000000,,392623068.000000,6623665199.000000,80127869969.000000,214223274250.000000,365749779741.000000,287039699425.000000,,1260063643.000000,,53870000000.000000,53870000000.000000,1260063643.000000,,23580016673.000000,311879779741.000000,526103053991.000000,,72000000000.000000,,238575624383.000000,,238575624383.000000,238575624383.000000,5954334955.000000,44151330769.000000,360681290107.000000,886784344098.000000,7445000000.000000
12M 2022,,,20644087677.000000,82073573683.000000,82060671283.000000,12902400.000000,82073573683.000000,2419910323.000000,2419910323.000000,,2419910323.000000,,65603367993.000000,8490588552.000000,179231528228.000000,,1009577288.000000,3098474480.000000,,,,840766047639.000000,844874099407.000000,1024105627635.000000,,,304134437750.000000,,130900155369.000000,130900155369.000000,,12934334941.000000,264774181.000000,15764933445.000000,28964042567.000000,4146928058.000000,,9209799715.000000,19972045324.000000,110941466717.000000,304134437750.000000,346062572210.000000,276552765378.000000,,24245045616.000000,,13430000000.000000,13430000000.000000,24245045616.000000,,31834761216.000000,332632572210.000000,636767009960.000000,,72000000000.000000,,261900172903.000000,,261900172903.000000,261900172903.000000,3558572175.000000,36449872597.000000,373908617675.000000,1010675627635.000000,7445000000.000000
12M 2023,,,195244041834.000000,76199963527.000000,76199963527.000000,,76199963527.000000,4163011113.000000,2195154731.000000,1967856382.000000,4163011113.000000,,78948224775.000000,18279982225.000000,372835223474.000000,,561248247.000000,2249956209.000000,,,,1153089084361.000000,1155900288817.000000,1528735512291.000000,,,365479869843.000000,,180271246536.000000,180271246536.000000,,7784677017.000000,,52284989390.000000,60069666407.000000,6305461528.000000,,14464566137.000000,874296921.000000,103494632314.000000,365479869843.000000,410894585915.000000,321317166363.000000,,25680329145.000000,,3430000000.000000,3430000000.000000,25680329145.000000,30474517697.000000,29992572710.000000,407464585915.000000,772944455758.000000,,372250000000.000000,92750000000.000000,117370957327.000000,1000000000.000000,116370957327.000000,117370957327.000000,6977007989.000000,163013091217.000000,752361056533.000000,1525305512291.000000,7445000000.000000
12M 2024,,,41420802140.000000,130788413705.000000,130788413705.000000,,130788413705.000000,3275599916.000000,3275599916.000000,,3275599916.000000,,82459613127.000000,16565811767.000000,274510240655.000000,,630595612.000000,1305848500.000000,,,,1561605305736.000000,1563541749848.000000,1838051990503.000000,,,433454857970.000000,,199780254758.000000,199780254758.000000,,29840485696.000000,,21044019586.000000,50884505282.000000,14450760223.000000,,15326211236.000000,50039452631.000000,102973673840.000000,433454857970.000000,335450869804.000000,279984963919.000000,,10054803541.000000,,,,10054803541.000000,17563286889.000000,27847815455.000000,335450869804.000000,768905727774.000000,,444510320000.000000,262638105560.000000,255265010778.000000,2000000000.000000,253265010778.000000,255265010778.000000,274136930.000000,106458689461.000000,1069146262729.000000,1838051990503.000000,7445000000.000000
