Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Atas Pembelian Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Penerimaan Bunga Dan Komisi,Penerimaan Bunga,Penerimaan (Pembayaran) Komisi - Bersih,Total Penerimaan Bunga Dan Komisi,"Pembayaran Bunga, Syariah, Dan Komisi",Penerimaan Dari Penjualan Agunan Yang Diambil Alih,Penerimaan Dari (Pembayaran Kepada) Lembaga Kliring Dan Penjaminan - Bersih,Penerimaan Jasa Penjaminan Emisi Dan Penjualan Efek,Penerimaan Kegiatan Perantara Perdagangan Efek,Pembelian (Penjualan Aset Keuangan Pada Nilai Wajar Melalui Laba Rugi - Bersih,Pemberian Pinjaman,Pengembalian Pinjaman,Penerimaan Premi,Penerimaan Pengelolaan Investasi,Penerimaan Dari Perusahaan Efek Lain,Penerimaan Dari Piutang Reasuransi,Penerimaan Dari Nasabah,Penerimaan Klaim Reasuransi,Penerimaan Dari Jasa Penasehat Keuangan,Pembayaran Klaim,Pembayaran Premi Reasuransi,Penerimaan (Pembayaran) Atas Pembelian Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Penerimaan (Pembayaran) Atas Penjualan Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Pembayaran Kepada Nasabah - Bersih,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Imbalan Kerja Jangka Panjang,Penerimaan (Pembayaran) Atas Piutang Reverse Repo - Bersih,Pembayaran Atas Pembelian Piutang Reverse Repo,Penerimaan Atas Penjualan Piutang Reverse Repo,Total Penerimaan (Pembayaran) Atas Piutang Reverse Repo - Bersih,Penerimaan (Pembayaran) Lain-Lain - Bersih,Adjustment,Pembayaran Pajak Penghasilan,Kenaikan Dalam Aset Operasi:,"Pinjaman Yang Diberikan, Pembiayaan Dan Piutang Syariah",Penempatan Pada Bank Indonesia,Penempatan Pada Bank Lain,Tagihan Akseptasi,Aset Yang Diambil Alih,Aset Lain-Lain,Beban Dibayar Dimuka,Efek Yang Dijual Dengan Janji Dibeli Kembali (Repo),Efek Yang Dibeli Dengan Janji Dijual Kembali (Reverse Repo),Pembelian Efek-Efek Untuk Tujuan Diperdagangkan,Total Kenaikan Dalam Aset Operasi:,Kenaikan Dalam Liabilitas Operasi:,Utang Pajak Lainnya,Utang Akseptasi,Efek Yang Dijual Dengan Janji Dibeli Kembali,Efek Yang Dibeli Dengan Janji Dijual Kembali,Liabilitas Segera,Simpanan Nasabah,Simpanan Dari Bank Lain,Dana Syirkah Temporer,Total Kenaikan Dalam Liabilitas Operasi:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan (Penempatan) Efek Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi - Bersih,Pencairan Efek Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi - Bersih,Penempatan Efek Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi - Bersih,Total Pencairan (Penempatan) Efek Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi - Bersih,Penerimaan Hasil Investasi,Pencairan (Penempatan) Investasi,Penambahan Investasi Saham,Pencairan Deposito Berjangka,Penempatan Deposito Berjangka - Bersih,Penjualan Investasi Jangka Panjang - Bersih,Penempatan (Penjualan) Investasi Jangka Pendek,Hasil Penjualan Aset Tetap,Penambahan Investasi Jangka Panjang,Penerimaan Dividen Atas Investasi Jangka Panjang,Perolehan Aset Tetap,Penambahan Properti Investasi,Hasil Penjualan Properti Investasi,Perolehan Aset Tak Berwujud,Penempatan (Pencairan) Efek Tersedia Untuk Dijual - Bersih,Penempatan Efek Tersedia Untuk Dijual,Pencairan Efek Tersedia Untuk Dijual,Total Penempatan (Pencairan) Efek Tersedia Untuk Dijual - Bersih,Penempatan Portfolio Efek,Penjualan Portfolio Efek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Saham Perdana,Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi - Bersih,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Total Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi - Bersih,Penerimaan Piutang Lain-Lain Dari Pihak Ketiga,Penerbitan Efek-Efek,Pembayaran Efek-Efek Yang Diterbitkan,Penerimaan (Pembayaran) Utang Bank - Bersih,Penerimaan Utang Bank,Pembayaran Utang Bank,Total Penerimaan (Pembayaran) Utang Bank - Bersih,Pembayaran Utang Lain-Lain Kepada Pihak Ketiga,Pembayaran Dividen,Pembayaran Utang Pembelian Kendaraan,Pembayaran Bunga,Pembayaran Liabilitas Sewa,Penerimaan Pelaksanaan Waran,Penerimaan Setoran Modal,Penerimaan Setoran Modal - Entitas Anak,Penerimaan Dari Penerbitan Saham Baru,Penerimaan Tambahan Modal Disetor,Penerimaan (Pembayaran) Tambahan Setoran Modal - Entitas Anak,Pembayaran Biaya Penerbitan Efek Ekuitas Perusahaan Dalam Penawaran Umum Perdana,Kenaikan (Penurunan) Sby Belum Direalisasi,Penerimaan (Pembayaran) Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Saldo Kas Entitas Anak Pada Saat Konsolidasi,Kas Dan Setara Kas Akhir Periode
12M 2012,-19318410300.000000,,,11022827512.000000,394606469.000000,11417433981.000000,,,16794124908.000000,15573983378.000000,4678956168.000000,,,,10396697846.000000,,,,,-382917813.000000,,-1347046193.000000,-6491607998.000000,,,-16631154686.000000,-21497237329.000000,,,-124607997778.000000,114319886667.000000,-10288111111.000000,-20812790956.000000,,-728740495.000000,,,,,,,,,,,,,,,,,,,,,,,-19318410300.000000,56843896003.000000,,58345392193.000000,-12214735500.000000,46130656693.000000,11049627620.000000,,,2600000000.000000,-26504913461.000000,14200000.000000,,229625000.000000,,,-97996000.000000,,,,,,23422696151.000000,23422696151.000000,,,56843896003.000000,-54493118335.000000,,,8000000000.000000,-1500000000.000000,6500000000.000000,,,,,98600000000.000000,-150679276641.000000,-52079276641.000000,,,-460075575.000000,-8453766119.000000,,,,,,,,,,,-54493118335.000000,-16967632632.000000,26662222334.000000,,9694589702.000000
12M 2013,-12122644366.000000,,,16824731034.000000,151474079.000000,16976205113.000000,,,571951323.000000,13101799280.000000,8266930272.000000,,,,9987445691.000000,,,,,4354915485.000000,2022727273.000000,-3580665956.000000,-10536394820.000000,,,-1848787640.000000,-30342545940.000000,,,-225036666668.000000,188156250000.000000,-36880416668.000000,17111631346.000000,,-1327439125.000000,,,,,,,,,,,,,,,,,,,,,,,-12122644366.000000,-45635441772.000000,,51650158432.000000,-64116700300.000000,-12466541868.000000,10161133916.000000,,,5600000000.000000,-20118387270.000000,,,2062440457.000000,-18025500000.000000,,-1840941567.000000,,,,,-28840020493.000000,17832375053.000000,-11007645440.000000,,,-45635441772.000000,106597473045.000000,,,1250000000.000000,-22960000000.000000,-21710000000.000000,,,,,1601935491919.000000,-1606086481105.000000,-4150989186.000000,-10660428135.000000,,-455327619.000000,-4364740878.000000,,,120000000000.000000,,,30000000000.000000,,-2061041137.000000,,,106597473045.000000,48839386907.000000,9694589702.000000,,58533976609.000000
12M 2014,-24630858662.000000,,,23114112807.000000,-128720269.000000,22985392538.000000,,,10945717507.000000,3151723801.000000,8713551569.000000,,,,26416948364.000000,,,,,477674501.000000,,-1693727713.000000,-14764609533.000000,,,-26496785563.000000,-35237531666.000000,,,-231603888890.000000,210953750000.000000,-20650138890.000000,2975326491.000000,,-1454400068.000000,,,,,,,,,,,,,,,,,,,,,,,-24630858662.000000,-58176621088.000000,,26590140300.000000,-59043316373.000000,-32453176073.000000,15582211453.000000,,,31623300731.000000,-23446543299.000000,2416338448.000000,,,-52534840300.000000,14318339583.000000,-765040094.000000,,,,,-43744363986.000000,30827152449.000000,-12917211537.000000,,,-58176621088.000000,52260042359.000000,,,,,,,,,,2041868530667.000000,-2035734396196.000000,6134134471.000000,,,-209277236.000000,-2664821126.000000,,49000006250.000000,,,,,,,,,52260042359.000000,-30547437391.000000,58533976609.000000,,27986539218.000000
12M 2015,62045461158.000000,,,15357006952.000000,2706279233.000000,18063286185.000000,,,-12699134396.000000,6716691251.000000,10607931722.000000,,,,35162872380.000000,121294567.000000,,,,4746221595.000000,,-14845684036.000000,-20582390410.000000,,,10952430272.000000,-41652239711.000000,,,-162584833333.000000,231100000000.000000,68515166667.000000,-1755968707.000000,,-1305016221.000000,,,,,,,,,,,,,,,,,,,,,,,62045461158.000000,-71930886778.000000,,55554109225.000000,-71185170621.000000,-15631061396.000000,25099614783.000000,,,3246543299.000000,-31400000000.000000,,,,,,-816003581.000000,,,,,-77979511209.000000,25549531326.000000,-52429979883.000000,,,-71930886778.000000,17168161025.000000,,,,,,,,,,1750423896196.000000,-1777777764840.000000,-27353868644.000000,,,-21823470.000000,-2929461005.000000,,16250.000000,,47473297894.000000,,,,,,,17168161025.000000,7282735405.000000,27986539218.000000,,35269274623.000000
12M 2016,1387145427000.000000,101621102000.000000,67098395000.000000,,,67098395000.000000,,65475700000.000000,-5913493000.000000,10205830000.000000,5290254000.000000,,,,54234470000.000000,2811624000.000000,,,,6830912000.000000,,-24227726000.000000,-30778338000.000000,,-32325833000.000000,14862617000.000000,-105698640000.000000,,,,,,7433878000.000000,,-14992072000.000000,,-622358029000.000000,,,,,,,,,,-622358029000.000000,,,,,,36550000.000000,959854692000.000000,729239024000.000000,198444510000.000000,1887574776000.000000,1387145427000.000000,-1296470534000.000000,,,,,,,,14500000000.000000,-6000000000.000000,14151472000.000000,,19248356000.000000,-15438375000.000000,,-7405020000.000000,-3100902000.000000,,-839137000.000000,,,,,-1311586928000.000000,,-1296470534000.000000,444936391000.000000,,,,,,,,,,1809999000000.000000,-1799792636000.000000,10206364000.000000,,,-517448000.000000,,,176011813000.000000,,257681700000.000000,,,1553962000.000000,,,,444936391000.000000,535611284000.000000,35269274000.000000,2442236174000.000000,3013116732000.000000
12M 2017,1566018508000.000000,-101621102000.000000,441127086000.000000,,,441127086000.000000,,215663445000.000000,-2925046000.000000,6647654000.000000,6573176000.000000,,,,89466127000.000000,11521881000.000000,7705600000.000000,,,15145681000.000000,,-20372162000.000000,-28962028000.000000,,4681806000.000000,-4183463000.000000,-360347852000.000000,,,,,,365477766000.000000,,-47865000000.000000,,-1682431366000.000000,,,,181892768000.000000,,,,,,-1500538598000.000000,,,,,,1121845000.000000,1240357651000.000000,904355471000.000000,322988570000.000000,2468823537000.000000,1566018508000.000000,-706371093000.000000,,,,,,,,223075000000.000000,-242101400000.000000,18089244000.000000,,12638472000.000000,-3650000000.000000,,-10293519000.000000,,,-3347874000.000000,,,,,-700781016000.000000,,-706371093000.000000,160327118000.000000,,,,,,,335500000000.000000,-200000000000.000000,,573699566000.000000,-548841000000.000000,24858566000.000000,,,-215852000.000000,,,,,184404000.000000,,,,,,,160327118000.000000,1019974533000.000000,3013116732000.000000,,4033091265000.000000
12M 2018,-1118338554000.000000,1302663597000.000000,481954822000.000000,,,481954822000.000000,,79396349000.000000,11219219000.000000,8891993000.000000,5434336000.000000,,,,224210954000.000000,13462019000.000000,-2358000000.000000,,,11340101000.000000,,-55788879000.000000,-28610976000.000000,,-975011192000.000000,-5566012000.000000,-377190030000.000000,,,,,,321023506000.000000,,-41764217000.000000,,-745350966000.000000,,,,-817569561000.000000,,,,,,-1562920527000.000000,,,,,,-119722000.000000,-136507489000.000000,-431030526000.000000,38932120000.000000,-528725617000.000000,-1118338554000.000000,845441257000.000000,,,,,,,,51116300000.000000,-50317800000.000000,25908913000.000000,,1277166000.000000,,,-28745325000.000000,,,-5453316000.000000,,,,,851655319000.000000,,845441257000.000000,343870533000.000000,,,,,,,581151906000.000000,-200000000000.000000,,606847700000.000000,-643641000000.000000,-36793300000.000000,,-403934000.000000,-237091000.000000,,,,,152952000.000000,,,,,,,343870533000.000000,70973236000.000000,4033091295000.000000,,4104064531000.000000
12M 2019,-1268477057000.000000,-302662876000.000000,262750199000.000000,,,262750199000.000000,,274059707000.000000,-4232101000.000000,3922544000.000000,5202470000.000000,,,,393841008000.000000,13912571000.000000,-620000000.000000,,,18276797000.000000,,-336793513000.000000,-47814476000.000000,,-88581031000.000000,-846949000.000000,-381981125000.000000,,,,,,92925583000.000000,,-46193497000.000000,,-1140580650000.000000,-20000000000.000000,,,-343313775000.000000,,,,,,-1503894425000.000000,,,,,,-2808981000.000000,1155838581000.000000,-926042467000.000000,153264924000.000000,380252057000.000000,-1268477057000.000000,-825348822000.000000,,,,,137240520000.000000,-993877283000.000000,,75617800000.000000,-42011850000.000000,,,7411835000.000000,,,-12558131000.000000,,4125000000.000000,-1296713000.000000,,,,,,,-825348822000.000000,276497420000.000000,,,,,,,461200000000.000000,-300000000000.000000,,375455200000.000000,-322733981000.000000,52721219000.000000,,-3386773000.000000,-373548000.000000,,,,,66336522000.000000,,,,,,,276497420000.000000,-1817328459000.000000,4104064531000.000000,,2286736072000.000000
12M 2020,-1233563027000.000000,-1000000721000.000000,182408162000.000000,,,182408162000.000000,,122826836000.000000,-13212423000.000000,3960220000.000000,6927823000.000000,,,,22113379000.000000,8958491000.000000,476768000.000000,,,24959909000.000000,,-158434603000.000000,-59407167000.000000,,593001541000.000000,17846036000.000000,-434618175000.000000,-14803130000.000000,,,,,84999299000.000000,,-44211437000.000000,,2564166159000.000000,20000000000.000000,,,-547540402000.000000,,,,,,2036625757000.000000,,,,,,9177000.000000,-3457346746000.000000,1151660232000.000000,-308302255000.000000,-2613979592000.000000,-1233563027000.000000,1681749045000.000000,,,,,75802618000.000000,1584534046000.000000,,,,,,27152953000.000000,,,-4987318000.000000,,,-753254000.000000,,,,,,,1681749045000.000000,-178632048000.000000,,,,,,,126765500000.000000,-300000000000.000000,,445074809000.000000,-438951198000.000000,6123611000.000000,,-2649293000.000000,-126433000.000000,,-14061088000.000000,,,5315655000.000000,,,,,,,-178632048000.000000,269553970000.000000,2286736072000.000000,,2556290042000.000000
12M 2021,-1882039429000.000000,,378891611000.000000,,,378891611000.000000,,182230821000.000000,15692601000.000000,5570001000.000000,10649058000.000000,,,,485813221000.000000,6409128000.000000,143232000.000000,,,45674789000.000000,,-318953150000.000000,-100420935000.000000,,-232997819000.000000,-18541655000.000000,-503453772000.000000,-11112141000.000000,,,,,216177936000.000000,,-26999513000.000000,,-542036310000.000000,,,,-43016855000.000000,,,,,,-585053165000.000000,,,,,,-1750672000.000000,-257521984000.000000,-1023796972000.000000,-148690049000.000000,-1431759677000.000000,-1882039429000.000000,1158725830000.000000,,,,,291313470000.000000,850568290000.000000,,,,,,22500374000.000000,,,-4672388000.000000,,,-983916000.000000,,,,,,,1158725830000.000000,72781668000.000000,,,,,,,171165324000.000000,-327505550000.000000,,2559367375000.000000,-2589952419000.000000,-30585044000.000000,,-827383000.000000,-434769000.000000,,-14146682000.000000,,,275115772000.000000,,,,,,,72781668000.000000,-650531931000.000000,2556290042000.000000,,1905758111000.000000
