Period,Total Pendapatan,Hasil Investasi,Pendapatan Bunga,Jasa Penjaminan Emisi Dan Penjualan Efek,Keuntungan Atas Perdagangan Efek,Pendapatan Premi,Pendapatan Komisi,Pendapatan Operasional Lainnya,Others,Total Pendapatan,Total Beban Usaha,Beban Tenaga Kerja,Klaim Reasuransi,Beban Penyusutan,Beban Pemasaran,Beban Umum Dan Administrasi,Beban Underwriting,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Non- Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,54575014974.000000,20838676046.000000,9366705867.000000,17596710651.000000,4678956168.000000,1692652335.000000,401313907.000000,,,54575014974.000000,-23903204866.000000,-12406746131.000000,-617405950.000000,-2146089479.000000,-649041991.000000,-1453004002.000000,,,-6630917313.000000,-23903204866.000000,30671810108.000000,66927864737.000000,74766134733.000000,558566089.000000,52106263.000000,25979167.000000,,,-8155913708.000000,-319007807.000000,66927864737.000000,97599674845.000000,-899596169.000000,96700078676.000000,13553920100.000000,110253998776.000000,96700078676.000000,96635768951.000000,64309725.000000,96700078676.000000,110253998776.000000,110189689051.000000,64309725.000000,,110253998776.000000
12M 2013,60682718878.000000,21513788622.000000,16559987338.000000,13101799280.000000,8266930272.000000,1173701644.000000,66511722.000000,,,60682718878.000000,-34527264600.000000,-15824092963.000000,-1680674325.000000,-2194665721.000000,-2128556252.000000,-1665770280.000000,,,-11033505059.000000,-34527264600.000000,26155454278.000000,93723983519.000000,95147828444.000000,2474167432.000000,233541591.000000,108972438.000000,,,-4364740878.000000,124214492.000000,93723983519.000000,119879437797.000000,-1046620025.000000,118832817772.000000,-28904731420.000000,89928086352.000000,118832817772.000000,118713164985.000000,119652787.000000,118832817772.000000,89928086352.000000,89808433565.000000,119652787.000000,,89928086352.000000
12M 2014,68044786784.000000,30269956310.000000,20727142304.000000,3151723801.000000,8713551569.000000,4931560675.000000,250852125.000000,,,68044786784.000000,-40656851637.000000,-16211593801.000000,-1646576494.000000,-1884338419.000000,-3837282260.000000,-2271361575.000000,,,-14805699088.000000,-40656851637.000000,27387935147.000000,41212541259.000000,40696065862.000000,3241436050.000000,88295901.000000,,,,-2664821126.000000,-148435428.000000,41212541259.000000,68600476406.000000,-998797495.000000,67601678911.000000,-17865345340.000000,49736333571.000000,67601678911.000000,67440622800.000000,161056111.000000,67601678911.000000,49736333571.000000,49575277460.000000,161056111.000000,,49736333571.000000
12M 2015,73940950276.000000,26259039042.000000,13177395026.000000,6716691251.000000,10607931722.000000,15703483735.000000,1355114933.000000,,121294567.000000,73940950276.000000,-50759753118.000000,-20432691998.000000,-6942133626.000000,-1673859243.000000,-3739976122.000000,-3211950529.000000,,,-14759141600.000000,-50759753118.000000,23181197158.000000,40318497784.000000,38272708276.000000,3359380962.000000,303230613.000000,,,,-2929461005.000000,1312638938.000000,40318497784.000000,63499694942.000000,-1395927459.000000,62103767483.000000,104513633955.000000,166617401438.000000,62103767483.000000,61321266749.000000,782500734.000000,62103767483.000000,166617401438.000000,165717487171.000000,899914267.000000,,166617401438.000000
12M 2016,263111378000.000000,73658621000.000000,121418831000.000000,10203435000.000000,5290254000.000000,24581332000.000000,6881466000.000000,17464931000.000000,3612508000.000000,263111378000.000000,-170623263000.000000,-79766064000.000000,-16151001000.000000,-5652327000.000000,-2211364000.000000,-8218848000.000000,,,-58623659000.000000,-170623263000.000000,92488115000.000000,416562799000.000000,2109978000.000000,3717521000.000000,-75898000.000000,10299166000.000000,10128671000.000000,-15379031000.000000,-3134311000.000000,408896703000.000000,416562799000.000000,509050914000.000000,13083760000.000000,522134674000.000000,155302611000.000000,677437285000.000000,522134674000.000000,476363756000.000000,45770918000.000000,522134674000.000000,677437285000.000000,503491404000.000000,173945881000.000000,,677437285000.000000
12M 2017,1014875516000.000000,383381194000.000000,476719588000.000000,2422802000.000000,6573176000.000000,57464660000.000000,23177733000.000000,53246120000.000000,11890243000.000000,1014875516000.000000,-465275145000.000000,-218769035000.000000,-46496485000.000000,-18450656000.000000,-4514805000.000000,-25694849000.000000,,,-151349315000.000000,-465275145000.000000,549600371000.000000,-341455178000.000000,,3230373000.000000,-74074000.000000,3511117000.000000,-317742086000.000000,-60381047000.000000,-5713227000.000000,35713766000.000000,-341455178000.000000,208145193000.000000,-39091950000.000000,169053243000.000000,102968388000.000000,272021631000.000000,169053244000.000000,94818029000.000000,74235215000.000000,169053244000.000000,272021632000.000000,152117646000.000000,119903986000.000000,,272021632000.000000
12M 2018,1011253358000.000000,240667287000.000000,479342266000.000000,8891992000.000000,5434336000.000000,196444079000.000000,15047748000.000000,51814768000.000000,13610882000.000000,1011253358000.000000,-662534518000.000000,-220748744000.000000,-200425583000.000000,-17217456000.000000,-4947770000.000000,-26314471000.000000,,,-192880494000.000000,-662534518000.000000,348718840000.000000,-248912476000.000000,,3478513000.000000,420888000.000000,753824000.000000,-261422340000.000000,-81400646000.000000,-5802144000.000000,95059429000.000000,-248912476000.000000,99806364000.000000,-18984480000.000000,80821884000.000000,-144062396000.000000,-63240512000.000000,80821884000.000000,39171458000.000000,41650426000.000000,80821884000.000000,-63240512000.000000,-41058714000.000000,-22181798000.000000,,-63240512000.000000
12M 2019,1081783774000.000000,318573559000.000000,307422157000.000000,3922544000.000000,5400601000.000000,340632029000.000000,12383913000.000000,79486604000.000000,13962367000.000000,1081783774000.000000,-835314940000.000000,-220597210000.000000,-352694585000.000000,-17845862000.000000,-5463301000.000000,-27641641000.000000,,,-211072341000.000000,-835314940000.000000,246468834000.000000,-206073573000.000000,,2626088000.000000,-156090000.000000,-1707381000.000000,-192069811000.000000,-13171274000.000000,-13231345000.000000,11636240000.000000,-206073573000.000000,40395261000.000000,7270752000.000000,47666013000.000000,103123959000.000000,150789972000.000000,47666013000.000000,49657832000.000000,-1991819000.000000,47666013000.000000,150789972000.000000,103980021000.000000,46809951000.000000,,150789972000.000000
12M 2020,864181616000.000000,383727063000.000000,218398555000.000000,3960220000.000000,6927823000.000000,96473197000.000000,19062753000.000000,127025565000.000000,8606440000.000000,864181616000.000000,-596052897000.000000,-203650773000.000000,-115920517000.000000,-33400224000.000000,-3208992000.000000,-20310111000.000000,-3524271000.000000,,-216038009000.000000,-596052897000.000000,268128719000.000000,-556347872000.000000,,3358140000.000000,-106760000.000000,1060034000.000000,-381536524000.000000,-109717512000.000000,-14576853000.000000,-54828397000.000000,-556347872000.000000,-288219153000.000000,50138833000.000000,-238080320000.000000,97172053000.000000,-140908267000.000000,-238080320000.000000,-109273118000.000000,-128807202000.000000,-238080320000.000000,-140908267000.000000,-71273436000.000000,-69634831000.000000,,-140908267000.000000
12M 2021,1257886339000.000000,208924707000.000000,480257822000.000000,5570001000.000000,10649058000.000000,268864472000.000000,13270603000.000000,264460730000.000000,5888946000.000000,1257886339000.000000,-714832763000.000000,-174088989000.000000,-279701748000.000000,-35415779000.000000,-4427633000.000000,-16986060000.000000,-3999744000.000000,,-200212810000.000000,-714832763000.000000,543053576000.000000,-675625324000.000000,,3088683000.000000,-39212000.000000,-3053001000.000000,-570892392000.000000,-4578717000.000000,-14247829000.000000,-85902856000.000000,-675625324000.000000,-132571748000.000000,30957588000.000000,-101614160000.000000,79013374000.000000,-22600786000.000000,-101614160000.000000,-31915451000.000000,-69698709000.000000,-101614160000.000000,-22600786000.000000,91574453000.000000,-114175239000.000000,,-22600786000.000000
