Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2012,,,,,,,,,,,,,,,0.0
12M 2013,,,,,,,,,11.26,11.83,0.07,0.06,,,0.0
12M 2014,,,,,,,,,18.44,21.74,0.06,0.06,,,0.0
12M 2015,,,,,,,,,27.26,30.0,0.06,0.06,,,0.0
12M 2016,,,,,,,,,0.96,0.95,0.02,0.02,,,0.0
12M 2017,,,,,,,,,1.88,1.87,0.04,0.03,,,0.0
12M 2018,,,,,,,,,1.88,1.87,0.03,0.03,,,0.0
12M 2019,,,,,,,,,2.02,2.04,0.03,0.03,,,0.0
12M 2020,,,,,,,,,1.57,1.61,0.03,0.03,,,0.0
12M 2021,,,,,,,,,2.3,2.4,0.05,0.05,,,0.0
12M 2022,,,,,,,,,3.14,3.33,0.06,0.06,,,0.0
12M 2023,,,,,,,,,2.23,2.26,0.03,0.03,,,0.0
12M 2024,,,,,,,,,2.76,2.78,0.03,0.03,,,0.0
