Period,Aset,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Investasi Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Investasi Jangka Pendek,Piutang Premi Dan Reasuransi,Pihak Berelasi,Pihak Ketiga,Total Piutang Premi Dan Reasuransi,Aset Reasuransi,Piutang Pada Lembaga Kliring Dan Penjaminan,Piutang Nasabah,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Liabilitas Akseptasi,Investasi Jangka Panjang,Pihak Berelasi,Pihak Ketiga,Total Investasi Jangka Panjang,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Goodwill,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Utang Bank Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Utang Bank Jangka Pendek,Utang Klaim,Utang Reasuransi,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Nasabah,Utang Pajak,Beban Akrual,Liabilitas Kontrak Asuransi,Estimasi Liabilitas Klaim,Premi Yang Belum Merupakan Pendapatan,Total Liabilitas Kontrak Asuransi,Liabilitas Akseptasi,Efek-Efek Yang Diterbitkan,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pembelian Kendaraan,Pihak Berelasi,Pihak Ketiga,Total Utang Pembelian Kendaraan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pembelian Kendaraan,Pihak Berelasi,Pihak Ketiga,Total Utang Pembelian Kendaraan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Dana Syirkah Temporer,Simpanan Dari Bank Lain,Others,Total Dana Syirkah Temporer,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,4350943277.000000,5343646425.000000,9694589702.000000,,20120162508.000000,113499026671.000000,133619189179.000000,,592376370.000000,1861593083.000000,2453969453.000000,2121122552.000000,6647203292.000000,13195624496.000000,,2500000000.000000,22941654341.000000,25441654341.000000,,,533252774363.000000,205000000.000000,533457774363.000000,875122934.000000,1080008154.000000,6538843226.000000,5103148824.000000,32414071733.000000,772642322249.000000,,,,,,,,,28220723359.000000,18820723359.000000,9400000000.000000,28220723359.000000,16984218.000000,1889342262.000000,3571953000.000000,6055869060.000000,967346988.000000,326306088.000000,3149134569.000000,453197419.000000,2695937150.000000,3149134569.000000,,,35315917521.000000,,22960000000.000000,11978682589.000000,34938682589.000000,377234932.000000,,,377234932.000000,35315917521.000000,309193393.000000,,,,,,,309193393.000000,309193393.000000,309193393.000000,,,,,,3447023338.000000,83269793796.000000,,260000000000.000000,,360446805951.000000,,,360446805951.000000,4790354396.000000,64135368106.000000,689372528453.000000,772642322249.000000,2600000000.000000
12M 2013,,,55747495876.000000,2786480733.000000,58533976609.000000,,21663647299.000000,163884400833.000000,185548048132.000000,,463897673.000000,6015723812.000000,6479621485.000000,7578143082.000000,20167536469.000000,20122479331.000000,,,5705975714.000000,5705975714.000000,,,613924316117.000000,230000000.000000,614154316117.000000,1169053776.000000,1068584242.000000,4243074965.000000,5103148824.000000,70526002793.000000,1000399961539.000000,,,,,,,,,24069734173.000000,2546114712.000000,21523619461.000000,24069734173.000000,29210970.000000,4420439672.000000,17664237500.000000,11133936255.000000,1131428057.000000,630178398.000000,11907801002.000000,,,11907801002.000000,,,1595704161.000000,,,1386426925.000000,1386426925.000000,,,209277236.000000,209277236.000000,1595704161.000000,21823470.000000,,,,,,,21823470.000000,21823470.000000,21823470.000000,,,,,,3055894213.000000,75660387871.000000,,735000000000.000000,27938958863.000000,124159970936.000000,1000000000.000000,123159970936.000000,124159970936.000000,2410007183.000000,35230636686.000000,924739573668.000000,1000399961539.000000,7350000000.000000
12M 2014,,,21923385367.000000,6063153851.000000,27986539218.000000,,,214744426011.000000,214744426011.000000,,1246837399.000000,7986420467.000000,9233257866.000000,26272143775.000000,3563858662.000000,38022163379.000000,,,2886479870.000000,2886479870.000000,,,688277239859.000000,275000000.000000,688552239859.000000,1326798310.000000,1057160330.000000,3135200552.000000,,97812923248.000000,1114593191080.000000,,,,,,,,,30203868644.000000,12336757546.000000,17867111098.000000,30203868644.000000,7406286.000000,6410979055.000000,12006277200.000000,2536834740.000000,1048290897.000000,940293556.000000,33353392283.000000,,,33353392283.000000,,,930461430.000000,,,908637960.000000,908637960.000000,,,21823470.000000,21823470.000000,930461430.000000,,,,,,,,,,,,,,,,10280540832.000000,97718344923.000000,,774200005000.000000,37738960113.000000,184999463730.000000,2000000000.000000,182999463730.000000,184999463730.000000,2571063294.000000,17365354020.000000,1016874846157.000000,1114593191080.000000,7742000050.000000
12M 2015,,,33368047390.000000,1901227233.000000,35269274623.000000,,7958200000.000000,302735597368.000000,310693797368.000000,,1122180659.000000,20456516796.000000,21578697455.000000,15042913357.000000,6704679958.000000,17426204782.000000,,,4487440921.000000,4487440921.000000,,,832242758566.000000,275000000.000000,832517758566.000000,1340671469.000000,1045736418.000000,2288768802.000000,,40270626660.000000,1288666570379.000000,,,,,,,,,2850000000.000000,,2850000000.000000,2850000000.000000,617555858.000000,9096291598.000000,2447964100.000000,3669826415.000000,926349776.000000,1072550660.000000,24101610746.000000,6756257273.000000,17345353473.000000,24101610746.000000,,,370692250.000000,370692250.000000,,,370692250.000000,,,,,370692250.000000,1682914689.000000,1682914689.000000,,,1682914689.000000,,,,,1682914689.000000,,,,,,10675724483.000000,57511480575.000000,,774200018000.000000,37738963363.000000,246310616561.000000,2000000000.000000,244310616561.000000,246310616561.000000,50970555420.000000,121934936460.000000,1231155089804.000000,1288666570379.000000,7742000180.000000
12M 2016,,,,3013116732000.000000,3013116732000.000000,,18018044000.000000,7557322849000.000000,7575340893000.000000,,229500000.000000,35405512000.000000,35635012000.000000,20671240000.000000,19403332000.000000,15999555000.000000,13027189000.000000,,,13027189000.000000,9730501000.000000,,,15773239000.000000,15773239000.000000,100744157000.000000,4135215000.000000,548243195000.000000,,15129016261000.000000,26500836521000.000000,,,3372928000.000000,19520928045000.000000,57676643000.000000,19463251402000.000000,19520928045000.000000,1332527013000.000000,13634734000.000000,,13634734000.000000,13634734000.000000,62685000.000000,13668365000.000000,9233122000.000000,22554541000.000000,31506039000.000000,122205854000.000000,38873770000.000000,13070183000.000000,25803587000.000000,38873770000.000000,4682005000.000000,951174870000.000000,,,,,,,,,,,,,,,,,,,,,1172299002000.000000,31250000000.000000,1141049002000.000000,1172299002000.000000,,177369751000.000000,23414092724000.000000,,915009468000.000000,77330262000.000000,722674373000.000000,4000000000.000000,718674373000.000000,722674373000.000000,1173169156000.000000,198560538000.000000,3086743797000.000000,26500836521000.000000,9150094680.000000
12M 2017,,,,4033091295000.000000,4033091295000.000000,,67637577000.000000,8249563006000.000000,8317200583000.000000,,,14257805000.000000,14257805000.000000,22479881000.000000,13095255000.000000,11143147000.000000,44043863000.000000,,,44043863000.000000,117881394000.000000,,,19423239000.000000,19423239000.000000,93091849000.000000,4073715000.000000,531435551000.000000,11139847000.000000,16213771930000.000000,29446129354000.000000,,,4494773000.000000,20761285696000.000000,153689469000.000000,20607596227000.000000,20761285696000.000000,2236882484000.000000,38493300000.000000,,38493300000.000000,38493300000.000000,391338000.000000,7308211000.000000,,15261927000.000000,42722994000.000000,134464234000.000000,75812284000.000000,,,75812284000.000000,77660147000.000000,1121971255000.000000,,,,,,,,,,,,,,,,,,,,,1495287572000.000000,21600000000.000000,1473687572000.000000,1495287572000.000000,376028000.000000,82356576000.000000,26094768819000.000000,,915009468000.000000,77330262000.000000,823079158000.000000,5000000000.000000,818079158000.000000,823079158000.000000,1298848197000.000000,237093450000.000000,3351360535000.000000,29446129354000.000000,9150094680.000000
12M 2018,,,,4104064531000.000000,4104064531000.000000,,71824265000.000000,7218375753000.000000,7290200018000.000000,,,13966084000.000000,13966084000.000000,48129043000.000000,3889397000.000000,3784550000.000000,25261827000.000000,,,25261827000.000000,164546909000.000000,,,1373239000.000000,1373239000.000000,176320036000.000000,4012216000.000000,544030482000.000000,13756902000.000000,18421787714000.000000,30815122948000.000000,,,4393198000.000000,20624832358000.000000,171217740000.000000,20453614618000.000000,20624832358000.000000,1835799330000.000000,1700000000.000000,,1700000000.000000,1700000000.000000,254846000.000000,13489271000.000000,2013361000.000000,2337318000.000000,66010750000.000000,145923612000.000000,249784802000.000000,,,249784802000.000000,161198275000.000000,1504608555000.000000,,,,,,,,,,,,,,,,,,,,,1534219692000.000000,107700000000.000000,1426519692000.000000,1534219692000.000000,,1380762583000.000000,27527327951000.000000,,915009468000.000000,77330262000.000000,866792420000.000000,6000000000.000000,860792420000.000000,866792420000.000000,1276415416000.000000,152247431000.000000,3287794997000.000000,30815122948000.000000,9150094680.000000
12M 2019,,,,2286736072000.000000,2286736072000.000000,,76571638000.000000,8372537392000.000000,8449109030000.000000,,1056079000.000000,21020909000.000000,22076988000.000000,60143735000.000000,6108137000.000000,7145536000.000000,16250875000.000000,,,16250875000.000000,66543426000.000000,,,100030104000.000000,100030104000.000000,164874627000.000000,1000041000.000000,529228073000.000000,12649306000.000000,19521852013000.000000,31243747963000.000000,,,2077421000.000000,21781172146000.000000,464146743000.000000,21317025403000.000000,21781172146000.000000,909309808000.000000,54254414000.000000,,54254414000.000000,54254414000.000000,1113532000.000000,15950899000.000000,,4851355000.000000,31757955000.000000,157312066000.000000,295426582000.000000,,,295426582000.000000,49005961000.000000,1667121009000.000000,,,,,,,,,,,,,,,,,,,,,1687484616000.000000,181500000000.000000,1505984616000.000000,1687484616000.000000,1190089000.000000,1082000167000.000000,27740028020000.000000,,915009468000.000000,77330262000.000000,927250071000.000000,7000000000.000000,920250071000.000000,927250071000.000000,1386175116000.000000,197955026000.000000,3503719943000.000000,31243747963000.000000,9150094680.000000
12M 2020,,,,2556290042000.000000,2556290042000.000000,,112305300000.000000,6772793988000.000000,6885099288000.000000,,10151963000.000000,52123713000.000000,62275676000.000000,67519727000.000000,19320560000.000000,5712380000.000000,36212025000.000000,,,36212025000.000000,,,,69017107000.000000,69017107000.000000,249372267000.000000,988617000.000000,572564466000.000000,13839732000.000000,16423748794000.000000,26961960681000.000000,,,2086598000.000000,18323825400000.000000,265939212000.000000,18057886188000.000000,18323825400000.000000,2060970040000.000000,60378025000.000000,,60378025000.000000,60378025000.000000,31231000.000000,48104013000.000000,,21264235000.000000,23077701000.000000,187205076000.000000,170765162000.000000,,,170765162000.000000,,1484694502000.000000,,,,,,,,,,,,,,,,,,,,,1379182361000.000000,54500000000.000000,1324682361000.000000,1379182361000.000000,,65381817000.000000,23826966161000.000000,,915009468000.000000,77330262000.000000,700888291000.000000,7000000000.000000,693888291000.000000,700888291000.000000,1184160284000.000000,257606215000.000000,3134994520000.000000,26961960681000.000000,9150094680.000000
12M 2021,,,,1905758111000.000000,1905758111000.000000,,114092193000.000000,5826474437000.000000,5940566630000.000000,,6916374000.000000,32793897000.000000,39710271000.000000,64491383000.000000,3627959000.000000,13526083000.000000,34784992000.000000,,,34784992000.000000,,,,47000570000.000000,47000570000.000000,298386324000.000000,977193000.000000,520874185000.000000,10532986000.000000,17061913682000.000000,25942150369000.000000,,,335926000.000000,18066303416000.000000,693732812000.000000,17372570604000.000000,18066303416000.000000,1037173068000.000000,81064000000.000000,,81064000000.000000,81064000000.000000,190685000.000000,26823054000.000000,,10536283000.000000,14135313000.000000,144110004000.000000,288944117000.000000,,,288944117000.000000,,1332845304000.000000,,,,,,,,,,,,,,,,,,,,,1230492312000.000000,8500000000.000000,1221992312000.000000,1230492312000.000000,,52044502000.000000,22284997984000.000000,,1006456836000.000000,264398605000.000000,681536675000.000000,7000000000.000000,674536675000.000000,681536675000.000000,1342685424000.000000,362074845000.000000,3657152385000.000000,25942150369000.000000,10064568363.000000
