Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Reasuransi Dibayar,Pendapatan Komisi,Others,Total Pendapatan,Total Beban Usaha,Beban Komisi,Klaim Bruto,Klaim Reasuransi,Hasil Investasi,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,48338082000.000000,55996747000.000000,-10376406000.000000,2717741000.000000,,,,48338082000.000000,-100901828000.000000,-4601388000.000000,-82041761000.000000,51374410000.000000,1801110000.000000,-60342274000.000000,-7091925000.000000,-100901828000.000000,-52563746000.000000,1538637000.000000,-51025109000.000000,12538029000.000000,,12538029000.000000,,,12538029000.000000,-38487080000.000000,1805229000.000000,,1805229000.000000,-36681851000.000000,-38487080000.000000,-38487080000.000000,,-38487080000.000000,-36681851000.000000,-36681851000.000000,,-36681851000.000000
12M 2022,24944847000.000000,3966924000.000000,-1241882000.000000,22219805000.000000,,,,24944847000.000000,-67530472000.000000,-140115000.000000,-35748063000.000000,9432493000.000000,1548245000.000000,-40708377000.000000,-1914655000.000000,-67530472000.000000,-42585625000.000000,143960000.000000,-42441665000.000000,4774104000.000000,,4774104000.000000,,,4774104000.000000,-37667561000.000000,752212000.000000,,752212000.000000,-36915349000.000000,-37667561000.000000,-37667561000.000000,,-37667561000.000000,-36915349000.000000,-36915349000.000000,,-36915349000.000000
12M 2023,104716171000.000000,106182317000.000000,-13415264000.000000,11949118000.000000,,,,104716171000.000000,-143812322000.000000,-33294565000.000000,-37412033000.000000,8570375000.000000,2927317000.000000,-83804440000.000000,-798976000.000000,-143812322000.000000,-39096151000.000000,641800000.000000,-38454351000.000000,14396603000.000000,,14396603000.000000,,,14396603000.000000,-24057748000.000000,1088392000.000000,,1088392000.000000,-22969356000.000000,-24057748000.000000,-24057748000.000000,,-24057748000.000000,-22969356000.000000,-22969356000.000000,,-22969356000.000000
12M 2024,318304786000.000000,327291358000.000000,-2704336000.000000,-6282236000.000000,,,,318304786000.000000,-317099635000.000000,-89334358000.000000,-120675586000.000000,2358567000.000000,5075664000.000000,-115125981000.000000,602059000.000000,-317099635000.000000,1205151000.000000,13137020000.000000,14342171000.000000,2115305000.000000,,2115305000.000000,,,2115305000.000000,16457476000.000000,902841000.000000,,902841000.000000,17360317000.000000,16457476000.000000,16457476000.000000,,16457476000.000000,17360317000.000000,17360317000.000000,,17360317000.000000
