Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Klaim Reasuransi,Pembayaran Premi Reasuransi,Penerimaan Lain-Lain,Pembayaran Klaim,Pembayaran Beban Umum Dan Administrasi,Pembayaran Komisi Dan Potongan Premi,Penerimaan Bunga Rekening Giro,Pembayaran Pajak,"Pembayaran Lain-Lain, Neto",Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito Berjangka Jatuh Tempo,Penjualan Obligasi,Penerimaan Bunga Deposito,Penerimaan Hasil Investasi,Penerimaan Bunga Obligasi,Penerimaan Hasil Penjualan Aktiva Tetap,Penerimaan Bunga Rekening Giro,Penerimaan Dividen,Penempatan Deposito Berjangka,Penempatan Investasi Dalam Obligasi,Penempatan Investasi Dalam Efek,Pembelian Obligasi,Penempatan Investasi Dalam Penyertaan Saham,Perolehan Aset Tetap,Penambahan Properti Investasi,Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Kas,Penambahan Modal,Penerimaan Dari Penerbitan Saham,Peningkatan Liabilitas Kepada Pemegang Saham,Pembayaran Liabilitas Sewa,Penerimaan Hasil Penjualan Saham Yang Diperoleh Kembali,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-13020169000.000000,74386050000.000000,48776012000.000000,-10363673000.000000,1538637000.000000,-90271694000.000000,-33062551000.000000,-4022950000.000000,,,,-13020169000.000000,8302563000.000000,11200000000.000000,,,1977194000.000000,,,,,-4800000000.000000,,,,,-74631000.000000,,,8302563000.000000,,,,,,,,,,-4717606000.000000,9060343000.000000,4342737000.000000
12M 2022,-41013113000.000000,8287178000.000000,5027495000.000000,-1839566000.000000,214034000.000000,-29338955000.000000,-22779296000.000000,-584003000.000000,,,,-41013113000.000000,-1227472000.000000,12900000000.000000,,,1632455000.000000,,27963000.000000,,,-15750000000.000000,,,,,-37890000.000000,,,-1227472000.000000,70000000000.000000,,70000000000.000000,,,,,70000000000.000000,,27759415000.000000,4342737000.000000,32102152000.000000
12M 2023,-29666132000.000000,92469202000.000000,2478103000.000000,-1859964000.000000,563220000.000000,-46514866000.000000,-47408610000.000000,-29393217000.000000,,,,-29666132000.000000,-54800976000.000000,15750000000.000000,3250000000.000000,,3010356000.000000,,78775000.000000,,,-73250000000.000000,-3366375000.000000,,,,-273732000.000000,,,-54800976000.000000,70000000000.000000,45000000000.000000,25000000000.000000,,,,,70000000000.000000,,-14467108000.000000,32102152000.000000,17635044000.000000
12M 2024,5002591000.000000,319830284000.000000,7794488000.000000,-2233414000.000000,915078000.000000,-132067385000.000000,-98826518000.000000,-90409942000.000000,,,,5002591000.000000,-3561255000.000000,24500000000.000000,1003379000.000000,,5535131000.000000,,19000000.000000,,,-31250000000.000000,-3051000000.000000,,,,-317765000.000000,,,-3561255000.000000,,,,,,,,,,1441336000.000000,17635043000.000000,19076379000.000000
