Period,Aset,Kas Dan Setara Kas,Pihak Ketiga,Pihak Berelasi,Total Kas Dan Setara Kas,Piutang Premi,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Premi,Piutang Reasuransi,Pihak Ketiga,Others,Total Piutang Reasuransi,Piutang Lain-Lain,Aset Reasuransi,Others,Total Deposito Berjangka,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Pihak Ketiga,Pihak Berelasi,Total Utang Klaim,Utang Reasuransi,Liabilitas Keuangan Lainnya,Utang Pajak,Others,Total Premi Yang Belum Merupakan Pendapatan,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,4342737000.000000,,4342737000.000000,,4502951000.000000,12192000.000000,,4515143000.000000,,1956985000.000000,,1956985000.000000,9340928000.000000,48279772000.000000,12900000000.000000,12900000000.000000,31447975000.000000,,31447975000.000000,31969281000.000000,91401540000.000000,223254361000.000000,,,21491042000.000000,21491042000.000000,,21491042000.000000,3750815000.000000,,288205000.000000,,,,4147487000.000000,123550322000.000000,153227871000.000000,,161260000000.000000,,-122749923000.000000,9490045000.000000,-132239968000.000000,-122749923000.000000,31516413000.000000,70026490000.000000,223254361000.000000,161260.000000
12M 2022,,,32102152000.000000,,32102152000.000000,,1171869000.000000,12192000.000000,,1184061000.000000,,6503446000.000000,,6503446000.000000,433945000.000000,29217015000.000000,15750000000.000000,15750000000.000000,30505114000.000000,,30505114000.000000,36739165000.000000,81675586000.000000,218360484000.000000,,,27896229000.000000,27896229000.000000,,27896229000.000000,3153132000.000000,,155244000.000000,,,,1365491000.000000,82679247000.000000,115249343000.000000,,231260000000.000000,,-160433239000.000000,9490045000.000000,-169923284000.000000,-160433239000.000000,32284380000.000000,103111141000.000000,218360484000.000000,231260.000000
12M 2023,,,17635043000.000000,,17635043000.000000,,13860814000.000000,14801000.000000,,13875615000.000000,,11469252000.000000,,11469252000.000000,438383000.000000,17501959000.000000,73250000000.000000,73250000000.000000,32410735000.000000,,32410735000.000000,51236633000.000000,107630746000.000000,252198366000.000000,,,22893185000.000000,22893185000.000000,,22893185000.000000,14708432000.000000,,216709000.000000,,,,2614273000.000000,106623982000.000000,147056581000.000000,,256260000000.000000,,-184887715000.000000,9490045000.000000,-194377760000.000000,-184887715000.000000,33769500000.000000,105141785000.000000,252198366000.000000,2562600000.000000
12M 2024,,,19076379000.000000,,19076379000.000000,,16503126000.000000,,,16503126000.000000,,7117531000.000000,,7117531000.000000,472329000.000000,4192800000.000000,80000000000.000000,80000000000.000000,31951283000.000000,,31951283000.000000,53169411000.000000,123582777000.000000,256065636000.000000,,,16624080000.000000,16532142000.000000,91938000.000000,16624080000.000000,1710722000.000000,,577865000.000000,,,,20254762000.000000,49396105000.000000,88563534000.000000,,301260000000.000000,,-168329796000.000000,9490045000.000000,-177819841000.000000,-168329796000.000000,34571898000.000000,167502102000.000000,256065636000.000000,3012600000.000000
