Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Bunga Dan Pajak Penghasilan,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Total Pembayaran Bunga Dan Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Pencairan (Penempatan) Aset Keuangan Lainnya,Penempatan Aset Keuangan Lainnya,Kenaikan Aset Keuangan Tidak Lancar Lainnya,Pencairan (Penempatan) Aset Keuangan Tidak Lancar Lainnya,Investasi Pada Entitas Asosiasi,Penurunan Investasi Pada Entitas Asosiasi,Akuisisi Saham Entitas Anak,Pelepasan Saham Entitas Anak,Kas Bersih Dari Pelepasan Entitas Anak,Penambahan Investasi Anak Perusahaan,Kas Bersih Dari Akuisisi Anak Perusahaan,Penempatan Investasi Pada Obligasi Wajib Tukar,Pembayaran Piutang Hubungan Istimewa,Setoran Modal Non-Pengendali Pada Entitas Anak,Perolehan Aset Tetap,Pencairan (Pembayaran) Uang Muka Investasi,Uang Muka Untuk Perolehan Aset Tetap,Hasil Pelepasan Aset Tetap,Hasil Pelepasan Anak Perusahaan,Pelepasan (Penambahan) Aset Lain-Lain,Biaya Akuisisi Channel,Penambahan Aset Tidak Berwujud,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran (Pinjaman) Jangka Pendek,Pembayaran Utang Bank Jangka Panjang Anak Perusahaan,Penambahan Utang Jangka Pendek Anak Perusahaan,Penambahan Utang Bank Jangka Panjang Anak Perusahaan,Penerimaan Pinjaman Jangka Pendek,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembelian Aset Tetap,Penerimaan (Pembayaran) Pinjaman Jangka Panjang,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Total Penerimaan (Pembayaran) Pinjaman Jangka Panjang,Pembayaran Utang Obligasi,Pembayaran Beban Keuangan,Penerimaan Setoran Modal,Setoran Modal Dari Pelaksanaan Opsi Saham Karyawan,Pembayaran Dividen,Saham Diperoleh Kembali,Setoran Modal Dari Pemegang Saham Pada Entitas Anak,Setoran Modal Non Pengendali Pada Entitas Anak,Penambahan Investasi Saham Pada Entitas Anak,Penjualan Saham Diperoleh Kembali,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,366124000000.000000,3333890000000.000000,-2599002000000.000000,,-230915000000.000000,-137849000000.000000,-368764000000.000000,366124000000.000000,-701360000000.000000,63376000000.000000,-380989000000.000000,,,,,,,,,,761130000000.000000,,,,-306558000000.000000,-841904000000.000000,,6680000000.000000,,-3095000000.000000,,,,-701360000000.000000,-58817000000.000000,242575000000.000000,,,,,,-3983000000.000000,,,,,-220000000000.000000,,,,-68514000000.000000,,,,,-8895000000.000000,-58817000000.000000,,-394053000000.000000,1634992000000.000000,1240939000000.000000
12M 2009,145829000000.000000,4040114000000.000000,-3537318000000.000000,,-245990000000.000000,-110977000000.000000,-356967000000.000000,145829000000.000000,-199682000000.000000,29435000000.000000,17430000000.000000,,,,,,,,,,,,,,-210025000000.000000,-20400000000.000000,,7964000000.000000,,-24086000000.000000,,,,-199682000000.000000,-68609000000.000000,25358000000.000000,,,,,,-1039000000.000000,,,,,-3525000000.000000,,,,-68147000000.000000,,,,,-21256000000.000000,-68609000000.000000,,-122462000000.000000,1240939000000.000000,1118477000000.000000
12M 2010,383654000000.000000,5084932000000.000000,-4341162000000.000000,,-185986000000.000000,-174130000000.000000,-360116000000.000000,383654000000.000000,-289827000000.000000,33720000000.000000,24428000000.000000,,,,,,,,,,-319467000000.000000,,,,-174346000000.000000,149265000000.000000,,3797000000.000000,2000000000.000000,-9224000000.000000,,,,-289827000000.000000,-131895000000.000000,42431000000.000000,,,,,,6516000000.000000,13448000000.000000,,,13448000000.000000,,,,,-93996000000.000000,,,,,-100294000000.000000,-131895000000.000000,,-38068000000.000000,1118477000000.000000,1080409000000.000000
12M 2011,868224000000.000000,5002709000000.000000,-3621692000000.000000,,-184305000000.000000,-328488000000.000000,-512793000000.000000,868224000000.000000,-546677000000.000000,43591000000.000000,-631099000000.000000,,,47589000000.000000,,,-13888000000.000000,,,,,,,,-86948000000.000000,,,4140000000.000000,,89938000000.000000,,,,-546677000000.000000,-564726000000.000000,-165562000000.000000,,,,,,-7108000000.000000,664068000000.000000,,,664068000000.000000,-1281301000000.000000,,,30201000000.000000,-207316000000.000000,,,,,402292000000.000000,-564726000000.000000,,-243179000000.000000,1080409000000.000000,837230000000.000000
12M 2012,1166543000000.000000,6209874000000.000000,-4498440000000.000000,,-42533000000.000000,-502358000000.000000,-544891000000.000000,1166543000000.000000,-966416000000.000000,27593000000.000000,-1120116000000.000000,,,-53500000000.000000,,,,,,,,,,7361000000.000000,-269720000000.000000,,,11860000000.000000,348839000000.000000,81267000000.000000,,,,-966416000000.000000,-508942000000.000000,-69035000000.000000,,,,,,-10011000000.000000,,,-43705000000.000000,-43705000000.000000,,,,64792000000.000000,-488161000000.000000,,,,,37178000000.000000,-508942000000.000000,,-308815000000.000000,837230000000.000000,528415000000.000000
12M 2013,1440007000000.000000,6262820000000.000000,-4154778000000.000000,,-41423000000.000000,-626612000000.000000,-668035000000.000000,1440007000000.000000,198941000000.000000,30692000000.000000,879626000000.000000,,,,,,,,,,,,,930000000.000000,-703309000000.000000,,,8890000000.000000,,-17888000000.000000,,,,198941000000.000000,-1592602000000.000000,297000000.000000,,,,,,-12896000000.000000,,96345000000.000000,-397341000000.000000,-300996000000.000000,,,,164487000000.000000,-1006854000000.000000,,,,,-436640000000.000000,-1592602000000.000000,,46346000000.000000,528415000000.000000,574761000000.000000
12M 2014,1098167000000.000000,6567687000000.000000,-4732829000000.000000,,-58229000000.000000,-678462000000.000000,-736691000000.000000,1098167000000.000000,-2735742000000.000000,86421000000.000000,-470253000000.000000,,,-544000000000.000000,,,,,,,,,,7285000000.000000,-1288686000000.000000,-55425000000.000000,,3143000000.000000,,-474227000000.000000,,,,-2735742000000.000000,2194815000000.000000,-50270000000.000000,,,,,,-12413000000.000000,,3046458000000.000000,-436335000000.000000,2610123000000.000000,,,,311817000000.000000,-605655000000.000000,,,,,-58787000000.000000,2194815000000.000000,,557240000000.000000,574761000000.000000,1132001000000.000000
12M 2015,1249167000000.000000,6364736000000.000000,-4175187000000.000000,,-186068000000.000000,-754314000000.000000,-940382000000.000000,1249167000000.000000,-1063613000000.000000,62226000000.000000,698786000000.000000,,,-489535000000.000000,,,,,,-1813000000.000000,7243000000.000000,,,18000000000.000000,-1420345000000.000000,,,6438000000.000000,,55387000000.000000,,,,-1063613000000.000000,-919099000000.000000,39792000000.000000,,,,,,-4426000000.000000,,159908000000.000000,,159908000000.000000,,,,,-887878000000.000000,,,,,-226495000000.000000,-919099000000.000000,,-733545000000.000000,1132001000000.000000,398456000000.000000
12M 2016,1965553000000.000000,6891068000000.000000,-4173569000000.000000,,-151384000000.000000,-600562000000.000000,-751946000000.000000,1965553000000.000000,-196174000000.000000,55137000000.000000,576999000000.000000,,,70330000000.000000,,,,,-973000000.000000,-58000000000.000000,1527000000.000000,,,9000000000.000000,-833757000000.000000,-94219000000.000000,,75351000000.000000,,2431000000.000000,,,,-196174000000.000000,-1668661000000.000000,-10000000000.000000,,,,,,-23445000000.000000,,26734000000.000000,-42520000000.000000,-15786000000.000000,,,,31000000.000000,-587053000000.000000,,,,,-1032408000000.000000,-1668661000000.000000,,100718000000.000000,398456000000.000000,499174000000.000000
12M 2017,2197773000000.000000,7050602000000.000000,-3961602000000.000000,,-216600000000.000000,-674627000000.000000,-891227000000.000000,2197773000000.000000,-726609000000.000000,20491000000.000000,235098000000.000000,,,-354081000000.000000,,,,,,-75213000000.000000,12025000000.000000,,,,-572660000000.000000,,,7731000000.000000,,,,,,-726609000000.000000,-1501353000000.000000,-683200000000.000000,,,,656512000000.000000,,-67597000000.000000,,3225704000000.000000,-3376433000000.000000,-150729000000.000000,,,,,-592053000000.000000,,,,,-664286000000.000000,-1501353000000.000000,,-30189000000.000000,499174000000.000000,468985000000.000000
