Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,2547179.32,0.00,2547179.32,,"6,014 B","6,014 B","4,419 B","2,727 B"
12M 2014,0.00,3061876.35,0.00,3061876.35,,"6,148 B","6,148 B","4,963 B","1,968 B"
12M 2015,0.00,321.22,0.00,321.22,,"6,835 B","6,835 B","6,040 B","1,112 B"
12M 2016,2.55,504.55,2.55,504.55,,"7,209 B","7,209 B","4,232 B","3,509 B"
12M 2017,2.41,539.13,2.41,539.13,,"7,284 B","7,284 B","4,601 B","3,125 B"
12M 2018,1.54,576.50,1.54,576.50,,"7,802 B","7,802 B","5,537 B","4,132 B"
12M 2019,1.75,570.00,1.75,570.00,,"7,507 B","7,507 B","4,133 B","4,397 B"
12M 2020,1.21,587.95,1.21,587.95,,"7,635 B","7,635 B","3,791 B","5,372 B"
12M 2021,0.99,619.93,0.99,619.93,,"7,748 B","7,748 B","3,782 B","6,328 B"
12M 2022,0.97,678.22,0.97,678.22,,"8,483 B","8,483 B","3,726 B","7,598 B"
12M 2023,1.05,675.75,1.05,675.75,,"7,651 B","7,651 B","3,879 B","7,696 B"
12M 2024,0.98,711.12,0.98,711.12,,"8,032 B","8,032 B","4,941 B","8,428 B"
