Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,501777209.000000,-354081077.000000,147696132.000000,-57218746.000000,-29268563.000000,-4281668.000000,-23668515.000000,-57218746.000000,90477386.000000,-27920718.000000,-33831769.000000,7388814.000000,-1477763.000000,-27920718.000000,62556668.000000,-19388353.000000,-4867541.000000,-14520812.000000,,-19388353.000000,43168315.000000,680362.000000,43848677.000000,43168315.000000,43168315.000000,,43168315.000000,43848677.000000,43848677.000000,,43848677.000000
12M 2014,544708191.000000,-359245460.000000,185462731.000000,-48292667.000000,-38084019.000000,-4300111.000000,-5908537.000000,-48292667.000000,137170064.000000,-24864646.000000,-29496669.000000,5790029.000000,-1158006.000000,-24864646.000000,112305418.000000,-27895626.000000,-29583225.000000,1687599.000000,,-27895626.000000,84409792.000000,-2498391.000000,81911401.000000,84409792.000000,84409792.000000,,84409792.000000,81911401.000000,81911401.000000,,81911401.000000
12M 2015,547895039.000000,-362448544.000000,185446495.000000,-53874992.000000,-37998839.000000,-4225093.000000,-11651060.000000,-53874992.000000,131571503.000000,-23320512.000000,-24841619.000000,1901384.000000,-380277.000000,-23320512.000000,108250991.000000,-28240367.000000,-24834715.000000,-3405652.000000,,-28240367.000000,80010624.000000,-726642.000000,79283982.000000,80010624.000000,80010624.000000,,80010624.000000,79283982.000000,79283982.000000,,79283982.000000
12M 2016,550856228.000000,-362674341.000000,188181887.000000,-78518988.000000,-45230255.000000,-4803083.000000,-28485650.000000,-78518988.000000,109662899.000000,-42600056.000000,-44544384.000000,2389302.000000,-444974.000000,-42600056.000000,67062843.000000,36785749.000000,-30264831.000000,74697362.000000,-7646782.000000,36785749.000000,103848592.000000,845515.000000,104694107.000000,103848592.000000,103848592.000000,,103848592.000000,104694107.000000,104694107.000000,,104694107.000000
12M 2017,566147774.000000,-358191894.000000,207955880.000000,-47598387.000000,-46711533.000000,-4938321.000000,4051467.000000,-47598387.000000,160357493.000000,-13651842.000000,-16842048.000000,3987758.000000,-797552.000000,-13651842.000000,146705651.000000,-39372018.000000,-35949048.000000,-3422970.000000,,-39372018.000000,107333633.000000,193491.000000,107527124.000000,107333633.000000,107333633.000000,,107333633.000000,107527124.000000,107527124.000000,,107527124.000000
12M 2018,574107058.000000,-358716039.000000,215391019.000000,-66740185.000000,,-57132823.000000,-9607362.000000,-66740185.000000,148650834.000000,-22032133.000000,-27190592.000000,6448074.000000,-1289615.000000,-22032133.000000,126618701.000000,-47725320.000000,-24395925.000000,-23329395.000000,,-47725320.000000,78893381.000000,1147813.000000,80041194.000000,78893381.000000,78893381.000000,,78893381.000000,80041194.000000,80041194.000000,,80041194.000000
12M 2019,588491199.000000,-366005853.000000,222485346.000000,-59715024.000000,,-59996945.000000,281921.000000,-59715024.000000,162770322.000000,-22367346.000000,-29534963.000000,8959521.000000,-1791904.000000,-22367346.000000,140402976.000000,-26872987.000000,-30326540.000000,3453553.000000,,-26872987.000000,113529989.000000,-193298.000000,113336691.000000,113529989.000000,113529989.000000,,113529989.000000,113336691.000000,113336691.000000,,113336691.000000
12M 2020,465897702.000000,-275942873.000000,189954829.000000,-62167652.000000,,-58010197.000000,-4157455.000000,-62167652.000000,127787177.000000,-22686289.000000,-29191351.000000,7935074.000000,-1430012.000000,-22686289.000000,105100888.000000,-30348601.000000,-20149545.000000,-10199056.000000,,-30348601.000000,74752287.000000,158984.000000,74911271.000000,74752287.000000,74752287.000000,,74752287.000000,74911271.000000,74911271.000000,,74911271.000000
12M 2021,514850737.000000,-364609902.000000,150240835.000000,-5353047.000000,,,-5353047.000000,-5353047.000000,144887788.000000,-24142161.000000,-29156540.000000,6154667.000000,-1140288.000000,-24142161.000000,120745627.000000,-30305837.000000,-25430544.000000,-4875293.000000,,-30305837.000000,90439790.000000,513578.000000,90953368.000000,90439790.000000,90439790.000000,,90439790.000000,90953368.000000,90953368.000000,,90953368.000000
12M 2022,550450870.000000,-399172293.000000,151278577.000000,-17690127.000000,,,-17690127.000000,-17690127.000000,133588450.000000,-22287790.000000,-29108772.000000,8230406.000000,-1409424.000000,-22287790.000000,111300660.000000,-38764966.000000,-18843604.000000,-19921362.000000,,-38764966.000000,72535694.000000,-4070744.000000,68464950.000000,72535694.000000,72535694.000000,,72535694.000000,68464950.000000,68464950.000000,,68464950.000000
