Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Piutang Pembiayaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pembiayaan,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Wesel Bayar,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Beban Akrual,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Wesel Bayar,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,130743222.000000,58591731.000000,464188.000000,25165903.000000,,50373475.000000,265338519.000000,,,489950176.000000,,6385450.000000,71819933.000000,568155559.000000,833494078.000000,,,41812190.000000,,20255214.000000,495484.000000,20750698.000000,1418078.000000,5772340.000000,,,,,13871074.000000,41812190.000000,568662744.000000,,,493036695.000000,,493036695.000000,27937859.000000,47688190.000000,568662744.000000,610474934.000000,,120949053.000000,,101616115.000000,,,101616115.000000,453976.000000,223019144.000000,833494078.000000,1068000.000000
12M 2014,,,95286868.000000,60540711.000000,177655.000000,25528109.000000,,40983763.000000,222517106.000000,,,614438885.000000,,3780823.000000,61499941.000000,679719649.000000,902236755.000000,,,64352246.000000,,25765737.000000,456985.000000,26222722.000000,6734814.000000,17516464.000000,,,,,13878246.000000,64352246.000000,575037154.000000,,,494196154.000000,,494196154.000000,22812836.000000,58028164.000000,575037154.000000,639389400.000000,,120949053.000000,,141909394.000000,,,141909394.000000,-11092.000000,262847355.000000,902236755.000000,1068000.000000
12M 2015,,,57626349.000000,70920109.000000,88749.000000,23769073.000000,,12921428.000000,165325708.000000,,,754328679.000000,,2711764.000000,83353316.000000,840393759.000000,1005719467.000000,,,84723809.000000,,38156073.000000,11012.000000,38167085.000000,14575543.000000,17517935.000000,,,,,14463246.000000,84723809.000000,583864321.000000,,2960564.000000,495442803.000000,,498403367.000000,24907215.000000,60553739.000000,583864321.000000,668588130.000000,,257885293.000000,,79246044.000000,,,79246044.000000,,337131337.000000,1005719467.000000,14478440000.000000
12M 2016,,,221585981.000000,66141507.000000,203615.000000,33143544.000000,,4990742.000000,326065389.000000,,,821972552.000000,,52220072.000000,70554500.000000,944747124.000000,1270812513.000000,,,64909695.000000,,31982866.000000,,31982866.000000,11096105.000000,3086223.000000,,,,,18744501.000000,64909695.000000,601797876.000000,,1128701.000000,536536658.000000,,537665359.000000,,64132517.000000,601797876.000000,666707571.000000,,282002166.000000,148162625.000000,173932629.000000,,,173932629.000000,7522.000000,604104942.000000,1270812513.000000,16087156000.000000
12M 2017,,,198041022.000000,69944642.000000,952761.000000,32133719.000000,,6553395.000000,307625539.000000,,,928259354.000000,11571817.000000,48732605.000000,27244790.000000,1015808566.000000,1323434105.000000,,,76937347.000000,,40726791.000000,,40726791.000000,9420072.000000,13749661.000000,,,,,13040823.000000,76937347.000000,606327785.000000,,,537630862.000000,,537630862.000000,,68696923.000000,606327785.000000,683265132.000000,,282002166.000000,148162625.000000,209972973.000000,1038486.000000,208934487.000000,209972973.000000,31209.000000,640168973.000000,1323434105.000000,16087156000.000000
12M 2018,,,156399591.000000,69725252.000000,1113303.000000,43453923.000000,,77779307.000000,348471376.000000,,,901075458.000000,11180657.000000,24923225.000000,23345412.000000,960524752.000000,1308996128.000000,,,63154796.000000,,34113671.000000,,34113671.000000,9217620.000000,14156884.000000,,,,,5666621.000000,63154796.000000,605394678.000000,,,538783622.000000,,538783622.000000,,66611056.000000,605394678.000000,668549474.000000,,282002166.000000,148162625.000000,211620180.000000,1145820.000000,210474360.000000,211620180.000000,-1338317.000000,640446654.000000,1308996128.000000,16087156000.000000
12M 2019,,,242661834.000000,73392993.000000,1104791.000000,42543249.000000,,12271179.000000,371974046.000000,,,860209482.000000,10789497.000000,28483457.000000,53354980.000000,952837416.000000,1324811462.000000,,,55658591.000000,,33543212.000000,,33543212.000000,9414047.000000,8671582.000000,,,,,4029750.000000,55658591.000000,609511581.000000,,,539998068.000000,,539998068.000000,,69513513.000000,609511581.000000,665170172.000000,,282002166.000000,148162108.000000,249079723.000000,1224713.000000,247855010.000000,249079723.000000,-19602707.000000,659641290.000000,1324811462.000000,16087156000.000000
12M 2020,,,272479054.000000,57689155.000000,1014362.000000,42692850.000000,,63504768.000000,437380189.000000,,,827747049.000000,10902556.000000,18253067.000000,48586700.000000,905489372.000000,1342869561.000000,,,56498057.000000,,24170026.000000,,24170026.000000,9200619.000000,19125363.000000,,,1360558.000000,1360558.000000,2641491.000000,56498057.000000,615803097.000000,,,541277505.000000,1948748.000000,543226253.000000,,72576844.000000,615803097.000000,672301154.000000,,282002166.000000,148029076.000000,260831085.000000,1338243.000000,259492842.000000,260831085.000000,-20293920.000000,670568407.000000,1342869561.000000,16087156000.000000
12M 2021,,,277710016.000000,56519741.000000,674117.000000,47087674.000000,,114732641.000000,496724189.000000,,,786681757.000000,10492429.000000,13217509.000000,51827023.000000,862218718.000000,1358942907.000000,,,53504032.000000,,30177423.000000,,30177423.000000,9239066.000000,12341792.000000,,,842137.000000,842137.000000,903614.000000,53504032.000000,606955712.000000,,,542625411.000000,1323119.000000,543948530.000000,,63007182.000000,606955712.000000,660459744.000000,,282002166.000000,147819121.000000,288313584.000000,1412995.000000,286900589.000000,288313584.000000,-19651708.000000,698483163.000000,1358942907.000000,16087156000.000000
12M 2022,,,305083705.000000,57251462.000000,1747370.000000,63427420.000000,,114544153.000000,542054110.000000,,,775267979.000000,10082302.000000,,34214082.000000,819564363.000000,1361618473.000000,,,54751246.000000,,33482791.000000,,33482791.000000,9326985.000000,11010213.000000,,,703605.000000,703605.000000,227652.000000,54751246.000000,607106262.000000,,,544045453.000000,2215769.000000,546261222.000000,5760854.000000,55084186.000000,607106262.000000,661857508.000000,,282002166.000000,147628171.000000,293304326.000000,1503435.000000,291800891.000000,293304326.000000,-23173698.000000,699760965.000000,1361618473.000000,16087156000.000000
