Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Beban Pendanaan,Pengembalian Pajak Atas Keberatan Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Akuisisi Peralatan Listrik Yang Tidak Digunakan Dalam Operasi,Penerimaan Dari Penjualan Peralatan,Pembelian Investasi,Penambahan Properti Investasi,Penerimaan Dari Penjualan Investasi,Penerimaan Dari Penjualan Entitas Anak,Penempatan Deposito Berjangka,Penarikan Deposito Berjangka,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Tunai,Pembelian Saham Treasuri,Pembayaran Atas Liabilitas Sewa,Pembayaran Utang Wesel,Pembayaran Biaya Transaksi,Penerimaan Dari Penerbitan Utang Wesel,Penerimaan Dari Penerbitan Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,68520765.000000,499647992.000000,-374714863.000000,-33275643.000000,,-23136721.000000,68520765.000000,-167156854.000000,-23216451.000000,-142614936.000000,-584418.000000,116982.000000,-6337171.000000,,5479140.000000,,,,-167156854.000000,-55433817.000000,-35999817.000000,,,-19434000.000000,,,,-55433817.000000,-154069906.000000,-19588415.000000,304401543.000000,130743222.000000
12M 2014,162430580.000000,547770740.000000,-339163850.000000,-28337209.000000,,-17839101.000000,162430580.000000,-153751097.000000,-2493587.000000,-162539864.000000,-416755.000000,116562.000000,-14491281.000000,,26073828.000000,,,,-153751097.000000,-42083190.000000,-42083190.000000,,,,,,,-42083190.000000,-33403707.000000,-2052647.000000,130743222.000000,95286868.000000
12M 2015,147033484.000000,541669774.000000,-331154784.000000,-23594970.000000,,-39886536.000000,147033484.000000,-175251165.000000,-3488425.000000,-173387281.000000,-561462.000000,213177.000000,-934856.000000,,2907682.000000,,,,-175251165.000000,-5000000.000000,-5000000.000000,,,,,,,-5000000.000000,-33217681.000000,-4442838.000000,95286868.000000,57626349.000000
12M 2016,99843690.000000,557330575.000000,-386673840.000000,-26734904.000000,,-44078141.000000,99843690.000000,-117601364.000000,-12552947.000000,-104992764.000000,,249784.000000,-305437.000000,,,,,,-117601364.000000,181128042.000000,-10000000.000000,,,-517375000.000000,-13776456.000000,550000000.000000,172279498.000000,181128042.000000,163370368.000000,589264.000000,57626349.000000,221585981.000000
12M 2017,147204892.000000,562178148.000000,-355067213.000000,-15747844.000000,,-44158199.000000,147204892.000000,-100349039.000000,-1990907.000000,-98498689.000000,,140557.000000,,,,,,,-100349039.000000,-71463093.000000,-71463093.000000,,,,,,,-71463093.000000,-24607240.000000,1062281.000000,221585981.000000,198041022.000000
12M 2018,142097122.000000,575182157.000000,-383380912.000000,-26037832.000000,,-23666291.000000,142097122.000000,-51340734.000000,-2492541.000000,-26081521.000000,,407840.000000,-39090519.000000,,15916007.000000,,,,-51340734.000000,-79763513.000000,-78693525.000000,-1069988.000000,,,,,,-79763513.000000,10992875.000000,-4596046.000000,150002762.000000,156399591.000000
12M 2019,125735333.000000,584876351.000000,-369599008.000000,-28320517.000000,,-61221493.000000,125735333.000000,51483213.000000,-3483031.000000,-15136382.000000,,348568.000000,-78759063.000000,,146514438.000000,1998683.000000,,,51483213.000000,-94141538.000000,-75559656.000000,-18581882.000000,,,,,,-94141538.000000,83077008.000000,3185235.000000,156399591.000000,242661834.000000
12M 2020,169842767.000000,482741914.000000,-278245341.000000,-27911914.000000,5158891.000000,-11900783.000000,169842767.000000,-72523471.000000,-53654.000000,-18645721.000000,,48369.000000,-140131701.000000,-504219.000000,86763455.000000,,,,-72523471.000000,-66086661.000000,-63120623.000000,-1339683.000000,-1626355.000000,,,,,-66086661.000000,31232635.000000,-1415415.000000,242661834.000000,272479054.000000
12M 2021,139334070.000000,517390745.000000,-319382284.000000,-27808634.000000,1190560.000000,-32056317.000000,139334070.000000,-68342194.000000,-2953462.000000,-12635500.000000,,94617.000000,-197079897.000000,,144232048.000000,,,,-68342194.000000,-64702558.000000,-63558508.000000,,-1144050.000000,,,,,-64702558.000000,6289318.000000,-1058356.000000,272479054.000000,277710016.000000
12M 2022,146552733.000000,550087420.000000,-363969791.000000,-27688730.000000,7271487.000000,-19147653.000000,146552733.000000,-42204228.000000,-1497144.000000,-37610366.000000,,232316.000000,-71172407.000000,,46248846.000000,,-166243457.000000,187837984.000000,-42204228.000000,-69307037.000000,-67873126.000000,,-1433911.000000,,,,,-69307037.000000,35041468.000000,-7667779.000000,277710016.000000,305083705.000000
