Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.36,609.22,0.41,537.86,"1,730 B",57 B,"1,787 B","1,577 B",(57 B)
12M 2009,0.79,772.51,0.83,733.59,"1,291 B",35 B,"1,326 B","1,153 B",634 B
12M 2010,0.98,804.34,0.99,794.36,"1,239 B",2 B,"1,241 B","1,061 B",406 B
12M 2011,0.70,888.44,0.70,880.17,396 B,2 B,398 B,142 B,"1,072 B"
12M 2012,0.78,902.94,0.78,894.67,263 B,2 B,265 B,(37 B),"1,456 B"
12M 2013,0.88,1512.98,0.88,1504.72,40 B,124 B,164 B,(831 B),"1,290 B"
12M 2014,0.69,1526.58,0.69,1518.31,162 B,395 B,557 B,13 B,632 B
12M 2015,0.38,1526.45,0.39,1518.18,219 B,322 B,540 B,88 B,82 B
12M 2016,0.32,1540.67,0.32,1532.40,249 B,221 B,470 B,78 B,(199 B)
12M 2017,0.30,1551.43,0.30,1543.16,253 B,113 B,365 B,103 B,(132 B)
12M 2018,0.31,1560.42,0.31,1552.15,206 B,,212 B,(187 B),(92 B)
12M 2019,0.35,1563.44,0.35,1555.17,147 B,52 B,199 B,(158 B),(270 B)
12M 2020,0.29,1547.88,0.29,1539.61,9 B,260 B,268 B,65 B,(341 B)
12M 2021,0.29,1506.29,0.29,1498.02,15 B,267 B,282 B,(18 B),(282 B)
12M 2022,0.23,1512.14,0.23,1503.87,17 B,257 B,274 B,(50 B),(276 B)
12M 2023,0.25,1533.84,0.25,1525.57,118 B,150 B,268 B,(145 B),(259 B)
12M 2024,0.77,1589.43,0.77,1581.16,86 B,140 B,226 B,(225 B),(198 B)
