Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Surat Hutang,Utang Bank Jangka Pendek,Utang Obligasi,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,210322427000.000000,,583703440000.000000,70964836000.000000,7199769000.000000,63765067000.000000,70964836000.000000,13378394000.000000,,,13378394000.000000,1701790655000.000000,40576446000.000000,2620736198000.000000,,,,,,,,7728875000.000000,1225734476000.000000,1410263973000.000000,137728594000.000000,84852227000.000000,2866308145000.000000,5487044343000.000000,,,2678168462000.000000,766500000000.000000,941564076000.000000,22000000000.000000,177445926000.000000,,,21055214000.000000,354744986000.000000,,,,,394858260000.000000,2678168462000.000000,1038463286000.000000,56887992000.000000,9075918000.000000,,,,,972499376000.000000,1038463286000.000000,3716631748000.000000,,965019600000.000000,1219436685000.000000,-534574110000.000000,594596099000.000000,-474065679000.000000,1770412595000.000000,5487044343000.000000,1930039200.000000
12M 2009,,,172735725000.000000,,519206468000.000000,240832585000.000000,6755368000.000000,234077217000.000000,240832585000.000000,12664197000.000000,,,12664197000.000000,1492188435000.000000,33147300000.000000,2470774710000.000000,,,,,,,,4089446000.000000,1151828679000.000000,1374921420000.000000,75119090000.000000,60705559000.000000,2666664194000.000000,5137438904000.000000,,,1837247008000.000000,460600000000.000000,808283316000.000000,22000000000.000000,87340716000.000000,,,21894541000.000000,279026412000.000000,,,,,158102023000.000000,1837247008000.000000,767906973000.000000,35296904000.000000,32239531000.000000,,,,,700370538000.000000,767906973000.000000,2605153981000.000000,,965019600000.000000,1219436685000.000000,-219408083000.000000,1041302400000.000000,-474065679000.000000,2532284923000.000000,5137438904000.000000,1930039200.000000
12M 2010,,,180059773000.000000,,454900815000.000000,61819836000.000000,5577309000.000000,56242527000.000000,61819836000.000000,7207484000.000000,,,7207484000.000000,1319953782000.000000,13727299000.000000,2037668989000.000000,,,,,,,,5001092000.000000,1070857749000.000000,1328370650000.000000,19255456000.000000,315147034000.000000,2738631981000.000000,4776300970000.000000,,,1631360454000.000000,,1216512571000.000000,22000000000.000000,37850117000.000000,,,17738864000.000000,210187632000.000000,,,,,127071270000.000000,1631360454000.000000,399792588000.000000,2116106000.000000,29272834000.000000,,,,,368403648000.000000,399792588000.000000,2031153042000.000000,,965019600000.000000,1219436685000.000000,-157990919000.000000,1192748241000.000000,-474065679000.000000,2745147928000.000000,4776300970000.000000,1930039200.000000
12M 2011,,,255807250000.000000,,57282390000.000000,50679015000.000000,4443475000.000000,46235540000.000000,50679015000.000000,11799224000.000000,,,11799224000.000000,1333090347000.000000,10809464000.000000,1719467690000.000000,,,,,,,,6366753000.000000,1040219010000.000000,1254350165000.000000,19255456000.000000,322707147000.000000,2642898531000.000000,4362366221000.000000,,,646980949000.000000,,373595608000.000000,22000000000.000000,44344155000.000000,,,17945477000.000000,72500435000.000000,,,,,116595274000.000000,646980949000.000000,403573620000.000000,2469305000.000000,24712002000.000000,,,,,376392313000.000000,403573620000.000000,1050554569000.000000,,1164520241000.000000,1517492448000.000000,-138733221000.000000,1242597863000.000000,-474065679000.000000,3311811652000.000000,4362366221000.000000,2329040482.000000
12M 2012,,,302553419000.000000,,52640668000.000000,56871466000.000000,4980447000.000000,51891019000.000000,56871466000.000000,3286846000.000000,,,3286846000.000000,1479831736000.000000,17976886000.000000,1913161021000.000000,,,,,,,,6815012000.000000,1153424944000.000000,1163796174000.000000,19255456000.000000,198082479000.000000,2541374065000.000000,4454535086000.000000,,,457489123000.000000,,256946463000.000000,6000000000.000000,40179221000.000000,,,12359146000.000000,72989276000.000000,,,,,69015017000.000000,457489123000.000000,618571364000.000000,2249582000.000000,19704145000.000000,,,,,596617637000.000000,618571364000.000000,1076060487000.000000,,1164520241000.000000,1517492448000.000000,-104971572000.000000,1275499161000.000000,-474065679000.000000,3378474599000.000000,4454535086000.000000,2329040482.000000
12M 2013,,,995760256000.000000,,402237000000.000000,400950209000.000000,4374815000.000000,396575394000.000000,400950209000.000000,6297922000.000000,,,6297922000.000000,38064396000.000000,29957516000.000000,1873267299000.000000,,487236494000.000000,,,,,1447084856000.000000,8267555000.000000,1282177398000.000000,1110327762000.000000,19255456000.000000,235603335000.000000,4589952856000.000000,6463220155000.000000,,,583408164000.000000,,,6000000000.000000,45904881000.000000,,,31408456000.000000,84710115000.000000,,34326386000.000000,,34326386000.000000,381058326000.000000,583408164000.000000,851360940000.000000,2782212000.000000,17554433000.000000,,121320214000.000000,,121320214000.000000,709704081000.000000,851360940000.000000,1434769104000.000000,,1164520241000.000000,648928678000.000000,1315853222000.000000,1504650817000.000000,394498093000.000000,5028451051000.000000,6463220155000.000000,2329040482.000000
12M 2014,,,544476764000.000000,,,561459397000.000000,5520964000.000000,555938433000.000000,561459397000.000000,62141256000.000000,,,62141256000.000000,36449698000.000000,65921351000.000000,1270448466000.000000,,,,,,,1957377414000.000000,9909298000.000000,1198293022000.000000,1090552555000.000000,19255456000.000000,938950994000.000000,5214338739000.000000,6484787205000.000000,,,638207819000.000000,,58974000000.000000,6000000000.000000,47772294000.000000,,,82255413000.000000,74733758000.000000,,97377352000.000000,,97377352000.000000,271095002000.000000,638207819000.000000,1160188567000.000000,2839501000.000000,16595399000.000000,,391802451000.000000,,391802451000.000000,748951216000.000000,1160188567000.000000,1798396386000.000000,,1164520241000.000000,648928678000.000000,1353747877000.000000,1130927837000.000000,388266186000.000000,4686390819000.000000,6484787205000.000000,2329040482.000000
12M 2015,,,451931088000.000000,,,375286916000.000000,3825382000.000000,371461534000.000000,375286916000.000000,3706290000.000000,,,3706290000.000000,37010694000.000000,69727361000.000000,937662349000.000000,,,,,,,2126859272000.000000,13416594000.000000,1155006329000.000000,1074920103000.000000,19255456000.000000,1143102602000.000000,5532560356000.000000,6470222705000.000000,,,856127930000.000000,,106974000000.000000,6000000000.000000,44988458000.000000,,,18151524000.000000,71487181000.000000,,105764031000.000000,,105764031000.000000,502762736000.000000,856127930000.000000,1164296028000.000000,3148766000.000000,16660312000.000000,,318383763000.000000,,318383763000.000000,826103187000.000000,1164296028000.000000,2020423958000.000000,,1164520241000.000000,648928678000.000000,1353447578000.000000,894637878000.000000,388264372000.000000,4449798747000.000000,6470222705000.000000,2329040482.000000
12M 2016,,,391561415000.000000,,,72652909000.000000,7205235000.000000,65447674000.000000,72652909000.000000,5717447000.000000,,,5717447000.000000,31909728000.000000,63908730000.000000,565750229000.000000,,,,,,,2357812557000.000000,202409331000.000000,1090120971000.000000,1061011972000.000000,19255456000.000000,1308358043000.000000,6038968330000.000000,6604718559000.000000,,,764520614000.000000,,136974000000.000000,6000000000.000000,40764422000.000000,,,19051359000.000000,80029495000.000000,,105784383000.000000,,105784383000.000000,375916955000.000000,764520614000.000000,1059875579000.000000,6216828000.000000,19238961000.000000,,214754109000.000000,,214754109000.000000,819665681000.000000,1059875579000.000000,1824396193000.000000,,1164520241000.000000,655904907000.000000,1379582284000.000000,1192050562000.000000,388264372000.000000,4780322366000.000000,6604718559000.000000,2329040482.000000
12M 2017,,,262022705000.000000,171267979000.000000,,80082914000.000000,6260275000.000000,73822639000.000000,80082914000.000000,5102863000.000000,,,5102863000.000000,33900136000.000000,84770974000.000000,637147571000.000000,,,,,,,2382483391000.000000,190349400000.000000,1042952067000.000000,1034746982000.000000,19255456000.000000,1348441160000.000000,6018228456000.000000,6655376027000.000000,,,769369255000.000000,,139974000000.000000,6000000000.000000,39833620000.000000,,,20082914000.000000,71894670000.000000,,106635296000.000000,,106635296000.000000,384948755000.000000,769369255000.000000,937861537000.000000,3092391000.000000,22768607000.000000,,109505430000.000000,,109505430000.000000,802495109000.000000,937861537000.000000,1707230792000.000000,,1164520241000.000000,655921361000.000000,1404642633000.000000,1334796628000.000000,388264372000.000000,4948145235000.000000,6655376027000.000000,2329040482.000000
