Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,"Pemasok, Karyawan Dan Lainnya",Persedian,Karyawan,Total Pembayaran Kas Kepada:,Penerimaan (Pengembalian) Setoran Jaminan,Lain-Lain,Penerimaan Restitusi Pajak Penghasilan,Pembayaran Pajak Final,Pembayaran Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Saham,Pencairan Deposito Berjangka,Penempatan Deposito Berjangka,Penerimaan Bunga,Penerimaan Dividen,Pengembalian Uang Muka,Perolehan Aset Tetap,Penempatan Investasi Saham,Hasil Penjualan Aset Tetap,Penempatan Uang Muka Investasi Saham,Penurunan (Kenaikan) Investasi,Penjualan (Perolehan) Aset Lain-Lain,Investasi Pada Ventura Bersama,Investasi Pada Entitas Asosiasi,Penambahan Properti Investasi,Akuisisi Anak Perusahaan Dan Perusahaan Asosiasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Pihak Berelasi,Penerimaan Utang Bank,Penerimaan Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Pendek,Total Penerimaan Utang Bank,Tambahan Modal Saham Entitas Anak Dari Kepentingan Nonpengendali,Penerimaan Utang Bank Jangka Panjang,Kenaikan (Penurunan) Bersih Saldo Utang/Piutang Pihak Berelasi Dan Lain-Lain,Pembelian Saham Diperoleh Kembali Entitas Anak,Pembayaran :,Bunga Dan Beban Keuangan Lain,Utang Bank,Utang Bank Jangka Pendek,Liabilitas Sewa,Surat Utang,Kepada Pemegang Saham Kepentingan Nonpengendali Atas Penurunan Modal Entitas Anak,Utang Obligasi,Uang Muka Dividen Kepada Pemegang Saham Kepentingan Nonpengendali Entitas Anak,Dividen Kepada Kepentingan Nonpengendali Entitas Anak,Utang Pihak Berelasi,Total Pembayaran :,Perolehan Saham Treasuri Entitas Anak,Penurunan Modal Entitas Anak Yang Menjadi Bagian Kepentingan Nonpengendali,Penambahan (Pengurangan) Pendapatan Diterima Di Muka,Penambahan Modal Tanpa Hak Memesan Efek Terlebih Dahulu,Penambahan Kewajiban Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,672328537000.000000,1554783129000.000000,,-847533440000.000000,,,-847533440000.000000,-3616820000.000000,,,-31304332000.000000,,,672328537000.000000,-389000182000.000000,,,,3574739000.000000,,,-79682997000.000000,,644000000.000000,,9547381000.000000,-3929241000.000000,,,-132821740000.000000,-186332324000.000000,,-389000182000.000000,-166882947000.000000,,,,,,,,31523112000.000000,,,-90896036000.000000,-13745000000.000000,,,-93015023000.000000,,-750000000.000000,,,,-198406059000.000000,,,,,,-166882947000.000000,,,116445408000.000000,89802712000.000000,4074307000.000000,,210322427000.000000
12M 2009,357654772000.000000,1534603825000.000000,,-1032441127000.000000,,,-1032441127000.000000,-42741503000.000000,,,-101766423000.000000,,,357654772000.000000,-87990864000.000000,24000000000.000000,,,5564098000.000000,,,-79992829000.000000,,863025000.000000,,-30822070000.000000,-2807769000.000000,,,-4795319000.000000,,,-87990864000.000000,-296969254000.000000,,,,,,,,-2303122000.000000,,,-70535482000.000000,,,,-223730000000.000000,,,,-400650000.000000,,-294666132000.000000,,,,,,-296969254000.000000,,,-27305346000.000000,210322427000.000000,-10281356000.000000,,172735725000.000000
12M 2010,91578408000.000000,1538208334000.000000,,-1371443120000.000000,,,-1371443120000.000000,1607297000.000000,,,-76794103000.000000,,,91578408000.000000,-25969501000.000000,,,,4265692000.000000,,,-76052221000.000000,,1176210000.000000,,46193562000.000000,-811372000.000000,,,-741372000.000000,,,-25969501000.000000,-61010660000.000000,,444340900000.000000,,,444340900000.000000,,,-33087448000.000000,,,-25678112000.000000,,,,-445986000000.000000,,,,-600000000.000000,,-472264112000.000000,,,,,,-61010660000.000000,,,4598247000.000000,172735725000.000000,2725801000.000000,,180059773000.000000
12M 2011,284702649000.000000,947390075000.000000,,-669898607000.000000,,,-669898607000.000000,61136552000.000000,,,-53925371000.000000,,,284702649000.000000,-90831501000.000000,,,,6629550000.000000,,,-54448718000.000000,,757425000.000000,,12688000.000000,-6894669000.000000,,,-36887777000.000000,,,-90831501000.000000,-118636841000.000000,,15000000000.000000,,,15000000000.000000,,,370774000.000000,,,-45437615000.000000,-87770000000.000000,,,,,,,-800000000.000000,,-134007615000.000000,,,,,,-118636841000.000000,,,75234307000.000000,180059773000.000000,513170000.000000,,255807250000.000000
12M 2012,311445955000.000000,1003801759000.000000,,-843633420000.000000,,,-843633420000.000000,200988349000.000000,,,-49710733000.000000,,,311445955000.000000,-69118644000.000000,8320000000.000000,,,8038919000.000000,,118445810000.000000,-55724113000.000000,,977890000.000000,,-326052000.000000,-11175066000.000000,,,-137676032000.000000,,,-69118644000.000000,-202486042000.000000,,,,,,,,-357125000.000000,,,-27834398000.000000,-139595000000.000000,,,,,-16000000000.000000,,-18699519000.000000,,-202128917000.000000,,,,,,-202486042000.000000,,,39841269000.000000,255807250000.000000,6904900000.000000,,302553419000.000000
12M 2013,1451077829000.000000,2608001180000.000000,,-1147400675000.000000,,,-1147400675000.000000,143251498000.000000,,,-152774174000.000000,,,1451077829000.000000,-581270471000.000000,,,,17172941000.000000,,161834458000.000000,-57418033000.000000,,980302000.000000,,-338479971000.000000,-149507791000.000000,,,-215852377000.000000,,,-581270471000.000000,-280905659000.000000,,,,,,,,,,,-19463524000.000000,-147067900000.000000,,,,,,,-114374235000.000000,,-280905659000.000000,,,,,,-280905659000.000000,,,588901699000.000000,302553419000.000000,104305138000.000000,,995760256000.000000
12M 2014,74678512000.000000,1766939215000.000000,,-1607605178000.000000,,,-1607605178000.000000,32019632000.000000,,,-116675157000.000000,,,74678512000.000000,-396217336000.000000,,,,17872015000.000000,,,-75433387000.000000,,551300000.000000,,402911000000.000000,-704943774000.000000,,,-37174490000.000000,,,-396217336000.000000,-97140368000.000000,,544854000000.000000,,,544854000000.000000,,,,,,-15741330000.000000,-154357370000.000000,,,,,,,-112522120000.000000,,-282620820000.000000,-12499882000.000000,-346873666000.000000,,,,-97140368000.000000,,,-418679192000.000000,995760256000.000000,-32604300000.000000,,544476764000.000000
12M 2015,462219278000.000000,1732524873000.000000,,-1168979114000.000000,,,-1168979114000.000000,27898642000.000000,,,-64982872000.000000,-64242251000.000000,,462219278000.000000,-345405425000.000000,,,,15454563000.000000,,,-85499390000.000000,,425721000.000000,,,-204033730000.000000,,,-71752589000.000000,,,-345405425000.000000,-225740837000.000000,,,48000000000.000000,,48000000000.000000,,,,,,-48449913000.000000,-98935597000.000000,,,,,,,-64769999000.000000,,-212155509000.000000,,-61585328000.000000,,,,-225740837000.000000,,,-108926984000.000000,544476764000.000000,16381308000.000000,,451931088000.000000
12M 2016,415880747000.000000,1764245129000.000000,,-1271144314000.000000,,,-1271144314000.000000,11312608000.000000,,,-64725432000.000000,-23807244000.000000,,415880747000.000000,-236438885000.000000,,,,12208647000.000000,,,-65967295000.000000,,897875000.000000,,,-172315293000.000000,-70000000.000000,,-11192819000.000000,,,-236438885000.000000,-237507338000.000000,,,30000000000.000000,,30000000000.000000,,10000000000.000000,,,,-44610509000.000000,-108596830000.000000,,,,,,,-800000000.000000,,-154007339000.000000,,-123499999000.000000,,,,-237507338000.000000,,,-58065476000.000000,451931088000.000000,-2304197000.000000,,391561415000.000000
12M 2017,429287424000.000000,1482490077000.000000,,-1015877049000.000000,,,-1015877049000.000000,52418367000.000000,,,-65104576000.000000,-24639395000.000000,,429287424000.000000,-302049788000.000000,,,-171267979000.000000,14087123000.000000,,,-66420526000.000000,,370900000.000000,,,-50685279000.000000,-210000000.000000,,-27924027000.000000,,,-302049788000.000000,-257352884000.000000,,,3000000000.000000,,3000000000.000000,600000.000000,,,,,-36902955000.000000,-106486893000.000000,,,,,,,-32463636000.000000,,-175853484000.000000,,-84500000000.000000,,,,-257352884000.000000,,,-130115248000.000000,391561415000.000000,576538000.000000,,262022705000.000000
